year,pourrais_VERB appliquer_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,1.1189200677108602e-08
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,9.360507036149102e-09
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,3.113746815941454e-09
1818,0.0
1819,1.1386155129855524e-08
1820,4.746592452420373e-09
1821,5.9168927535324656e-09
1822,1.0025615893027862e-09
1823,9.882686891060644e-10
1824,4.210556348027694e-09
1825,1.7610886970942374e-08
1826,1.7615968683770689e-09
1827,1.013900075008678e-08
1828,4.586150570418113e-09
1829,6.858540846366168e-09
1830,7.305785310052215e-09
1831,1.7150327380477393e-08
1832,0.0
1833,0.0
1834,1.4935249481595747e-08
1835,3.025235173481633e-09
1836,2.016224964762614e-09
1837,6.262101948095733e-09
1838,1.8936485712828244e-09
1839,2.7965900706306e-09
1840,3.1848443882154243e-09
1841,8.988767952189392e-09
1842,6.708265054555795e-10
1843,2.008349753168659e-08
1844,4.9397050894128824e-09
1845,1.2834524554250493e-08
1846,3.5127007969038004e-09
1847,8.629157832729106e-09
1848,5.63165514222419e-09
1849,5.865590679832167e-09
1850,2.7155984128057753e-09
1851,1.0319102017319892e-08
1852,8.463708844885787e-09
1853,5.971931837933653e-10
1854,1.0391328908454511e-09
1855,9.021793090369101e-09
1856,6.73034605824796e-09
1857,1.4644527812635033e-09
1858,3.4255731584664773e-09
1859,3.5645213447565993e-09
1860,1.373155145145688e-09
1861,6.13075279431996e-09
1862,7.228778020618165e-09
1863,9.489779628779615e-09
1864,3.3563094525845827e-09
1865,4.706844247692743e-09
1866,1.1677471434268227e-08
1867,9.7056229719783e-10
1868,2.4699371437009177e-09
1869,9.767038733343725e-09
1870,4.587239033071455e-09
1871,1.0621177271019633e-09
1872,2.4189357183956872e-09
1873,4.788803575905831e-09
1874,4.182226565063729e-09
1875,1.1443054281912168e-09
1876,1.0882827083946722e-08
1877,3.0924081073635534e-09
1878,0.0
1879,8.55305515301552e-09
1880,6.417846254436199e-09
1881,6.2752567586699115e-09
1882,4.6587693702804245e-09
1883,1.2638677882037541e-09
1884,6.601696966868076e-10
1885,9.66845359329227e-09
1886,4.5174246565693466e-09
1887,3.9173548849191775e-09
1888,8.876860135842435e-09
1889,3.759081934617825e-09
1890,3.2771931834929546e-09
1891,9.561330394092238e-09
1892,3.761107425503951e-09
1893,8.621783287310336e-09
1894,3.150769645188234e-09
1895,2.4074457982692365e-09
1896,1.179405795248556e-09
1897,1.7480140668268973e-09
1898,5.092519295146758e-09
1899,2.2110313580014918e-09
1900,5.19105292084987e-09
1901,1.1177477832191585e-09
1902,1.9641135384773634e-09
1903,2.1600881083827517e-09
1904,1.6123875568041512e-09
1905,4.64468330463319e-09
1906,2.0576738091193647e-09
1907,3.0857059130084963e-09
1908,1.964555629285769e-09
1909,7.701377313651392e-09
1910,3.206490406526541e-09
1911,1.5961122423746588e-09
1912,3.125652625612929e-09
1913,3.71209285532359e-09
1914,0.0
1915,0.0
1916,0.0
1917,1.0966424435210342e-09
1918,0.0
1919,4.603924352863942e-09
1920,2.2716695191604686e-09
1921,0.0
1922,7.377935484775833e-10
1923,0.0
1924,0.0
1925,0.0
1926,1.1146138456652466e-09
1927,3.3447675740205796e-09
1928,2.2852082448565625e-09
1929,0.0
1930,1.0503603542488804e-09
1931,1.1405356659111021e-09
1932,2.1919073223131136e-09
1933,2.2941324395731044e-09
1934,5.990790086229936e-09
1935,1.196828414151696e-09
1936,3.6374143697059935e-09
1937,0.0
1938,2.5930428915188486e-09
1939,3.058810094103137e-09
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,3.034211770724937e-09
1943,0.0
1944,0.0
1945,0.0
1946,1.3921104269343232e-09
1947,0.0
1948,0.0
1949,0.0
1950,4.2541445921528975e-09
1951,3.1984206394497505e-09
1952,0.0
1953,1.0773827385790469e-09
1954,3.9090144454689835e-09
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,3.8753737996444215e-09
1960,1.3841666701708277e-09
1961,2.779263708063695e-09
1962,0.0
1963,6.466053248388448e-10
1964,3.041984220075733e-09
