year,ces_DET ondes_NOUN,ces_DET rondes_ADJ
1800,1.697848883708275e-07,0.0
1801,2.3097471668620528e-07,0.0
1802,1.9021641151084623e-07,0.0
1803,1.7162985521679275e-07,0.0
1804,1.2606439336870778e-07,0.0
1805,1.6488691212401818e-07,0.0
1806,2.8240357874409483e-07,0.0
1807,1.7935817631098416e-07,0.0
1808,1.8581807381679027e-07,1.1330369531492579e-08
1809,1.6942729530455836e-07,0.0
1810,1.5210823800515527e-07,0.0
1811,1.4290336913802548e-07,0.0
1812,1.440292436427626e-07,0.0
1813,2.01301915581098e-07,0.0
1814,2.5173416240420465e-07,0.0
1815,9.170560089089008e-08,0.0
1816,2.618892338546175e-07,0.0
1817,3.191590387530141e-07,0.0
1818,1.4663048020224778e-07,0.0
1819,1.956348409937192e-07,0.0
1820,1.3053128888884657e-07,0.0
1821,2.0314665860610148e-07,0.0
1822,1.5840473110984021e-07,1.0025615893027862e-09
1823,2.1741910671835285e-07,0.0
1824,1.3557991973556227e-07,2.5263338088166165e-09
1825,1.7434777532798762e-07,8.805443041381977e-10
1826,1.7351728587300386e-07,8.807984341885344e-10
1827,1.5853709811608496e-07,0.0
1828,1.2932945026022935e-07,9.172301251858528e-10
1829,1.2516836633835737e-07,5.143905745796928e-09
1830,2.8701298049327306e-07,0.0
1831,3.7262982388597266e-07,0.0
1832,1.3259369779916597e-07,2.705993873419743e-09
1833,2.2356402595846703e-07,0.0
1834,1.4468522424593289e-07,3.733812370398937e-09
1835,1.4445497242832062e-07,2.2689263801112247e-09
1836,2.1708022757138679e-07,0.0
1837,2.456135543837945e-07,4.87052354003481e-09
1838,2.4806796616871907e-07,3.1560809521380406e-09
1839,2.293203893444229e-07,0.0
1840,2.305827315751685e-07,6.369688665408546e-10
1841,1.8041740901253434e-07,5.1364388298225094e-09
1842,1.891730683212245e-07,4.024959032733477e-09
1843,1.523983019779962e-07,1.1813822142769936e-09
1844,1.2733461929315126e-07,4.390849017710252e-09
1845,1.601525463357234e-07,4.464182357111213e-09
1846,1.580715398574739e-07,1.7563503984519002e-09
1847,2.195042005936898e-07,1.0786447290911383e-09
1848,2.0595768290831984e-07,0.0
1849,1.5669506225890473e-07,0.0
1850,1.6429370042203573e-07,1.3577992064028876e-09
1851,2.541078849560563e-07,6.449438760824933e-10
1852,1.1133032851162739e-07,0.0
1853,1.4153478300471534e-07,1.7915795513800958e-09
1854,1.9587654698227652e-07,4.676098175337984e-09
1855,1.7884378067378748e-07,6.368324534378189e-09
1856,1.8171934801358702e-07,4.659470143053568e-09
1857,1.493741734748255e-07,4.881508974818871e-09
1858,2.5887545440639315e-07,1.957470352476065e-09
1859,1.940118021792614e-07,7.129042467468594e-09
1860,1.5928599950143507e-07,7.781213007262977e-09
1861,1.8958174763383795e-07,9.431927461278633e-10
1862,1.721352820283073e-07,2.710791813242963e-09
1863,2.2625631768136145e-07,4.495158911765884e-09
1864,2.9487577890563443e-07,4.794728170054441e-09
1865,1.4920695967646225e-07,3.294791106611683e-09
1866,4.383917158179429e-07,3.8924903300596725e-09
1867,2.795219344875477e-07,2.426405742994575e-09
1868,4.411307550356014e-07,1.4819621974027086e-08
1869,3.6382216173080906e-07,3.906815315701806e-09
1870,3.6697911554028906e-07,5.734048791339319e-10
1871,2.464113091349418e-07,2.1242354542039266e-09
1872,3.4348887112400917e-07,3.0236697590169115e-09
1873,1.6281932690986878e-07,5.986004469882289e-10
1874,2.96340605387968e-07,8.364453130127458e-09
1875,2.1455727505781397e-07,9.154443425529735e-09
1876,1.971000784806165e-07,5.441413541973361e-09
1877,2.987266150000778e-07,4.9478527941460015e-09
1878,2.693433565070791e-07,1.8117266020745149e-09
1879,2.7003217084597964e-07,3.0546627449723474e-09
1880,3.1447448023413926e-07,5.776061406947974e-09
1881,2.719277905072204e-07,4.183504653809678e-09
1882,1.863507890220717e-07,3.9932310791357395e-09
1883,3.608342424854527e-07,6.319338941018771e-10
1884,2.3766108370182337e-07,1.3203393933736152e-09
1885,2.7200583119224575e-07,3.86738152613475e-09
1886,2.342607405836361e-07,2.5813855497602844e-09
1887,1.423305615588788e-07,0.0
1888,2.225555739698848e-07,9.510921827882157e-09
1889,2.161472139050602e-07,6.265136853755848e-09
1890,2.477558140867586e-07,4.5880703680722945e-09
1891,2.9895091913090255e-07,5.099376032546843e-09
1892,2.4572568690928165e-07,5.014809900671935e-09
1893,2.9252478128682924e-07,3.695050043717174e-09
1894,2.3441725538475566e-07,1.8904617871129403e-09
1895,3.2079214307145776e-07,6.018614495673091e-10
1896,3.101837151575637e-07,8.255840455717589e-09
1897,3.437761080249402e-07,1.1653427112179315e-09
1898,3.4742299348522465e-07,1.1316709347397591e-08
1899,5.041151425189128e-07,5.527578395003729e-09
1900,3.41571311679445e-07,2.5955265714472375e-09
1901,3.744455128185109e-07,2.235495566438317e-09
1902,4.654949172788747e-07,4.910283846193408e-10
1903,3.321135526590524e-07,4.320176216765503e-09
1904,4.337322536684951e-07,6.449550227216605e-09
1905,2.683594644281584e-07,4.1286072338664326e-09
1906,3.379729278663035e-07,4.115347618238729e-09
1907,4.433130911252192e-07,3.5999902503469627e-09
1908,4.3367566604501917e-07,4.911389073214423e-09
1909,4.367780910286001e-07,3.300590190047359e-09
1910,3.3775033259075826e-07,1.6032452032632705e-09
1911,4.144571406072828e-07,1.0640748282497725e-09
1912,4.349866600250607e-07,1.1981668990301841e-08
1913,4.295421689448631e-07,2.6514948014977335e-09
1914,4.2256452559286117e-07,8.705766774141921e-09
1915,2.674232995047987e-07,0.0
