year,voulons_VERB ajouter_VERB
1800,3.144164484325529e-09
1801,0.0
1802,7.608656460433849e-08
1803,1.5602713787643552e-08
1804,4.943701892301533e-09
1805,1.9900143755080535e-08
1806,0.0
1807,8.540865792383556e-09
1808,1.1330369531492579e-08
1809,2.259030518203531e-09
1810,0.0
1811,0.0
1812,1.3336041604361526e-08
1813,2.8757416448144113e-09
1814,3.1466771410748606e-09
1815,0.0
1816,2.3176038865813098e-09
1817,0.0
1818,8.344824387052086e-09
1819,7.24573512300708e-09
1820,0.0
1821,9.86148829262845e-10
1822,3.0076847679083585e-08
1823,3.9530747564242574e-09
1824,1.51580028528997e-08
1825,8.805443485471187e-09
1826,8.80798456392995e-09
1827,6.452091305675367e-09
1828,4.586150570418113e-09
1829,8.57317605795771e-10
1830,4.174734336004349e-09
1831,2.182768810143898e-08
1832,2.705993873419743e-09
1833,3.243415847009601e-08
1834,1.3068342852307069e-08
1835,7.563087933704082e-09
1836,8.064899859050456e-09
1837,1.87863058442872e-08
1838,1.3886756633496589e-08
1839,4.194885327990505e-09
1840,1.52872523528913e-08
1841,1.219904177673925e-08
1842,8.049918065466954e-09
1843,1.4176587015413133e-08
1844,1.4270259640625227e-08
1845,1.2834524554250493e-08
1846,1.4636253098387897e-08
1847,1.6179670936367074e-08
1848,2.172209789819135e-08
1849,7.54147322368226e-09
1850,1.0862393651223101e-08
1851,3.4826967976187007e-08
1852,1.1718981340891332e-08
1853,1.3138249599364826e-08
1854,1.3508727469968562e-08
1855,9.552486801567284e-09
1856,4.141751386299575e-09
1857,7.810414537345878e-09
1858,1.6149130033227266e-08
1859,1.0693564256314403e-08
1860,9.15436793036406e-09
1861,8.488735048217677e-09
1862,1.0391368654438793e-08
1863,2.5472566278494924e-08
1864,2.5412058235474433e-08
1865,1.1767110841276462e-08
1866,7.298419202328432e-09
1867,2.717574432153924e-08
1868,2.0747471296544973e-08
1869,3.320792885119772e-08
1870,1.548193218070537e-08
1871,1.0621176826930423e-08
1872,2.0560953828407946e-08
1873,2.5141218884527916e-08
1874,3.5847653734322193e-09
1875,3.2612703648737806e-08
1876,1.813804395567331e-08
1877,1.2988113695655557e-08
1878,1.268208649207736e-08
1879,1.0385853066452455e-08
1880,1.0268554007097919e-08
1881,1.8825771164188154e-08
1882,3.394246306243076e-08
1883,1.7694148368718743e-08
1884,2.5086448474098688e-08
1885,1.0957580620640783e-08
1886,1.871504551331782e-08
1887,1.8933882017790893e-08
1888,2.028996703984376e-08
1889,1.6915869593958632e-08
1890,1.5075089621063853e-08
1891,2.039750413018737e-08
1892,1.8805536683430546e-08
1893,1.3548516086814288e-08
1894,1.827446460822557e-08
1895,1.3842813118003505e-08
1896,3.066455178668548e-08
1897,1.3984112534615178e-08
1898,8.487532454637403e-09
1899,7.738609753005221e-09
1900,1.557315876254961e-08
1901,1.2295225282343836e-08
1902,1.178468167495339e-08
1903,1.0800440541913758e-08
1904,1.7736262236667244e-08
1905,1.9610883583709438e-08
1906,1.18316245689698e-08
1907,1.5942815068115124e-08
1908,2.357466755142923e-08
1909,1.265226234892225e-08
1910,1.4429207162436342e-08
1911,9.044636151145369e-09
1912,1.7712032729377825e-08
1913,1.484837142129436e-08
1914,2.276892807628883e-08
1915,2.591767689352764e-08
1916,3.4061130804730055e-08
1917,1.315970976634162e-08
1918,2.1824114071478107e-08
1919,1.1049418269237776e-08
1920,1.665890891899835e-08
1921,1.438822039290244e-08
