year,puissiez_VERB aller_VERB
1800,6.288328968651058e-09
1801,4.7623651688866175e-09
1802,2.0140561218795483e-08
1803,7.801356893821776e-09
1804,7.4155526164076946e-09
1805,2.842877755426798e-08
1806,8.645007376628655e-09
1807,5.693910232196231e-09
1808,9.064295980465431e-09
1809,4.518061036407062e-09
1810,2.574139479349924e-08
1811,3.5099073869560016e-08
1812,2.6672083208723052e-08
1813,1.1502966579257645e-08
1814,3.1466771410748606e-09
1815,0.0
1816,5.5622493277951435e-08
1817,1.401186100480345e-08
1818,2.026600220972341e-08
1819,2.5877625375869684e-08
1820,1.3053129244156025e-08
1821,1.676452932031225e-08
1822,1.2030739071633434e-08
1823,1.4824030003524058e-08
1824,4.0421340941065864e-08
1825,1.3208164340028361e-08
1826,3.3470339388941284e-08
1827,4.608636583469661e-09
1828,3.0268594741755805e-08
1829,1.2859763920403111e-08
1830,1.5655253093882493e-08
1831,4.053713453799901e-08
1832,9.470978667991403e-09
1833,1.2741991461950875e-08
1834,1.4935249481595747e-08
1835,2.2689263801112247e-08
1836,2.8227150394855016e-08
1837,1.6698937344017395e-08
1838,1.3255539776935166e-08
1839,1.7478688718597368e-08
1840,1.0191501864653674e-08
1841,2.247191943638427e-08
1842,2.750388716776797e-08
1843,1.2404512972352677e-08
1844,2.25031016043431e-08
1845,1.3950569588416784e-08
1846,5.269050973311096e-09
1847,8.089835468183537e-09
1848,2.815827571112095e-08
1849,2.262441967104678e-08
1850,1.2220192857625989e-08
1851,6.449438760824933e-09
1852,1.4323200403509873e-08
1853,2.329053394589664e-08
1854,1.558699302961486e-08
1855,6.368324534378189e-09
1856,2.1226476576430287e-08
1857,1.0739319655783675e-08
1858,9.297984604472731e-09
1859,7.129042689513199e-09
1860,2.0139609091529564e-08
1861,2.4051415081771665e-08
1862,2.6656119089807362e-08
1863,9.989241434027463e-09
1864,2.0137857603685916e-08
1865,2.0710114512212385e-08
1866,7.298419202328432e-09
1867,9.7056229719783e-09
1868,2.1241458370013788e-08
1869,7.813630631403612e-09
1870,6.307453670473251e-09
1871,1.0621177271019633e-09
1872,1.9351485747165498e-08
1873,5.9860045809045914e-09
1874,8.364453130127458e-09
