year,aurons_VERB établi_VERB,aurons_VERB rétabli_VERB
1800,3.458580977167003e-08,1.2576657937302116e-08
1801,4.7623651688866175e-09,0.0
1802,1.3427040812530322e-08,0.0
1803,2.9255089017965474e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,5.685755422035754e-09,0.0
1806,2.881669125542885e-08,0.0
1807,0.0,2.8469551160981155e-09
1808,1.3596443970698147e-08,0.0
1809,2.259030518203531e-09,0.0
1810,4.212228077449254e-08,0.0
1811,0.0,0.0
1812,3.467370746079723e-08,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,8.091670444798638e-09,0.0
1816,3.7081662185300956e-08,0.0
1817,2.0239355080775567e-08,0.0
1818,2.384235475716423e-09,0.0
1819,3.415846450138815e-08,1.035105001712111e-09
1820,7.119888678630559e-09,3.5599443393152796e-09
1821,3.4515210245444905e-08,0.0
1822,5.81485721795616e-08,2.0051231786055723e-09
1823,2.9648061783404955e-09,0.0
1824,1.9368560089105813e-08,0.0
1825,5.107157008410468e-08,0.0
1826,1.4092774947016551e-08,0.0
1827,8.295545583791863e-09,0.0
1828,1.559291185060374e-08,9.172301251858528e-10
1829,6.858540846366168e-09,0.0
1830,1.6698937344017395e-08,1.0436835840010872e-09
1831,2.6505050598757407e-08,0.0
1832,1.6235963684607668e-08,0.0
1833,1.50587169400751e-08,4.6334514003376626e-09
1834,1.120143711119681e-08,0.0
1835,2.949604294144592e-08,0.0
1836,1.2769425516978572e-08,1.3441500135158435e-09
1837,1.6698937344017395e-08,1.3915781860163179e-09
1838,3.1560809521380406e-09,0.0
1839,7.690622361167243e-09,1.8177836125232716e-08
1840,1.46502836528839e-08,6.369688665408546e-10
1841,2.3756030032018316e-08,5.1364388298225094e-09
1842,1.0733224087289273e-08,6.708265054555795e-10
1843,1.2995204023980023e-08,0.0
1844,2.4698525891153622e-08,0.0
1845,3.1807299905040054e-08,5.580227835366713e-09
1846,6.439951683034906e-09,5.854501328173001e-10
1847,2.1033571329098777e-08,2.1572894581822766e-09
1848,1.930853166243196e-08,1.6090443422100975e-09
1849,1.1731181359664333e-08,4.1897072478036534e-09
1850,1.3577992064028876e-08,0.0
1851,9.674158363282004e-09,5.159551008659946e-09
1852,3.2552727180501506e-09,0.0
1853,2.030456869306363e-08,0.0
1854,2.234135720868835e-08,6.234797567117312e-09
1855,9.552486801567284e-09,0.0
1856,1.1907535402144731e-08,2.5885946719483854e-09
1857,1.3668225662399891e-08,1.2203773103180993e-08
1858,1.0276719919488642e-08,0.0
1859,3.4626779665813956e-08,0.0
1860,1.4646988510946812e-08,2.288591982591015e-09
1861,2.357981898626349e-08,5.659156698811785e-09
1862,2.5300723294208183e-08,0.0
1863,3.7459656709870615e-08,5.9935452156878455e-09
1864,3.787835112234461e-08,1.4384183844029508e-09
1865,3.247722446531043e-08,0.0
1866,2.3841502994059738e-08,0.0
1867,2.329349513274792e-08,6.308654931785895e-09
1868,3.2603168165223906e-08,3.951899252285784e-09
1869,2.783605879130846e-08,1.2697149998075474e-08
1870,2.5229814681893004e-08,0.0
1871,2.0180236148803488e-08,1.4869648623516696e-08
1872,3.749350341308855e-08,1.2094678591978436e-09
1873,2.21482157058972e-08,2.9930022904522957e-09
1874,2.4495896866483235e-08,2.9873046258899194e-09
1875,2.574687130163511e-08,1.1443054281912168e-09
1876,3.143927784776679e-08,0.0
1877,1.793596560162314e-08,3.0924081073635534e-09
1878,1.6305540029293297e-08,3.0195443923020093e-09
1879,2.5659165459046562e-08,5.498392852132383e-09
1880,1.4761046607247863e-08,0.0
1881,2.2312024228199334e-08,4.8807553554297556e-09
1882,2.861815673327328e-08,0.0
1883,1.3902545781263598e-08,2.5277355764075082e-09
