year,aux_ADP arts_NOUN,aux_ADP rares_ADJ
1800,9.492232409868961e-06,2.829747991484055e-08
1801,6.767321032441487e-06,3.333655484993869e-08
1802,6.494211845620157e-06,4.2518962573012686e-08
1803,7.22015596466008e-06,4.290746247193056e-08
1804,6.491080696946483e-06,5.19088700912107e-08
1805,7.110037023139171e-06,3.695740957709859e-08
1806,7.797796595099271e-06,2.305335300434308e-08
1807,9.60847353326244e-06,5.4092147649953404e-08
1808,6.39712692063199e-06,4.5321479902327155e-09
1809,5.988689963487559e-06,9.036122072814123e-09
1810,7.455644006171269e-06,2.8081521108447305e-08
1811,5.773797786545742e-06,4.262030550705731e-08
1812,6.291944060876631e-06,4.5342538612658245e-08
1813,5.906773560937495e-06,1.322841143291953e-07
1814,5.242364110813469e-06,6.608021863030444e-08
1815,4.436932698581586e-06,3.236668177919455e-08
1816,5.51126220216247e-06,6.489290882427667e-08
1817,5.103430922304142e-06,3.736496234640896e-08
1818,4.667141027425714e-06,1.192117711212859e-07
1819,5.145506875692263e-06,7.452756278780726e-08
1820,4.7655788080192e-06,5.458581142647745e-08
1821,5.1703782375511764e-06,3.8459806006585495e-08
1822,5.469976002814292e-06,8.321261191213125e-08
1823,5.026334470414895e-06,5.336650943377208e-08
1824,4.880876732116235e-06,4.0421342717422704e-08
1825,6.023803607035916e-06,5.5474292492974087e-08
1826,5.874925456339497e-06,2.1139161532346407e-08
1827,6.737826716118889e-06,3.0417001695148826e-08
1828,5.504298016489884e-06,2.7516904310687096e-08
1829,5.674585082715566e-06,4.886710219809132e-08
1830,5.496037545071886e-06,8.34946831673733e-08
1831,4.755317764448819e-06,7.795602696702986e-08
1832,4.849140797791307e-06,4.7354894228135436e-08
1833,4.679786020034271e-06,7.529358825308918e-08
1834,4.5113788909034724e-06,1.0267983885370313e-07
1835,4.065916122897306e-06,3.857174846189082e-08
1836,3.365079589201514e-06,6.586335099534324e-08
1837,4.265187053320574e-06,4.383471408075934e-08
1838,4.1319410399864864e-06,1.167749950070629e-07
1839,4.060648924664179e-06,7.410963764886702e-08
1840,4.030738871563244e-06,1.0509986053675036e-07
1841,4.0353148307303854e-06,1.0914932602190675e-07
1842,4.245661074264717e-06,1.1404050548335931e-07
1843,3.979486013605538e-06,7.560845949328154e-08
1844,3.5774441826674774e-06,1.3282318367391355e-07
1845,3.26443331033488e-06,1.0211817491612152e-07
1846,3.301353384443928e-06,7.962121806315281e-08
1847,3.817323626975622e-06,9.006683843182373e-08
1848,3.193148550906244e-06,8.849743998728954e-08
1849,3.0953558542989867e-06,1.5334329361849086e-07
1850,3.6321129783800643e-06,1.1609183481198215e-07
1851,3.092505846069571e-06,1.754247307417245e-07
1852,3.875727676572183e-06,1.2890880429772267e-07
1853,3.4583457058090517e-06,1.3854881331099023e-07
1854,3.6463172250478237e-06,1.2781334746136963e-07
1855,3.852305589191474e-06,1.7512892114268652e-07
1856,3.835261829010506e-06,1.4806761655661305e-07
1857,3.3199143771867057e-06,1.493741730307363e-07
1858,3.3898493256856455e-06,1.5855510926421346e-07
1859,3.293108463253702e-06,1.991039759730029e-07
1860,3.3207470337970335e-06,1.6065915087182248e-07
1861,3.4332216429788787e-06,1.395925235403439e-07
1862,3.5872811423587336e-06,1.947252039613545e-07
1863,3.5177115229600986e-06,1.8480097452311384e-07
1864,3.4637113728308577e-06,1.9370700199417001e-07
1865,2.7130251218920876e-06,1.9109788240712078e-07
1866,2.912069419380714e-06,1.7467549773275692e-07
1867,3.0956084202671263e-06,1.9120077077161568e-07
1868,3.3487405168841633e-06,1.9314908106249362e-07
1869,2.600962243803906e-06,1.7092316761946336e-07
1870,2.7454626554401784e-06,1.9094382253115327e-07
1871,2.5469584059578665e-06,1.9967813913446264e-07
1872,2.7485156692819146e-06,2.0137640177608773e-07
1873,2.5817636597480487e-06,2.0711575210441424e-07
1874,2.5003739594353647e-06,1.6549667058995965e-07
1875,2.5872744906507705e-06,2.1226865598578115e-07
1876,2.8428362384147476e-06,1.6687001069826124e-07
1877,2.6866841658090834e-06,2.585252991682552e-07
1878,2.631834853161763e-06,2.161993775118276e-07
1879,2.423569320342267e-06,1.9916399984776234e-07
1880,2.8912397027625047e-06,1.6237151623244017e-07
1881,2.861517032215488e-06,1.9034946152629573e-07
1882,2.5090803035254794e-06,1.9300617282169696e-07
1883,2.661073523313462e-06,2.0221885077553736e-07
1884,2.2762651497032493e-06,2.436026189656104e-07
1885,2.0793621118286865e-06,2.1335053590476605e-07
1886,2.11802678506956e-06,2.536211356485296e-07
1887,1.9717352337522698e-06,2.761735045098135e-07
1888,2.212874598228609e-06,2.4918616237101787e-07
1889,2.364462602599815e-06,2.7378646372255844e-07
1890,2.075774247600748e-06,2.3530247617031819e-07
1891,2.2399008230422623e-06,2.027001926308003e-07
1892,1.8930907756953275e-06,2.3569607154882988e-07
1893,2.045210088397198e-06,2.38946555208841e-07
1894,2.00577994746709e-06,2.306363331427974e-07
1895,1.8091954814281053e-06,2.7745812580803886e-07
1896,1.8463597761808614e-06,2.588795737779037e-07
1897,1.9845786347616468e-06,2.5287938143492283e-07
1898,1.6816630576954594e-06,2.3142671257136982e-07
1899,1.8451056433832491e-06,2.233141600527233e-07
1900,1.9492404952359266e-06,2.393075533291267e-07
1901,1.560375959996918e-06,2.397568943379724e-07
1902,1.427910589768544e-06,2.0181266080498972e-07
1903,1.6918889933492665e-06,2.111486185896183e-07
