year,devais_VERB envoyer_VERB,devais_VERB renvoyer_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,3.1698359492793315e-08,0.0
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,0.0
1817,7.784366928831332e-09,0.0
1818,2.384235475716423e-09,1.1921177378582115e-09
1819,2.070210003424222e-09,0.0
1820,1.1866481131050932e-08,0.0
1821,1.972297702934611e-08,0.0
1822,1.303330066093622e-08,0.0
1823,1.9765373782121287e-09,0.0
1824,0.0,0.0
1825,9.68598712347557e-09,0.0
1826,1.4092774947016551e-08,4.403992281964975e-09
1827,1.566936447261469e-08,0.0
1828,6.420610709767516e-09,0.0
1829,1.0287811491593857e-08,0.0
1830,1.3567886369969528e-08,0.0
1831,3.1182412207897414e-09,0.0
1832,2.976593194148336e-08,2.705993873419743e-09
1833,3.4750886612755494e-09,3.4750886612755494e-09
1834,1.3068342852307069e-08,9.334530925997342e-10
1835,2.2689263801112247e-09,3.781543966852041e-09
1836,4.032449929525228e-09,6.72075017860152e-09
1837,6.262101948095733e-09,6.957890930081589e-10
1838,1.009945904684173e-08,0.0
1839,1.8177836125232716e-08,0.0
1840,6.3696887764308485e-09,0.0
1841,6.420548537278137e-10,0.0
1842,1.341653010911159e-08,0.0
1843,2.3627644285539873e-09,1.2995204023980023e-08
1844,6.586273748609983e-09,1.097712254427563e-09
1845,1.1160455892778032e-09,3.348136878855712e-09
1846,7.025401593807601e-09,5.854501328173001e-10
1847,4.853901280910122e-09,0.0
1848,8.045221711050488e-10,0.0
1849,0.0,1.0893239199560867e-08
1850,1.3577992064028876e-09,0.0
1851,2.579775504329973e-09,1.9348316282474798e-09
1852,0.0,0.0
1853,3.5831591027601917e-09,1.1943863675867306e-09
1854,3.117398783558656e-09,0.0
1855,0.0,1.0613874223963649e-09
1856,7.248064815001953e-09,1.0354378465748937e-09
1857,9.763018171682347e-10,4.881509085841174e-10
1858,7.34051397444091e-09,1.9574704079872163e-09
1859,2.036869339860914e-09,0.0
1860,2.288591982591015e-09,0.0
