year,pourriez_VERB envoyer_VERB,pourriez_VERB renvoyer_VERB
1800,1.5720821977538435e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,2.3404069793286908e-08,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,8.645007198992971e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,1.5568733857662664e-08,0.0
1818,1.1921177378582115e-09,0.0
1819,9.315945348475907e-09,0.0
1820,4.746592452420373e-09,0.0
1821,1.676452932031225e-08,0.0
1822,1.804610860745015e-08,1.0025615893027862e-09
1823,7.906149512848515e-09,0.0
1824,2.2737005167527968e-08,0.0
1825,1.8491430608946757e-08,0.0
1826,2.025836387531399e-08,0.0
1827,1.7512819638909605e-08,0.0
1828,7.337841001486822e-09,0.0
1829,8.57317605795771e-10,0.0
1830,1.7742621594152297e-08,0.0
1831,6.236482441579483e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,1.50587169400751e-08,0.0
1834,1.8669061851994684e-09,0.0
1835,1.5126175867408165e-09,0.0
1836,8.736974699274924e-09,0.0
1837,1.461157062010443e-08,4.174734336004349e-09
1838,7.574594285131298e-09,0.0
1839,1.4682098203877558e-08,0.0
1840,5.095750932326837e-09,0.0
1841,6.420548537278137e-10,0.0
1842,6.708265054555795e-09,0.0
1843,1.1813822142769936e-09,0.0
1844,4.9397050894128824e-09,5.488561272137815e-10
1845,4.464182357111213e-09,5.580227946389016e-10
1846,8.781752214304106e-09,0.0
1847,4.853901280910122e-09,0.0
1848,6.43617736884039e-09,4.82713291560799e-09
1849,0.0,3.3517659758786067e-09
1850,4.752297222410107e-09,0.0
1851,1.9348316282474798e-09,3.8696632564949596e-09
1852,8.463708844885787e-09,0.0
1853,2.9859659189668264e-09,0.0
1854,8.832629738719788e-09,0.0
1855,1.5920811335945473e-09,0.0
1856,4.659470143053568e-09,0.0
1857,2.9289055625270066e-09,0.0
1858,2.936205500958522e-09,0.0
1859,1.4258085379026397e-08,0.0
1860,1.830873586072812e-08,0.0
1861,2.5937801240161207e-08,4.715963730639317e-10
1862,1.3553959066214816e-09,0.0
1863,0.0,0.0
1864,1.4863656971897399e-08,0.0
1865,8.47231973466478e-09,0.0
1866,1.9462451650298362e-09,0.0
1867,1.649955905236311e-08,0.0
1868,1.7289560005906424e-08,0.0
1869,4.883519366671862e-09,4.883519366671862e-09
1870,0.0,0.0
1871,3.18635318130589e-09,0.0
1872,1.2094678591978436e-09,6.047339295989218e-10
1873,1.1972008939764578e-09,0.0
1874,2.3898436563030145e-09,0.0
1875,9.154443425529735e-09,4.005069165202713e-09
1876,9.673623679873344e-09,0.0
1877,6.184816214727107e-09,0.0
1878,5.435179861734696e-09,4.831270938865373e-09
1879,9.774920428640144e-09,0.0
1880,7.059631101924424e-09,3.8507077526617195e-09
1881,2.091752326904839e-09,7.669758161910067e-09
1882,6.655385131892899e-10,0.0
1883,2.274962085380139e-08,0.0
1884,1.9805090900604227e-09,0.0
1885,1.160214413431504e-08,0.0
1886,4.5174246565693466e-09,0.0
1887,8.48760173255414e-09,0.0
1888,1.1413106904001324e-08,0.0
1889,6.265136853755848e-09,6.265136742733546e-10
1890,1.3764211992395303e-08,0.0
1891,1.6572972327821844e-08,5.099376032546843e-09
1892,7.522214851007902e-09,0.0
1893,4.926733243593162e-09,0.0
1894,2.142523314319078e-08,1.8904617871129403e-09
1895,3.611168697403855e-09,1.8055843487019274e-09
1896,4.717623180994224e-09,5.89702897624278e-10
1897,8.157399200570126e-09,5.826713556089658e-10
1898,1.1316709347397591e-08,0.0
1899,8.291367592505594e-09,0.0
1900,2.595526460424935e-09,0.0
1901,6.147612641171918e-09,0.0
1902,9.820567692386817e-10,0.0
1903,2.7001101354784396e-09,1.6200660812870638e-09
1904,2.1498500757388683e-09,0.0
1905,4.1286072338664326e-09,0.0
1906,5.144184633820714e-09,0.0
1907,8.742834012309686e-09,0.0
1908,8.840499887696751e-09,0.0
1909,3.300590023513905e-09,5.500983557560346e-10
1910,7.481810726517324e-09,5.344150677544235e-10
1911,2.128149656499545e-09,0.0
1912,5.2094213387476884e-09,5.209421227725386e-10
1913,8.484783542428431e-09,0.0
1914,6.696743604095445e-09,0.0
1915,3.534228465440492e-09,0.0
1916,2.197492410260793e-09,1.0987462051303964e-09
1917,3.289927441585405e-09,0.0
1918,6.89182577673364e-09,1.1486376294556067e-09
1919,9.207848372660976e-10,9.207848372660976e-10
1920,9.086678076641874e-09,0.0
1921,9.087297137000405e-09,0.0
