year,pourrais_VERB aller_VERB
1800,2.2009151834367913e-08
1801,1.4287095950749062e-08
1802,6.265952379180817e-08
1803,9.751696339321825e-09
1804,1.730295728918918e-08
1805,1.7057265822018053e-08
1806,2.0171682990621775e-08
1807,1.7081731584767113e-08
1808,3.172503681980743e-08
1809,2.4849335034105025e-08
1810,2.3401266702194334e-08
1811,1.504245972228091e-08
1812,2.6672082320544632e-09
1813,2.8757416004054903e-08
1814,6.293354282149721e-09
1815,6.74305908887618e-08
1816,1.8540831092650478e-08
1817,4.3592454090912724e-08
1818,4.530047448270125e-08
1819,1.8631890696951814e-08
1820,2.966620371580575e-08
1821,1.203101618330038e-07
1822,5.81485721795616e-08
1823,4.941343334508019e-08
1824,3.03160057057994e-08
1825,2.4655239627691117e-08
1826,4.7563116112314674e-08
1827,3.871254605769536e-08
1828,4.1275356466030644e-08
1829,3.6864655328372464e-08
1830,3.757260813586072e-08
1831,1.2317052267007966e-07
1832,3.2471927369215337e-08
1833,6.370995464521911e-08
1834,6.347480763224667e-08
1835,4.689114518896531e-08
1836,4.704525125021064e-08
1837,7.236206300831327e-08
1838,4.292270006089893e-08
1839,4.4046291947097416e-08
1840,3.821813265858509e-08
1841,3.146068650039524e-08
1842,2.884553929050071e-08
1843,3.4260082770742883e-08
1844,2.305195678786731e-08
1845,4.185170965342877e-08
1846,4.8006910446929396e-08
1847,3.235934187273415e-08
1848,4.746680914990975e-08
1849,2.262441967104678e-08
1850,5.363306954109248e-08
1851,2.257303499675345e-08
1852,1.6927417689771573e-08
1853,4.001194398028929e-08
1854,1.9743524148907454e-08
1855,3.874064091746732e-08
1856,2.847454005916461e-08
1857,3.270611159678083e-08
1858,3.425573069648635e-08
1859,3.258990943777462e-08
1860,3.066713105681629e-08
1861,6.885306902404409e-08
1862,6.731799828685325e-08
1863,3.845858032036631e-08
1864,5.4659899717535154e-08
1865,5.130460323243824e-08
1866,4.6223323835192787e-08
1867,3.688136729351754e-08
1868,2.865126980111654e-08
1869,5.811387637777443e-08
1870,4.243196016773254e-08
1871,3.9298356568906456e-08
1872,5.865918950576088e-08
1873,4.669083608632718e-08
