year,leurs_DET humeurs_NOUN,leurs_DET rumeurs_NOUN
1800,2.924072877164008e-07,0.0
1801,3.7146449116676195e-07,0.0
1802,3.6924362234458386e-07,0.0
1803,4.134719233661599e-07,0.0
1804,1.6808586167371686e-07,0.0
1805,4.321174023047547e-07,0.0
1806,3.6597199137844427e-07,0.0
1807,2.733077053562738e-07,0.0
1808,1.6768947830314573e-07,2.2660739951163578e-09
1809,2.417162525691907e-07,0.0
1810,2.10611408757444e-07,1.8721014072298203e-08
1811,2.0056614502550474e-07,0.0
1812,1.3602762427566972e-07,2.6672082320544632e-09
1813,1.7542024011163448e-07,0.0
1814,2.0453401106124147e-07,3.1466771410748606e-09
1815,1.8610842822397444e-07,0.0
1816,4.125334953641868e-07,4.6352077731626196e-09
1817,2.4909974172260263e-07,0.0
1818,2.3842355045822217e-07,0.0
1819,2.008103774375769e-07,0.0
1820,5.06698753177659e-07,1.1866481131050932e-09
1821,2.1498044588952325e-07,1.97229765852569e-09
1822,3.047787373589017e-07,0.0
1823,1.9963027853009407e-07,1.9765373782121287e-09
1824,1.9200136591734918e-07,1.6842225392110777e-08
1825,1.3560382683408534e-07,0.0
1826,1.470933317371248e-07,0.0
1827,1.4102427314810484e-07,0.0
1828,1.0639869663098267e-07,0.0
1829,1.3374155116707698e-07,4.286587973467704e-09
1830,1.0749940893006737e-07,0.0
1831,6.236482574806246e-08,6.236482441579483e-09
1832,9.470978667991403e-08,4.058990921151917e-09
1833,1.714377013684043e-07,0.0
1834,1.12947822428211e-07,4.667265685043276e-09
1835,1.1495893659230205e-07,1.0588323107185715e-08
1836,1.989341957830959e-07,6.720750067579218e-10
1837,1.982998867333663e-07,1.6003149028165353e-08
1838,1.1929985932468412e-07,5.049729523420865e-09
1839,1.0976615971713954e-07,9.788065580274008e-09
1840,9.427139247009109e-08,1.2739377330817092e-09
1841,1.072231610166341e-07,1.926164561183441e-09
1842,1.086738947719823e-07,5.366612043644636e-09
1843,9.332919420623753e-08,1.1813822142769936e-09
1844,1.2568805041190956e-07,7.1351298203126134e-09
1845,1.171847898717715e-07,5.580227946389016e-10
1846,1.1065007599064813e-07,7.610851726624901e-09
1847,6.579733202727311e-08,4.314578916364553e-09
1848,6.194820656446609e-08,8.045221711050488e-10
1849,6.284561027136704e-08,2.513824481908955e-09
1850,8.554135177973876e-08,6.788996032014438e-10
1851,8.384270699934859e-08,5.159551008659946e-09
1852,8.268392392984936e-08,6.510545436100301e-10
1853,1.0630038693726362e-07,1.7915795513800958e-09
1854,1.0027632413311949e-07,1.3508727469968562e-08
1855,1.003011078637428e-07,6.368324534378189e-09
1856,1.718826894148151e-07,1.5531567143511893e-09
1857,7.56633937726292e-08,6.8341128311999455e-09
1858,1.0423529772651818e-07,5.872411001917044e-09
