year,devez_VERB ajouter_VERB,devez_VERB rajouter_VERB
1800,9.432493897065797e-09,0.0
1801,2.1430643926123594e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,5.851017448321727e-09,0.0
1804,2.4718509905596875e-08,0.0
1805,5.685755422035754e-09,0.0
1806,8.645007376628655e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,9.064295980465431e-09,0.0
1809,9.036122072814123e-09,0.0
1810,4.680253518074551e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,1.3486118000116676e-08,0.0
1816,9.270415546325239e-09,0.0
1817,1.556873407970727e-09,0.0
1818,5.960588467246453e-09,0.0
1819,0.0,0.0
1820,5.933240565525466e-09,0.0
1821,1.7750679148775816e-08,0.0
1822,8.02049271442229e-09,0.0
1823,9.882686669016039e-09,0.0
1824,1.0105335235266466e-08,0.0
1825,9.68598712347557e-09,0.0
1826,7.0463874735082754e-09,0.0
1827,6.452091305675367e-09,0.0
1828,6.420610709767516e-09,0.0
1829,2.571952872898464e-09,0.0
1830,1.3567886369969528e-08,0.0
1831,1.2472964883158966e-08,0.0
1832,4.058990921151917e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,5.600718555598405e-09,0.0
1835,2.2689263801112247e-09,0.0
1836,2.688300027031687e-09,0.0
1837,8.349468672008697e-09,0.0
1838,1.2624323808552163e-09,0.0
1839,4.194885327990505e-09,0.0
1840,3.1848443882154243e-09,0.0
1841,1.5409316489467528e-08,0.0
1842,1.408735705865638e-08,0.0
1843,7.088293507706567e-09,0.0
1844,2.360081374774836e-08,0.0
1845,1.0602432709561072e-08,0.0
1846,5.854501328173001e-09,0.0
1847,1.0786447290911383e-08,0.0
1848,8.04522137798358e-09,0.0
1849,9.217356655710773e-09,0.0
1850,6.788996032014438e-09,0.0
1851,3.8696632564949596e-09,0.0
1852,3.906327261660181e-09,0.0
1853,4.180352064508952e-09,0.0
1854,8.313063126763609e-09,0.0
1855,9.021793090369101e-09,0.0
1856,7.765783571755946e-09,0.0
1857,5.857811125054013e-09,0.0
1858,4.893676130990343e-09,0.0
1859,4.582956236731661e-09,0.0
1860,4.119465657481669e-09,0.0
1861,1.1789909493131745e-08,0.0
1862,1.2650361647104091e-08,0.0
1863,4.495158911765884e-09,0.0
1864,9.589456340108882e-09,0.0
1865,2.165148416111151e-08,0.0
1866,4.865612801552288e-09,0.0
1867,1.552899675516528e-08,0.0
1868,6.915823469455518e-09,0.0
1869,9.767038289254515e-10,0.0
1870,6.307453670473251e-09,0.0
1871,1.1683295220166201e-08,0.0
1872,1.2094679036067646e-08,0.0
1873,1.4366410283628284e-08,0.0
1874,0.0,0.0
1875,2.8607636259891933e-09,0.0
1876,6.04601479992084e-09,0.0
1877,1.5462040536817767e-08,0.0
1878,1.3889904337816006e-08,0.0
1879,4.27652757650776e-09,0.0
1880,4.492492600149944e-09,0.0
1881,6.972507571312292e-10,0.0
1882,1.3310770263785798e-09,0.0
1883,5.687405213450347e-09,0.0
1884,1.1883054540362536e-08,0.0
1885,1.2246707647989297e-08,0.0
1886,7.744156427236248e-09,0.0
