year,moins_ADV emporté_VERB,moins_ADV remporté_VERB
1800,4.087413785214267e-08,0.0
1801,5.714838380299625e-08,7.143547975374531e-09
1802,4.923248297927785e-08,0.0
1803,2.5354410126965377e-08,3.900678446910888e-09
1804,5.9324420931261557e-08,0.0
1805,1.1371510844071508e-08,0.0
1806,3.7461699520235925e-08,0.0
1807,3.701041828563234e-08,0.0
1808,4.75875534533543e-08,0.0
1809,8.810218865562547e-08,0.0
1810,4.680253340438867e-08,0.0
1811,6.769107141479935e-08,5.0141535368197765e-09
1812,1.8670457180292033e-08,0.0
1813,7.189353823378042e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,8.900837578096343e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,4.670620157298799e-08,0.0
1818,4.4108355412575406e-08,0.0
1819,8.280839924879047e-08,0.0
1820,4.9839222526770754e-08,0.0
1821,4.7335142028259725e-08,0.0
1822,3.60922172149003e-08,0.0
1823,4.842516432290722e-08,0.0
1824,4.8000341479337294e-08,0.0
1825,1.0742640199623565e-07,0.0
1826,5.460950447400137e-08,0.0
1827,3.7790819362726324e-08,0.0
1828,2.659967357487858e-08,0.0
1829,4.715246665343287e-08,0.0
1830,6.78394300734908e-08,0.0
1831,4.8332740476553226e-08,0.0
1832,3.92369123858316e-08,0.0
1833,5.444305273272221e-08,0.0
1834,2.9870498963191494e-08,0.0
1835,4.0840674842002045e-08,2.2689263801112247e-09
1836,5.3093924978764306e-08,4.704525213838906e-09
1837,2.5744196108234974e-08,2.0873671680021744e-09
1838,4.102905393210676e-08,0.0
1839,3.076248944466897e-08,6.9914751765765e-10
1840,4.267691267045848e-08,7.0066574764382494e-09
1841,4.8796167106957e-08,0.0
1842,4.293289634915709e-08,3.3541325272778977e-09
1843,2.5990408047960045e-08,5.31621990873532e-09
1844,1.975882035765153e-08,4.390849017710252e-09
1845,6.194053270291988e-08,0.0
1846,2.6930706553685013e-08,1.7563503984519002e-09
1847,2.8584086209093584e-08,5.393223645455691e-10
1848,3.298540818263973e-08,8.045221711050488e-10
1849,2.0948537127196687e-08,0.0
1850,4.073397619208663e-08,0.0
1851,4.70809027319774e-08,1.1608989325395669e-08
1852,3.906327350478023e-08,5.208436348880241e-09
1853,4.598387448595531e-08,5.971931837933653e-10
1854,4.72805474771576e-08,3.117398783558656e-09
1855,2.2289135870323662e-08,3.1841622671890946e-09
1856,2.2261913645849063e-08,5.177189232874468e-10
1857,5.2232147940145524e-08,0.0
1858,4.061750924488905e-08,1.468102750479261e-09
1859,3.717286722881852e-08,5.092173349652285e-10
1860,3.249800606397457e-08,7.323494255473406e-09
1861,3.725611519289629e-08,4.715963730639317e-10
1862,2.84633134839396e-08,0.0
1863,2.796987619291258e-08,9.489779628779615e-09
1864,1.8699438442126848e-08,4.794728170054441e-09
1865,3.6242703060906933e-08,7.0602665935837194e-09
1866,2.3841504159793914e-08,2.919367858567057e-09
1867,4.124889763090778e-08,1.94112459439566e-09
1868,2.9145256874585357e-08,0.0
1869,3.95565056265923e-08,9.767038289254515e-10
1870,4.6445796098026904e-08,2.2936195165357276e-09
1871,2.442870794538976e-08,0.0
1872,2.116568786902917e-08,4.23313739617015e-09
1873,2.6937019725892242e-08,0.0
1874,2.2106053876314036e-08,3.5847653734322193e-09
1875,1.7736734747586524e-08,2.2886108563824337e-09
1876,2.0556450763820067e-08,9.673623679873344e-09
1877,1.1751150386096754e-08,0.0
1878,4.227361927178208e-08,6.039088673581716e-10
1879,2.4437300960578057e-08,1.832797580370027e-09
1880,2.1178893305773272e-08,1.2835692508872398e-09
1881,2.71927800277183e-08,8.367009307619355e-09
1882,3.261138825649823e-08,7.986462158271479e-09
1883,3.159669503816076e-08,0.0
1884,1.1883054540362536e-08,3.300848483434038e-09
1885,2.707166979476483e-08,2.5782542767416317e-09
1886,2.0005737511041843e-08,1.2906927748801422e-09
1887,1.3710741486594458e-08,6.528924623161458e-10
1888,1.268122939990235e-08,6.340614699951175e-10
1889,3.884384724983647e-08,6.265136742733546e-10
1890,2.1629475099871343e-08,5.898947996740844e-09
1891,1.6572972327821844e-08,1.9122659011827636e-09
1892,1.9432388143059143e-08,7.522214851007902e-09
1893,3.0176241949675386e-08,4.926733243593162e-09
