year,voulais_VERB envoyer_VERB,voulais_VERB renvoyer_VERB
1800,0.0,0.0
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,1.3427040812530322e-08,1.7902721083373763e-08
1803,3.900678446910888e-09,3.900678446910888e-09
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,1.600324850414836e-08,1.8670457180292033e-08
1813,0.0,0.0
1814,3.776012391654149e-08,3.1466771410748606e-09
1815,0.0,0.0
1816,2.0858434979231788e-08,0.0
1817,7.7843672841027e-08,0.0
1818,7.152706427149269e-09,3.5763532135746345e-09
1819,2.2772310259711048e-08,0.0
1820,1.3053129244156025e-08,3.5599443393152796e-09
1821,3.35290586406245e-08,9.86148829262845e-10
1822,7.017931125119503e-09,6.015369535816717e-09
1823,3.4589405117912975e-08,0.0
1824,7.57900142644985e-09,0.0
1825,2.6416328680056722e-08,8.805443041381977e-10
1826,1.8496766784892316e-08,8.807984341885344e-10
1827,1.7512819638909605e-08,0.0
1828,1.4675682002973645e-08,0.0
1829,2.5719527840806222e-08,0.0
1830,1.5655253093882493e-08,2.0873671680021744e-09
1831,4.677361786775691e-08,0.0
1832,1.0823975493678972e-08,0.0
1833,3.1275796175123105e-08,0.0
1834,2.8003592777992026e-09,0.0
1835,1.1344631900556124e-08,3.025235173481633e-09
1836,1.1425274948351216e-08,2.016224964762614e-09
1837,4.87052354003481e-09,6.957890930081589e-10
1838,2.0830134062066463e-08,3.1560809521380406e-09
1839,1.8177836125232716e-08,5.5931801412612e-09
1840,1.0191501864653674e-08,6.3696887764308485e-09
1841,1.0272877659645019e-08,0.0
1842,6.037438549100216e-09,1.341653010911159e-09
1843,9.451057714215949e-09,0.0
1844,1.2623690537338916e-08,0.0
1845,7.254296274794569e-09,0.0
1846,3.5127007969038004e-09,0.0
1847,3.775256551818984e-09,0.0
1848,5.63165514222419e-09,0.0
1849,7.54147322368226e-09,0.0
1850,2.7155984128057753e-09,0.0
1851,1.3543821175687754e-08,3.2247193804124663e-09
1852,3.906327261660181e-09,4.557382027314816e-09
1853,2.030456869306363e-08,0.0
1854,9.871762074453727e-09,0.0
1855,1.8043586180738203e-08,3.1841622671890946e-09
1856,7.248064815001953e-09,0.0
1857,5.369659827891837e-09,4.881509085841174e-10
1858,9.297984604472731e-09,2.4468380654951716e-09
1859,1.884104072757964e-08,2.5460866748261424e-09
1860,8.696649622663699e-09,4.577183909670879e-10
1861,9.903524222920623e-09,4.715963619617014e-09
1862,2.1686334505943705e-08,4.517986262886353e-10
1863,2.3474717281146695e-08,0.0
1864,1.726102105692462e-08,0.0
1865,1.2708479601997169e-08,1.882737743486018e-09
1866,8.75810357570117e-09,0.0
1867,1.0190904120577216e-08,0.0
1868,1.4819621974027086e-08,4.93987406535723e-10
1869,1.0743741896135361e-08,0.0
1870,6.880858549607183e-09,5.734048791339319e-10
1871,6.37270636261178e-09,0.0
1872,2.660829245826335e-08,0.0
1873,1.2570609442263958e-08,0.0
1874,1.3144139998644278e-08,0.0
1875,2.1741803024610817e-08,3.432916173551348e-09
1876,1.209202959984168e-08,6.04601479992084e-10
1877,3.030559980743419e-08,6.184815992682502e-10
1878,7.2469061862534545e-09,0.0
1879,1.0385853066452455e-08,6.10932526790009e-10
1880,2.1178893305773272e-08,6.417846254436199e-10
1881,1.4642266066289267e-08,4.183504653809678e-09
1882,1.8635077481121698e-08,0.0
1883,1.516641390253426e-08,0.0
1884,2.3766109080725073e-08,0.0
1885,4.511945039809007e-09,0.0
1886,6.453463874400711e-10,3.872078213618124e-09
1887,7.834709769838355e-09,1.9586774424595887e-09
1888,7.60873763994141e-09,6.340614699951175e-10
1889,9.397704836544563e-09,6.265136742733546e-10
1890,9.176140736144589e-09,8.520702365899524e-09
1891,8.92390783491237e-09,0.0
1892,1.2537024751679837e-09,1.8805537127519756e-09
1893,5.542574843531156e-09,4.310891643655168e-09
1894,8.192000855444803e-09,0.0
1895,9.027921521465032e-09,1.2037228991346183e-09
1896,7.66613794667137e-09,1.179405795248556e-09
1897,5.2440420894583895e-09,0.0
1898,5.6583548957434e-10,5.6583546736987955e-09
1899,2.7637891975018647e-09,0.0
1900,8.30568502863116e-09,0.0
1901,1.2854099118442264e-08,0.0
1902,5.892340837476695e-09,9.820567692386817e-10
1903,9.720396931811592e-09,0.0
1904,5.374625189347171e-09,0.0
1905,1.3417973399043603e-08,0.0
1906,4.629765903985117e-09,0.0
1907,5.65712765521198e-09,5.142843373384665e-10
1908,1.1787333775714615e-08,0.0
1909,7.151278680339601e-09,1.1001967115120692e-09
1910,8.01622590529405e-09,4.809735720812114e-09
1911,8.51259862599818e-09,1.0640748282497725e-09
1912,1.6670147928721235e-08,0.0
1913,5.833288518886093e-09,0.0
1914,6.696743604095445e-09,0.0
1915,2.3561523843085297e-09,0.0
1916,1.648119329900055e-08,0.0
1917,1.973956464951243e-08,0.0
1918,2.067547733020092e-08,0.0
1919,6.4454939163738345e-09,0.0
1920,3.786115865267448e-09,0.0
1921,9.087297137000405e-09,6.815472630705699e-09
1922,3.6889677978990676e-09,0.0
1923,3.1847844361720945e-09,1.0615948120573648e-09
1924,6.445812328337297e-09,0.0
1925,1.2097995494286806e-08,2.1996355847875293e-09
1926,5.57306911730393e-09,0.0
1927,1.1149224654616319e-08,0.0
1928,1.0283437212876834e-08,2.2852082448565625e-09
1929,3.342121912552898e-09,1.1140406375176326e-09
1930,6.302162347537887e-09,1.0503603542488804e-09
1931,1.596749932275543e-08,0.0
1932,2.1919073223131136e-09,0.0
1933,2.2941324395731044e-09,0.0
1934,5.990790086229936e-09,0.0
1935,4.787313656606784e-09,0.0
1936,3.6374143697059935e-09,1.2124714565686645e-09
1937,3.777335333410292e-09,0.0
1938,5.186085783037697e-09,1.2965214457594243e-09
1939,1.5294050470515685e-09,0.0
1940,2.5357829169792012e-09,0.0
1941,5.9030051957620344e-09,0.0
1942,1.517105907566929e-08,0.0
1943,5.806470415592457e-09,0.0
1944,1.6065930807940276e-08,0.0
1945,1.089252066321933e-08,0.0
1946,4.1763312808029696e-09,4.1763312808029696e-09
1947,1.0728784083369192e-08,3.5762612871081956e-09
1948,1.7395020535104777e-08,0.0
1949,1.3743811422273211e-08,0.0
1950,1.2762433776458693e-08,0.0
1951,6.396841278899501e-09,0.0
1952,7.381362632230548e-09,1.0544803918932644e-09
1953,3.232148326759443e-09,0.0
1954,3.9090144454689835e-09,0.0
1955,1.220129064449793e-08,0.0
1956,4.360570571293465e-09,0.0
1957,7.951533653738352e-09,0.0
1958,2.4816730892496253e-09,0.0
1959,1.3951345856355601e-08,0.0
1960,8.305000243069571e-09,0.0
1961,6.25334317660986e-09,0.0
1962,8.8787386332001e-09,5.0735651235811474e-09
1963,7.1126584622049904e-09,1.939815863494232e-09
1964,1.0951143103454797e-08,6.083968329129164e-10
1965,6.0192477668863376e-09,0.0
1966,7.754704434148607e-09,5.539074754423723e-10
1967,2.465167847631733e-09,1.4791006197611978e-09
1968,3.1439910674890825e-09,2.245707841908029e-09
1969,4.541757636644661e-09,4.5417578031781147e-10
1970,5.518470125309705e-09,0.0
1971,7.193756701440179e-09,0.0
1972,5.643161493651405e-09,0.0
1973,5.513203671370093e-09,0.0
1974,3.3753431161187564e-09,5.625571675160757e-10
1975,3.998036124386317e-09,0.0
1976,4.570821499072508e-09,5.713526873840635e-10
