year,véritables_ADJ règles_NOUN
1800,3.772997558826319e-08
1801,4.286128785224719e-08
1802,8.056224487518193e-08
1803,5.070882025393075e-08
1804,8.404293261321527e-08
1805,9.950071699904584e-08
1806,1.7578182109900808e-07
1807,5.693910054560547e-08
1808,9.970725756147658e-08
1809,9.713830984026117e-08
1810,2.0593115834799391e-07
1811,4.763445815569867e-08
1812,1.3069320914382843e-07
1813,1.782959770935122e-07
1814,5.97868634599763e-08
1815,5.1247248222807684e-08
1816,6.952811304472561e-08
1817,1.214361304846534e-07
1818,7.152706160695743e-08
1819,2.7430283466856054e-07
1820,1.1154492085552192e-07
1821,5.818278125957477e-08
1822,8.622029668003961e-08
1823,5.435477845594505e-08
1824,7.663212642228245e-08
1825,9.862095851076447e-08
1826,9.072223861039674e-08
1827,9.86248192003103e-08
1828,1.3758451622436496e-07
1829,2.066135493805632e-07
1830,8.662573947049168e-08
1831,2.3386808933878456e-08
1832,5.547287429408243e-08
1833,9.03523016404506e-08
1834,3.640467127752345e-08
1835,9.756383434478266e-08
1836,6.653542783396915e-08
1837,6.470838798122713e-08
1838,9.02639172295494e-08
1839,7.480878139176639e-08
1840,7.261444778805526e-08
1841,9.951850188372191e-08
1842,5.836190553054621e-08
1843,1.2345444133643468e-07
1844,8.452384037127558e-08
1845,1.1216258144486346e-07
1846,8.079211966105504e-08
1847,8.952751073820764e-08
1848,7.642960753173611e-08
1849,5.027649052635752e-08
1850,8.893584890756756e-08
1851,9.480675089434953e-08
1852,1.0221556578926538e-07
1853,7.882950114890264e-08
1854,8.105236304345453e-08
1855,8.491099379170919e-08
1856,5.901995692170203e-08
1857,8.933161410595858e-08
1858,5.8234743249840903e-08
1859,7.791025069536772e-08
1860,9.428998737348593e-08
1861,9.620566032708666e-08
1862,5.2408640982548604e-08
1863,6.093437576737415e-08
1864,5.3221480555976086e-08
1865,6.071829306009136e-08
1866,9.244664811447478e-08
1867,6.745407610253551e-08
1868,7.656804612565793e-08
1869,1.0206555189906652e-07
1870,6.938198993111655e-08
1871,4.036047429600842e-08
1872,5.805445724149649e-08
1873,5.088103804951061e-08
1874,8.364452452891413e-08
1875,4.176714796244596e-08
1876,8.04119935082781e-08
1877,4.7004601100297805e-08
1878,5.435179772916854e-08
1879,6.659164597522249e-08
1880,6.995452395130997e-08
1881,8.436734333372442e-08
1882,6.455723422504889e-08
1883,6.951272979449641e-08
1884,4.8192387858136954e-08
1885,4.7053141827291256e-08
1886,5.679048342699389e-08
1887,4.0479331886444925e-08
1888,3.6775563927449184e-08
1889,3.884384724983647e-08
1890,4.325895225365528e-08
1891,4.0157585257105666e-08
1892,5.014809900671935e-08
1893,3.633465794905533e-08
1894,5.356308463433379e-08
1895,2.8287487907618925e-08
1896,5.838058569906934e-08
1897,3.8456310136325556e-08
1898,4.6964345301603316e-08
1899,4.2009595802028343e-08
1900,3.7894686499839736e-08
1901,3.129693837422565e-08
1902,2.5042448115186744e-08
1903,4.428180488957878e-08
1904,4.6759240035498806e-08
1905,3.973784501454247e-08
