year,vastes_ADJ routes_NOUN
1800,2.2009151834367913e-08
1801,0.0
1802,1.5664880947952042e-08
1803,1.1702034896643454e-08
1804,1.2359254952798437e-08
1805,2.842877711017877e-09
1806,0.0
1807,2.8469551160981155e-09
1808,9.064295980465431e-09
1809,6.7770917766551975e-09
1810,3.042164919975221e-08
1811,0.0
1812,2.6672082320544632e-09
1813,4.026038169513413e-08
1814,3.776012391654149e-08
1815,2.697223555614414e-09
1816,6.952811659743929e-09
1817,3.113746815941454e-09
1818,1.3113295338484932e-08
1819,5.175524897538253e-09
1820,2.1359666035891678e-08
1821,9.861488514673056e-09
1822,1.303330066093622e-08
1823,2.075364236020505e-08
1824,1.1789557774477544e-08
1825,1.4088708866211164e-08
1826,1.2331177856594877e-08
1827,1.1982455028203276e-08
1828,9.172301251858528e-10
1829,1.8860987438529264e-08
1830,6.262101504006523e-09
1831,0.0
1832,1.3529969367098715e-09
1833,0.0
1834,5.600718555598405e-09
1835,2.193295500774184e-08
1836,2.688300027031687e-09
1837,1.1828414692161004e-08
1838,1.4517972601879592e-08
1839,6.9914749545318955e-09
1840,1.46502836528839e-08
1841,1.733548060656176e-08
1842,1.9453969102301016e-08
1843,1.2995204023980023e-08
1844,6.037417232818143e-09
1845,3.2923345827384765e-08
1846,1.0538101946622191e-08
1847,7.550513103637968e-09
1848,4.82713291560799e-09
1849,2.513824481908955e-09
1850,7.467895635215882e-09
1851,6.449438760824933e-09
1852,5.859490670445666e-09
1853,2.388772735173461e-09
1854,6.754363734984281e-09
1855,1.5920811335945473e-09
1856,6.212626857404757e-09
1857,9.763017949637742e-09
1858,2.936205500958522e-09
1859,3.5645213447565993e-09
1860,2.288591982591015e-09
1861,8.488735048217677e-09
1862,4.9697850279528666e-09
1863,2.9967726078439227e-09
1864,0.0
1865,7.0602665935837194e-09
1866,7.298419202328432e-09
1867,4.85281148598915e-10
1868,3.951899252285784e-09
1869,7.325278605918584e-09
1870,6.880858549607183e-09
1871,0.0
