year,elles_PRON amènent_VERB,elles_PRON ramènent_VERB
1800,7.860410988769218e-08,3.772997425599556e-08
1801,7.143547731125466e-08,2.1430643926123594e-08
1802,1.1636768704192946e-07,1.7902721083373763e-08
1803,1.1116933773536175e-07,2.5354410126965377e-08
1804,8.404293438957211e-08,7.4155526164076946e-09
1805,5.4014676953428875e-08,6.254330742194725e-08
1806,6.339672076194347e-08,3.458002950651462e-08
1807,3.701041606518629e-08,1.7081731584767113e-08
1808,4.078933102391602e-08,4.078933102391602e-08
1809,1.5135504072283368e-07,4.518061036407062e-09
1810,6.084329484679074e-08,1.1700633795186377e-08
1811,6.016984421819416e-08,0.0
1812,1.0402111882967802e-07,2.6672082320544632e-09
1813,3.7384642270765767e-08,2.300593315851529e-08
1814,2.8320094713762956e-08,3.4613449884091096e-08
1815,5.124724800076308e-08,0.0
1816,4.1716869958463576e-08,2.7811246638975717e-08
1817,7.940054658206464e-08,4.981994994324168e-08
1818,1.1205906425004741e-07,7.152706427149269e-09
1819,5.6930774094965386e-08,4.140419918030602e-08
1820,5.3399164201550775e-08,2.4919610375206958e-08
1821,6.31135259610005e-08,2.1695274909916407e-08
1822,7.118187284049782e-08,1.0025615893027862e-08
1823,5.23782400785322e-08,2.2730180404550993e-08
1824,6.06320114115988e-08,1.6000114122505238e-08
1825,6.163810262194147e-08,3.258013947515792e-08
1826,7.48678655737578e-08,2.6423952581566823e-08
1827,7.742509627872707e-08,5.530363722527909e-09
1828,7.613009689322325e-08,6.420610987323272e-09
1829,5.401100855451091e-08,2.4862210068476998e-08
1830,6.157733256628717e-08,9.39315247805439e-09
1831,7.483778574624012e-08,9.354723218280014e-09
1832,5.817886894465829e-08,1.352996958914332e-08
1833,7.992703610071317e-08,2.89590715851773e-08
1834,5.974099615002615e-08,2.9870499407280704e-08
1835,8.621920244422654e-08,2.4958190181223472e-08
1836,1.0282747542333937e-07,2.822714967321005e-08
1837,8.349468938462223e-08,3.061472142462662e-08
1838,6.43840500913484e-08,1.4517972601879592e-08
1839,7.131304702312491e-08,2.1673573602498664e-08
1840,4.904660427795804e-08,4.267691444681532e-08
1841,6.16372655137809e-08,1.6051371787284552e-08
1842,9.458653860150434e-08,2.6833059330044762e-08
1843,5.8478418663021614e-08,1.772073249250994e-08
1844,5.159247629116237e-08,2.3051957898090336e-08
1845,5.970843908187362e-08,3.9061594847566994e-08
1846,7.142491953437968e-08,3.1614307616223414e-08
1847,7.33478415781974e-08,3.66739207890987e-08
1848,1.0378335879579481e-07,2.735375392859396e-08
1849,8.798385753294724e-08,3.7707368560901955e-08
1850,5.295417082606946e-08,1.6293590476834652e-08
1851,1.0319102261568958e-07,2.3217979538969757e-08
