year,aurons_VERB apporté_VERB,aurons_VERB rapporté_VERB
1800,0.0,6.288328968651058e-09
1801,2.3811825844433088e-09,9.524730337773235e-09
1802,0.0,0.0
1803,1.950339223455444e-09,5.851017448321727e-09
1804,0.0,3.460591457837836e-08
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.562259560079383e-08
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,1.0028307073639553e-08
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,2.2026739543434815e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,2.384235475716423e-09
1819,0.0,1.035105001712111e-09
1820,0.0,2.3732962262101864e-09
1821,0.0,9.86148829262845e-10
1822,0.0,0.0
1823,0.0,4.941343334508019e-09
1824,0.0,8.421112696055388e-10
1825,0.0,3.522177216552791e-09
1826,0.0,1.7615968683770689e-09
1827,4.608636583469661e-09,5.530363722527909e-09
1828,9.172301251858528e-10,0.0
1829,0.0,8.57317605795771e-10
1830,0.0,4.174734336004349e-09
1831,0.0,3.1182412207897414e-09
1832,1.3529969367098715e-09,1.8941957335982806e-08
1833,0.0,0.0
1834,9.334530925997342e-10,0.0
1835,0.0,0.0
1836,4.032449929525228e-09,9.409050427677812e-09
1837,1.3915781860163179e-09,6.957890930081589e-10
1838,6.312161904276081e-10,2.5248647617104325e-09
1839,4.194885327990505e-09,1.3982950353153e-09
1840,6.369688665408546e-10,8.280594876453051e-09
1841,7.0626033910059505e-09,5.778493683550323e-09
1842,1.2074877098200432e-08,5.366612043644636e-09
1843,1.1813822142769936e-09,5.906910960362666e-09
1844,3.841992946007622e-09,6.037417232818143e-09
1845,5.580227946389016e-10,8.37034175305007e-09
1846,1.1709002656346001e-09,1.2879903366069811e-08
1847,0.0,1.4561703842730367e-08
1848,1.6090443422100975e-09,1.609044275596716e-08
1849,1.005529792763582e-08,5.02764896381791e-09
1850,0.0,8.82569484161877e-09
1851,6.449438760824933e-10,6.449438760824933e-10
1852,6.510545436100301e-10,2.6042181744401205e-09
1853,0.0,4.777545470346922e-09
1854,0.0,2.5978321716024766e-09
1855,2.653468555990912e-09,2.1227748447927297e-09
1856,5.177189232874468e-10,3.1063134287023786e-09
1857,8.298565390418844e-09,4.393358121745905e-09
1858,7.34051397444091e-09,1.468102750479261e-09
1859,5.092173349652285e-10,1.018434669930457e-09
1860,3.204028820036342e-09,9.612086238064421e-09
1861,9.431927461278633e-10,4.715963730639317e-10
1862,1.3553959066214816e-09,4.517986262886353e-10
1863,1.9978483312144135e-09,1.9978483312144135e-09
1864,4.794727948009836e-10,2.8768367688059016e-09
1865,4.706844358715045e-10,2.8241067262513297e-09
1866,1.4596839292835284e-09,9.731225825149181e-10
1867,1.3102591012170706e-08,1.455843445796745e-09
1868,3.457911734727759e-09,0.0
1869,1.953407657850903e-09,1.4650557433881772e-09
1870,3.4404292748035914e-09,1.1468097582678638e-09
1871,2.1242354542039266e-09,0.0
1872,4.23313739617015e-09,3.0236697590169115e-09
1873,5.986004469882289e-10,2.3944017879529156e-09
1874,4.182226565063729e-09,7.169530746864439e-09
1875,5.721527140956084e-10,5.721527140956084e-10
1876,0.0,4.232210137899983e-09
1877,6.184815992682502e-10,4.329371083855449e-09
1878,0.0,3.0195443923020093e-09
1879,0.0,6.720257683667796e-09
1880,0.0,2.5671385017744797e-09
1881,6.972507571312292e-10,5.5780060570498335e-09
1882,0.0,0.0
1883,1.8958017378167824e-09,4.423537092179686e-09
1884,3.300848483434038e-09,1.9805090900604227e-09
1885,2.5782542767416317e-09,6.445635691854079e-10
1886,1.936039106809062e-09,1.936039106809062e-09
1887,5.223139698529167e-09,3.9173548849191775e-09
1888,1.268122939990235e-09,1.014498351992188e-08
1889,6.265136742733546e-10,3.132568426877924e-09
1890,4.5880703680722945e-09,6.554386478008212e-10
1891,4.461953917456185e-09,5.099376032546843e-09
1892,3.1342561879199593e-09,6.268512375839919e-10
1893,2.463366621796581e-09,1.2316833108982905e-09
1894,4.411077725308132e-09,1.2603078580752936e-09
1895,0.0,6.018614495673091e-10
1896,1.7691086373616827e-09,0.0
1897,7.574727511894253e-09,0.0
1898,1.6975064687230201e-09,0.0
1899,4.4220627160029835e-09,0.0
1900,3.633737311048435e-09,2.595526460424935e-09
1901,7.265360757457984e-09,0.0
1902,2.455141867585553e-09,9.820567692386817e-10
1903,4.320176216765503e-09,1.0800440541913758e-09
1904,5.374625189347171e-10,1.6123875568041512e-09
1905,4.1286072338664326e-09,0.0
1906,5.658602919567102e-09,9.773950537805831e-09
1907,6.685696440911215e-09,0.0
1908,6.384805573134145e-09,4.911389073214423e-10
1909,8.801573692096554e-09,3.300590023513905e-09
1910,4.275320542035388e-09,0.0
1911,1.4897047151407605e-08,5.320374141248863e-10
1912,8.856016364688912e-09,2.6047106693738442e-09
1913,1.1666577037772186e-08,3.181793939432964e-09
1914,6.027069510139427e-09,4.68772043404897e-09
1915,3.534228465440492e-09,9.424609537234119e-09
1916,2.197492410260793e-09,2.197492410260793e-09
1917,6.57985488317081e-09,0.0
1918,1.4932290071101306e-08,0.0
1919,2.762354567309444e-09,0.0
1920,1.514446346106979e-09,7.572231730534895e-10
1921,4.543648568500203e-09,0.0
1922,2.951174193910333e-09,3.6889677978990676e-09
1923,4.246379248229459e-09,0.0
1924,7.734974438733389e-09,0.0
1925,2.1996355847875293e-09,7.698724324711748e-09
1926,6.687683296036084e-09,1.1146138456652466e-09
1927,4.4596899506643695e-09,4.4596899506643695e-09
1928,1.1426041224282812e-09,0.0
1929,1.1140406375176326e-09,4.4561625500705304e-09
1930,6.302162347537887e-09,3.1510811737689437e-09
1931,4.5621426636444085e-09,0.0
1932,5.4797681947604815e-09,2.1919073223131136e-09
1933,6.882397318719313e-09,2.2941324395731044e-09
1934,1.677421224144382e-08,0.0
