year,les_DET oies_NOUN,les_DET rois_NOUN
1800,1.2576657759666432e-06,2.6536747810723682e-05
1801,1.1977348979286262e-06,2.553818231376681e-05
1802,1.163676898841004e-06,2.8237066032943403e-05
1803,2.1687771649681054e-06,3.141216379276557e-05
1804,1.3867083934471225e-06,2.4651768740113766e-05
1805,2.2146017630841897e-06,3.2781223751499056e-05
1806,5.79215488016871e-07,2.946794893432525e-05
1807,5.523092792003581e-07,2.515569568117826e-05
1808,9.789439445739845e-07,3.262013581206702e-05
1809,1.5790623262290637e-06,2.7099329855673204e-05
1810,8.284048975681912e-07,2.8334255375739303e-05
1811,6.86939027438882e-07,3.125071253862188e-05
1812,3.040617375660304e-07,2.0249445014997036e-05
1813,4.486156939265129e-07,2.2735613697477675e-05
1814,4.6256154684343187e-07,4.140397686569486e-05
1815,5.772058635500343e-07,3.57328167410742e-05
1816,7.207747927395758e-07,2.7635109347556863e-05
1817,6.896949305001954e-07,3.619107974373037e-05
1818,1.624856460047397e-06,4.1186474646792703e-05
1819,3.560761119292266e-07,4.226437218335377e-05
1820,6.028172503391716e-07,3.717412459991465e-05
1821,3.8361188581248484e-07,3.8563349150422255e-05
1822,7.128213184159904e-07,3.563705396913974e-05
1823,6.453394680860924e-07,3.437791420424219e-05
1824,4.7326652907742073e-07,3.4760668512490156e-05
1825,8.04817498867294e-07,3.76555968273351e-05
1826,4.862007410011415e-07,3.796681502876709e-05
1827,7.521294603796136e-07,3.371125364992622e-05
1828,6.741641236374107e-07,3.255249762901258e-05
1829,5.332515518041703e-07,3.5560677446255795e-05
1830,5.604580937124126e-07,3.6234605971685596e-05
1831,5.347783620379687e-07,2.9624850355958188e-05
1832,4.7354891563600177e-07,2.955486597500112e-05
1833,5.444305370971847e-07,2.810883370329975e-05
1834,6.823541847111869e-07,3.2471100212205783e-05
1835,6.239547474251594e-07,3.1600851151836196e-05
1836,6.431757593183818e-07,3.2931003929093094e-05
1837,5.656765456052426e-07,2.8907949101153463e-05
1838,5.655697066231369e-07,3.658213366009022e-05
1839,5.949745203182033e-07,3.062965319600153e-05
1840,4.834593818614508e-07,3.162677783308254e-05
1841,4.25040309615099e-07,2.7895356765839097e-05
1842,4.320122641843227e-07,2.9724992884894164e-05
1843,4.690087438419255e-07,3.0229798028358346e-05
1844,4.7476054065853646e-07,3.3197563176656786e-05
1845,6.679532877917893e-07,2.769913542977065e-05
1846,3.9225158054989606e-07,3.2860145438462496e-05
1847,7.286245065074581e-07,2.7732495681220826e-05
1848,5.044354058902911e-07,2.9217831354344526e-05
1849,4.047257355921374e-07,2.333834582657346e-05
1850,4.4332145066050543e-07,2.3572072592514814e-05
1851,5.559416085265667e-07,2.8595521321506112e-05
1852,5.162862439789251e-07,2.5522639823805093e-05
1853,6.819946207770045e-07,2.524275868154291e-05
1854,4.494249861153321e-07,2.496464888679384e-05
1855,5.046897229021852e-07,2.6887065430969415e-05
1856,4.902798327321989e-07,2.5484714072376846e-05
1857,4.115112304248214e-07,2.529060968470276e-05
1858,4.0519638666580704e-07,2.65721710093203e-05
1859,5.412980277341717e-07,2.6212981538265012e-05
1860,4.641264600979689e-07,2.6991195156256254e-05
1861,4.7253954882364724e-07,2.5193149966185047e-05
1862,4.716777590729748e-07,2.369683775782505e-05
1863,4.390271755028152e-07,2.453807329771962e-05
1864,5.489963399440967e-07,2.229644306339651e-05
1865,5.492887309443972e-07,2.6088155664183432e-05
1866,4.1406367046192827e-07,2.3897943840722746e-05
1867,5.74572872835688e-07,2.2392327153397673e-05
1868,6.001947054912193e-07,2.0225819469033013e-05
1869,4.903053287819148e-07,2.2931051830710203e-05
1870,4.656047671858232e-07,2.1941910908651607e-05
1871,5.703572205639773e-07,1.713195905495013e-05
1872,4.3540843108758054e-07,1.9881233399132725e-05
1873,5.225781896101012e-07,1.6872151718416717e-05
1874,5.580284909711963e-07,1.721762845363628e-05
1875,4.828969011327899e-07,1.7423194904608863e-05
1876,4.6554313826163707e-07,1.6587241560728216e-05
1877,6.110598054220873e-07,1.784814203631413e-05
1878,4.813153733351783e-07,1.8471760370175616e-05
1879,4.661415058393459e-07,1.7854503155945167e-05
1880,6.327996473487474e-07,1.8935214413318135e-05
1881,5.68956634694473e-07,1.532487394229065e-05
1882,5.051437419467675e-07,1.6703685616903385e-05
1883,6.243506760483797e-07,1.6237541231589603e-05
1884,5.644450800090794e-07,1.6252717870202105e-05
1885,4.10586999510798e-07,1.578600667073715e-05
1886,4.5238780543854773e-07,1.4964291864316692e-05
1887,4.968511522207564e-07,1.373163436824143e-05
1888,4.3496617152527506e-07,1.6074092670237405e-05
1889,4.4858378878132044e-07,1.5574503009929686e-05
1890,4.817473957530183e-07,1.3739304606019687e-05
1891,4.2707273628650455e-07,1.389643729510226e-05
1892,5.904938618073174e-07,1.468148236227762e-05
1893,5.413248107544177e-07,1.5237154485703286e-05
1894,3.7494157112405446e-07,1.2995664178561128e-05
1895,3.9482110825161953e-07,1.2090795010522015e-05
1896,5.183488394067126e-07,1.1945611674946122e-05
1897,4.492396001865018e-07,1.0273661118276323e-05
1898,4.837893285980499e-07,1.2130381264796597e-05
1899,5.378333831629334e-07,1.2007558311211142e-05
1900,4.2981919623485965e-07,1.1944613113712421e-05
1901,3.917705884148859e-07,1.0227392465367302e-05
1902,3.3831854984178733e-07,8.679417618395746e-06
1903,3.9529613271582775e-07,1.0719437227635353e-05
1904,4.6651745932990707e-07,1.0117194598535661e-05
1905,4.180214836502216e-07,1.0171856494878284e-05
1906,4.840677552131467e-07,9.683413360050963e-06
1907,4.4639880325547665e-07,9.546660315606914e-06
1908,4.16976919659362e-07,9.327710223772101e-06
1909,3.9001974716512677e-07,9.364874586026417e-06
1910,5.509819449578401e-07,1.1036740247050147e-05
1911,4.878783039785617e-07,1.139624163215558e-05
1912,4.3759138845800294e-07,1.0829865857431287e-05
1913,3.887091333254489e-07,9.77659168199807e-06
1914,4.855139064119385e-07,9.992211303710974e-06
1915,2.473959943571913e-07,8.061575464068937e-06
1916,2.6809406961092463e-07,8.235103003073618e-06
1917,3.893080684491679e-07,9.443187941826636e-06
1918,3.652667697195966e-07,8.316136344888037e-06
1919,4.797288877256278e-07,8.731802608963335e-06
1920,4.3616053879702577e-07,8.804233743830991e-06
1921,4.4300572987765463e-07,8.076334935935847e-06
1922,4.84730355410079e-07,8.48905247607945e-06
1923,4.299459046563925e-07,9.731639750043541e-06
1924,4.963275417324553e-07,1.0504095172336747e-05
1925,3.838364168728958e-07,1.0176614125612105e-05
1926,4.514186233706141e-07,1.0877516899654438e-05
1927,4.325899194412841e-07,1.0697681091187405e-05
1928,3.850575769348552e-07,8.468981903320127e-06
1929,4.1999331834574605e-07,9.77682049096984e-06
1930,3.497700085119959e-07,9.856581868916692e-06
1931,3.25052660343772e-07,7.933565953521793e-06
1932,2.487814780849362e-07,8.539671114249359e-06
1933,4.886502225076583e-07,8.401112822298273e-06
1934,3.9059950296405077e-07,9.75420468307675e-06
1935,4.176931147625851e-07,8.948685859877514e-06
1936,4.910509403543983e-07,9.015937848744215e-06
1937,3.361828575521031e-07,9.121005774659352e-06
1938,3.656190541434512e-07,9.004341507079516e-06
1939,4.863508173968967e-07,8.628903458429704e-06
1940,3.52473818132637e-07,9.973234099902584e-06
1941,1.345885138448466e-06,1.0436513605327491e-05
1942,5.006449459443729e-07,9.606314421262141e-06
1943,6.532279093196536e-07,1.0710034501926202e-05
1944,4.530592363494179e-07,1.1072639807707674e-05
1945,4.6837837075486277e-07,8.09749928976089e-06
1946,4.705333092047681e-07,1.0035724187673623e-05
1947,3.7193117963241207e-07,9.285166470363038e-06
1948,5.175018493730477e-07,8.749695197707297e-06
1949,3.16107669373622e-07,8.134373047141708e-06
1950,4.094614123317797e-07,9.944062838940226e-06
1951,4.040671335303614e-07,9.543020794922086e-06
1952,4.112473401818306e-07,7.508954823265412e-06
