year,dois_VERB établir_VERB,dois_VERB rétablir_VERB
1800,1.0061326349841693e-07,3.144164484325529e-09
1801,6.191074675143682e-08,9.524730337773235e-09
1802,1.1189200677108602e-08,2.0140561218795483e-08
1803,7.801356893821776e-09,3.1205427575287104e-08
1804,2.4718509461507665e-09,2.7190360185613827e-08
1805,5.685755422035754e-09,0.0
1806,0.0,5.76333825108577e-09
1807,1.7081731584767113e-08,1.7081731584767113e-08
1808,2.039466551195801e-08,0.0
1809,3.6144488291256494e-08,2.4849335034105025e-08
1810,2.3401266702194334e-08,0.0
1811,7.521229861140455e-09,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,4.090680150170556e-08,0.0
1815,5.394447111228828e-09,0.0
1816,2.3176038865813098e-08,9.270415546325239e-09
1817,5.293369653713853e-08,3.580808893843823e-08
1818,8.344824387052086e-09,1.0729059418679299e-08
1819,3.2088255608186955e-08,2.070210003424222e-09
1820,4.2719332071783356e-08,2.3732962262101864e-09
1821,5.325203744632745e-08,5.9168927535324656e-09
1822,4.0102463572111446e-08,2.0051231786055723e-09
1823,1.2847492847356534e-08,4.941343334508019e-09
1824,1.6842225392110777e-08,8.421112696055388e-09
1825,3.874394849390228e-08,8.805443041381977e-10
1826,2.554315514657901e-08,3.5231937367541377e-09
1827,6.452091305675367e-09,1.1982455028203276e-08
1828,6.420610709767516e-09,9.172301251858528e-10
1829,4.286587973467704e-09,8.57317605795771e-10
1830,1.6698937344017395e-08,1.0436835840010872e-09
1831,2.8064171431196883e-08,0.0
1832,5.817886972181441e-08,2.705993873419743e-09
1833,3.243415847009601e-08,0.0
1834,2.14694217959277e-08,2.9870498963191494e-08
1835,3.781543966852041e-08,2.117664621437143e-08
1836,2.688300071440608e-08,1.344150035720304e-08
1837,1.1828414692161004e-08,0.0
1838,3.092959488526503e-08,1.2624323808552163e-09
1839,4.4046291947097416e-08,2.7965900706306e-09
1840,3.821813265858509e-08,2.293087852933695e-08
1841,1.926164472365599e-08,5.1364388298225094e-09
1842,1.9453969102301016e-08,5.366612043644636e-09
1843,1.2995204023980023e-08,1.7720733769266417e-09
1844,2.8540519281250454e-08,9.330554107123135e-09
1845,1.5066614622583074e-08,3.9061593959388574e-09
1846,3.2785209214125643e-08,1.0538101946622191e-08
1847,7.550513103637968e-09,1.77976389181822e-08
1848,1.689496542667257e-08,8.045221711050488e-10
