year,voulez_VERB apporter_VERB,voulez_VERB rapporter_VERB
1800,0.0,3.144164484325529e-09
1801,4.7623651688866175e-09,2.3811825844433088e-09
1802,0.0,0.0
1803,9.751696339321825e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,5.76333825108577e-09
1807,0.0,5.693910232196231e-09
1808,2.2660739951163578e-09,1.1330369531492579e-08
1809,2.259030518203531e-09,0.0
1810,0.0,4.680253518074551e-09
1811,0.0,0.0
1812,0.0,5.3344164641089264e-09
1813,5.751483289628823e-09,0.0
1814,2.8320094713762956e-08,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,0.0
1817,1.5568733857662664e-08,0.0
1818,0.0,0.0
1819,5.175524897538253e-09,1.2421260464634543e-08
1820,4.746592452420373e-09,1.1866481131050932e-09
1821,1.1833785507064931e-08,1.97229765852569e-09
1822,3.0076847679083585e-09,0.0
1823,9.882686891060644e-10,0.0
1824,8.421112696055388e-09,1.6842225392110777e-09
1825,7.044354433105582e-09,1.7610886082763955e-09
1826,6.1655889282974385e-09,0.0
1827,5.530363722527909e-09,0.0
1828,3.668920500743411e-09,9.172301251858528e-10
1829,1.714635211591542e-09,0.0
1830,4.174734336004349e-09,2.0873671680021744e-09
1831,9.354723218280014e-09,0.0
1832,1.7588959622116818e-08,0.0
1833,6.950177322551099e-09,0.0
1834,9.334530925997342e-10,0.0
1835,0.0,1.5126175867408165e-09
1836,3.36037508930076e-09,0.0
1837,2.0873671680021744e-09,0.0
1838,1.8936485712828244e-09,1.8936485712828244e-09
1839,6.9914749545318955e-09,0.0
1840,1.2739377330817092e-09,8.917564464638872e-09
1841,5.1364388298225094e-09,1.926164561183441e-09
1842,6.037438549100216e-09,3.3541325272778977e-09
1843,2.3627644285539873e-09,2.3627644285539873e-09
1844,1.097712254427563e-09,2.195424508855126e-09
1845,1.674068439427856e-09,1.0602432709561072e-08
1846,4.0981511517657054e-09,2.9272506640865004e-09
1847,3.235934187273415e-09,4.853901280910122e-09
1848,0.0,0.0
1849,9.217356655710773e-09,8.379414939696517e-10
1850,9.504594444820214e-09,0.0
1851,4.514607354622058e-09,0.0
1852,2.6042181744401205e-09,0.0
1853,8.360704129017904e-09,0.0
1854,0.0,5.195664454227256e-10
1855,1.5920811335945473e-09,1.5920811335945473e-09
1856,1.5531567143511893e-09,1.5531567143511893e-09
1857,0.0,0.0
1858,1.468102750479261e-09,1.9574704079872163e-09
1859,1.5276520048956854e-09,5.092173349652285e-10
1860,1.0069804545764782e-08,0.0
1861,4.715963619617014e-09,0.0
1862,9.035972858839614e-09,9.035972525772706e-10
1863,4.994620828036034e-10,4.495158911765884e-09
1864,2.3973640850272204e-09,4.794727948009836e-10
1865,5.177528628053096e-09,9.41368871743009e-10
1866,0.0,1.4596839292835284e-09
1867,0.0,0.0
1868,1.975949626142892e-09,4.93987406535723e-10
1869,4.883519366671862e-09,0.0
1870,3.4404292748035914e-09,5.734048791339319e-10
1871,1.1683295220166201e-08,0.0
1872,1.1489944995446422e-08,6.047339295989218e-10
1873,2.3944018323618366e-08,1.7958012854535355e-09
1874,0.0,1.1949218281515073e-09
1875,9.154443425529735e-09,0.0
1876,3.02300739996042e-09,4.232210137899983e-09
1877,1.2369631985365004e-09,6.184815992682502e-10
1878,8.4547240319921e-09,0.0
1879,6.720257683667796e-09,0.0
1880,6.417846254436199e-10,1.2835692508872398e-09
1881,1.1853263259808955e-08,0.0
1882,5.324308105514319e-09,6.655385131892899e-10
1883,6.951272890631799e-09,2.5277355764075082e-09
1884,1.9805090900604227e-09,0.0
