year,voulez_VERB aller_VERB
1800,4.087413785214267e-08
1801,4.286128785224719e-08
1802,4.0281122437590966e-08
1803,6.046051481689574e-08
1804,8.651478111687538e-08
1805,8.24434565060983e-08
1806,6.051504897186533e-08
1807,5.4092147649953404e-08
1808,2.039466551195801e-08
1809,4.969867006821005e-08
1810,7.020380365929668e-08
1811,4.262030373070047e-08
1812,1.0668833283489221e-07
1813,4.888760685162197e-08
1814,1.2586708564299443e-08
1815,7.821948599939788e-08
1816,8.1116134253989e-08
1817,5.916118794857539e-08
1818,4.172412104708201e-08
1819,8.79839276990424e-08
1820,9.8491796052258e-08
1821,1.311577904061778e-07
1822,1.0526896687679255e-07
1823,7.214361374963119e-08
1824,7.494790565942822e-08
1825,8.541280038798504e-08
1826,8.103345550125596e-08
1827,1.1429418833586169e-07
1828,9.722639049414283e-08
1829,1.2774032143170189e-07
1830,6.575206867864836e-08
1831,4.8332740476553226e-08
1832,5.547287429408243e-08
1833,7.066013552048389e-08
1834,7.374279675786966e-08
1835,1.096647750387092e-07
1836,7.594447737346854e-08
1837,7.236206300831327e-08
1838,1.2119350856210076e-07
1839,1.0067724076634477e-07
1840,9.681927082283437e-08
1841,9.502412012807326e-08
1842,1.1269885646925104e-07
1843,1.0809647221776686e-07
1844,1.0483152124152184e-07
1845,9.653794563746487e-08
1846,6.14722637237719e-08
1847,7.011190916728083e-08
1848,9.171552761699786e-08
1849,1.3239476004400785e-07
1850,1.0658723681444826e-07
1851,8.384270699934859e-08
1852,1.2435141627520352e-07
1853,8.719020172520686e-08
1854,9.092412511790826e-08
1855,8.438030363322468e-08
1856,7.248065259091163e-08
1857,8.200935042168567e-08
1858,1.472996444817909e-07
1859,8.962224740116653e-08
1860,6.453829115571352e-08
1861,7.734180229590493e-08
1862,8.267915063697728e-08
1863,9.439833092983463e-08
1864,7.3359338159662e-08
1865,7.013198199956605e-08
1866,7.93094869777633e-08
1867,9.17181353088381e-08
1868,9.830349512185421e-08
1869,9.034510384253736e-08
1870,9.805223299963473e-08
1871,9.240424247991541e-08
1872,9.071008832961525e-08
1873,8.14096594581315e-08
1874,9.200898176686678e-08
1875,1.2987867137326248e-07
1876,9.734083761259171e-08
1877,4.638611983409646e-08
1878,1.008527803492143e-07
1879,1.0691319118905085e-07
1880,1.0589446475250952e-07
1881,8.576184029607248e-08
1882,1.024929332515967e-07
1883,6.256145468341856e-08
1884,8.450172117591137e-08
1885,7.02574283195645e-08
1886,6.77613698485402e-08
1887,5.549586035158427e-08
1888,5.57974075832135e-08
1889,5.826577265111155e-08
1890,5.046877760150892e-08
1891,6.374219907456791e-08
1892,5.4536059224119526e-08
1893,5.173069794750518e-08
1894,5.293292915098391e-08
1895,5.958428417329742e-08
1896,6.014969500256484e-08
1897,5.710179351581246e-08
1898,6.959776754911218e-08
1899,7.241127519819202e-08
1900,6.956010878411689e-08
1901,7.712459648701042e-08
1902,5.4995179965544594e-08
1903,6.048246348200337e-08
1904,7.363236420587782e-08
1905,6.5541641447453e-08
1906,5.401393821102829e-08
1907,4.885701088142014e-08
1908,7.17062818011982e-08
1909,7.756386821711203e-08
1910,7.749018493541371e-08
1911,5.4267815130515373e-08
1912,5.365703970028335e-08
1913,5.7272288245258096e-08
1914,7.366418230958516e-08
1915,6.243804051564439e-08
1916,5.273981784625903e-08
1917,4.386569685266295e-08
1918,5.858051821405752e-08
1919,6.169258170984904e-08
1920,7.117898093156327e-08
1921,7.042655170153012e-08
1922,5.75478971143184e-08
1923,7.961961046021315e-08
1924,3.867487308184536e-08
1925,7.588742789721437e-08
1926,7.690835701623655e-08
1927,7.581473226991875e-08
1928,6.284322751071159e-08
1929,6.684243913923638e-08
1930,8.507918636269096e-08
1931,6.386999729102172e-08
1932,6.904507898752854e-08
1933,5.047091278242988e-08
1934,5.511526879331541e-08
1935,6.103825000991492e-08
1936,3.6374142808881516e-08
1937,5.791914503561202e-08
1938,5.575042294481136e-08
1939,7.188203454688846e-08
1940,3.0429394115571995e-08
1941,5.017554371988808e-08
1942,4.247896612241675e-08
1943,6.387117679196308e-08
1944,4.4984606262232774e-08
1945,6.317661416233022e-08
1946,1.0301616981678308e-07
1947,8.583027266695353e-08
1948,1.0328293598149685e-07
1949,7.657266820615405e-08
1950,7.976520777219775e-08
1951,9.915103760249622e-08
1952,5.483298082253896e-08
1953,6.572035005092403e-08
1954,9.088458341466321e-08
1955,6.476069103200643e-08
1956,8.197873313520176e-08
1957,4.8592706747285774e-08
1958,6.286904863372911e-08
1959,5.2705086517335076e-08
1960,7.197666462843699e-08
1961,6.114380113331208e-08
1962,6.659054463398206e-08
1963,7.112658551022832e-08
1964,6.814044439806821e-08
1965,6.457010925942086e-08
1966,6.5361085432869e-08
1967,8.13505351970889e-08
1968,7.994719908310799e-08
1969,8.265999440482119e-08
1970,6.852100398191396e-08
1971,5.5494691508783944e-08
1972,7.438713112151163e-08
1973,5.458071683506205e-08
1974,5.344293185771676e-08
1975,5.0832174025572385e-08
1976,6.51342091373408e-08
1977,6.64076367229427e-08
1978,5.524750079644036e-08
1979,5.208256226296726e-08
1980,6.026260024327712e-08
1981,6.452060574702045e-08
1982,5.897127053344775e-08
1983,7.073153796000042e-08
1984,4.871167291753409e-08
1985,7.278825364664954e-08
1986,5.514926471050785e-08
1987,5.621951615353282e-08
1988,5.5168296597685185e-08
1989,6.530865448439727e-08
1990,5.884542986223096e-08
1991,5.978694161967724e-08
1992,6.281336339952759e-08
1993,6.425480592042732e-08
1994,6.488159698392337e-08
1995,6.34426768897356e-08
1996,5.017806614660003e-08
1997,5.945669201423698e-08
1998,4.386678753576234e-08
1999,5.804155378541509e-08
2000,6.450326139884055e-08
2001,5.9584479572549753e-08
2002,5.914649037208619e-08
2003,6.042038336318001e-08
2004,5.94646820673006e-08
2005,5.944949421632373e-08
2006,6.753339221177157e-08
2007,8.987579036556781e-08
2008,9.110920728971905e-08
2009,1.1395979981898563e-07
2010,1.5588517499054433e-07
2011,1.9769935022395657e-07
2012,2.3999982090572303e-07
2013,2.5604168740755995e-07
2014,2.1459561594383558e-07
2015,2.378385346446521e-07
2016,2.585032348179084e-07
2017,2.440143020976393e-07
2018,2.558233518357156e-07
2019,2.709149100610375e-07
