year,six_DET oies_NOUN,six_DET rois_NOUN
1800,0.0,9.746909768182377e-08
1801,0.0,2.214499752462018e-07
1802,0.0,2.0588129245879827e-07
1803,1.1702034896643454e-08,7.801356849412855e-08
1804,2.7190360185613827e-08,8.157108055684148e-08
1805,3.980028751016107e-08,1.194008623084386e-07
1806,0.0,6.051505341275742e-08
1807,2.8469551160981155e-09,3.701041606518629e-08
1808,1.3596443970698147e-08,9.290903424385988e-08
1809,1.581321384946932e-08,3.388545821714217e-08
1810,0.0,6.084329706723679e-08
1811,0.0,3.760615285841595e-08
1812,0.0,1.4136203674297576e-07
1813,0.0,2.5881674803329702e-08
1814,0.0,5.978686434815472e-08
1815,0.0,9.979726867115346e-08
1816,0.0,1.344210218690023e-07
1817,0.0,7.94005449167301e-08
1818,1.668964877410417e-08,9.894577246427616e-08
1819,0.0,7.142224722755941e-08
1820,0.0,5.102586708716217e-08
1821,0.0,3.944595405869222e-08
1822,2.0051231786055723e-09,4.210758675071702e-08
1823,1.9765373782121287e-09,6.028439047955914e-08
1824,0.0,9.600068473503143e-08
1825,0.0,4.402721431873147e-08
1826,0.0,7.839105964357884e-08
1827,1.8434546111834038e-09,5.899054877911425e-08
1828,1.8344602503717056e-09,6.787502582206173e-08
1829,0.0,7.630126541702253e-08
1830,2.0873671680021744e-09,6.57520660141131e-08
1831,0.0,3.741889442743229e-08
1832,9.470978667991403e-09,5.682587156385921e-08
1833,0.0,7.413522351562563e-08
1834,0.0,8.02769641872203e-08
1835,0.0,9.529490796467144e-08
1836,1.6129799718100912e-08,6.855165135544183e-08
1837,4.174734336004349e-09,4.383471274849171e-08
1838,0.0,5.617824205828015e-08
1839,0.0,6.222412984868697e-08
1840,1.2739377330817092e-09,5.5416291555587804e-08
1841,1.926164561183441e-09,4.237562123421412e-08
1842,2.683306021822318e-09,3.152884531232303e-08
1843,1.1813822142769936e-09,5.1980816317964695e-08
1844,2.7442805805577564e-09,4.7750482234931724e-08
1845,0.0,5.524425583658399e-08
1846,3.5127007969038004e-09,4.507965911670908e-08
1847,9.707802561820245e-09,7.06512315318264e-08
1848,8.045221711050488e-10,1.4159590566720226e-07
1849,8.379414939696517e-10,2.5976186535103807e-08
1850,4.073397619208663e-09,6.042206379675008e-08
1851,5.8044946626978344e-09,3.7406745034829214e-08
1852,1.9531636308300904e-09,3.906327195046799e-08
1853,1.1346670270029335e-08,4.001194353620008e-08
1854,1.0391328908454511e-09,3.3252251618876016e-08
1855,5.306937111981824e-09,7.323573214534917e-08
1856,0.0,4.6594702651781006e-08
1857,9.763018171682347e-10,3.1241656484048974e-08
1858,1.468102750479261e-09,4.453245144864226e-08
1859,1.5276520048956854e-09,4.3283474138178235e-08
1860,2.288591982591015e-09,3.387116240261001e-08
1861,5.187560159214399e-09,5.140400516356891e-08
1862,4.969785055708442e-09,6.370360638996431e-08
1863,4.994620717013731e-09,6.742738012377458e-08
1864,2.3973640850272204e-09,6.185198964114846e-08
1865,2.3534221238463715e-09,3.3418593725631496e-08
1866,1.9462451650298362e-09,2.8220555337021835e-08
1867,3.396968040192405e-09,4.270474107670452e-08
1868,9.87974813071446e-10,2.3217407663089773e-08
1869,1.953407657850903e-09,3.02778189187336e-08
1870,1.1468097582678638e-09,5.390006041494644e-08
1871,1.0621177271019633e-09,2.3366590662377007e-08
1872,3.0236697590169115e-09,2.6608292347241047e-08
1873,4.788803575905831e-09,2.21482157058972e-08
1874,3.5847653734322193e-09,5.018671839218669e-08
1875,2.2886108563824337e-09,1.7164582089002067e-08
1876,6.04601479992084e-09,2.176565350175963e-08
1877,5.566334282391949e-09,4.2675230904620776e-08
