year,devez_VERB aller_VERB
1800,5.0306631749208464e-08
1801,2.6193008650921e-08
1802,2.2378401354217203e-09
1803,9.751696339321825e-09
1804,3.9549615138412264e-08
1805,5.1171799242411e-08
1806,1.0950342499427279e-07
1807,5.4092147649953404e-08
1808,1.5862518409903714e-08
1809,1.3554183553310395e-08
1810,4.212228077449254e-08
1811,1.0028307073639553e-08
1812,1.600324850414836e-08
1813,5.751483289628823e-09
1814,1.8880061958270744e-08
1815,1.0788894222457657e-08
1816,2.7811246638975717e-08
1817,4.670620157298799e-08
1818,4.768470773797162e-08
1819,3.726378139390363e-08
1820,5.93324074316115e-08
1821,4.536284592404627e-08
1822,4.411270992932259e-08
1823,4.842516432290722e-08
1824,2.7789671008804362e-08
1825,3.3460683113162304e-08
1826,2.7304752237000685e-08
1827,8.479891278057039e-08
1828,3.485474309172787e-08
1829,3.943661042171698e-08
1830,2.0873670791843324e-08
1831,4.365537620287796e-08
1832,1.352996914505411e-08
1833,5.79181431703546e-08
1834,5.2273371409228275e-08
1835,5.52105419160398e-08
1836,4.368487438455304e-08
1837,3.826840000442644e-08
1838,3.092959488526503e-08
1839,2.4470162784950844e-08
1840,5.223144583510475e-08
1841,4.173356416004026e-08
1842,4.22620693996123e-08
1843,2.008349753168659e-08
1844,4.226192018563779e-08
1845,3.850357188639464e-08
1846,2.5759806732139623e-08
1847,2.9123407685460734e-08
1848,3.378993085334514e-08
1849,1.256912263158938e-08
1850,2.987158254086353e-08
1851,4.063146263888484e-08
1852,2.278690836021724e-08
1853,3.702597695109944e-08
1854,5.871100938747986e-08
1855,4.139410947345823e-08
1856,5.384276846598368e-08
1857,3.417056504417815e-08
1858,3.3766365703513657e-08
1859,4.939408171367177e-08
1860,4.027921818305913e-08
1861,7.121105483065548e-08
1862,9.442591419883684e-08
1863,4.395266373080631e-08
1864,5.3221480555976086e-08
1865,4.424433797112215e-08
1866,4.330395597662573e-08
1867,2.717574432153924e-08
1868,2.420538258718352e-08
1869,4.49283774628384e-08
1870,4.0711746862598375e-08
1871,1.911811864374613e-08
1872,5.1402384571019866e-08
1873,3.352162636360845e-08
1874,4.122480135038131e-08
1875,5.664312041631092e-08
1876,3.688068872520489e-08
1877,5.690030846494665e-08
1878,3.140326043649111e-08
1879,5.1318330918093125e-08
1880,2.1178893305773272e-08
1881,2.3009274485730202e-08
1882,2.861815673327328e-08
1883,3.791603475633565e-08
1884,3.234831424947515e-08
1885,2.3848851782304337e-08
1886,3.355801325710672e-08
1887,5.288428894800745e-08
1888,2.4728397107764977e-08
1889,3.57112810434046e-08
1890,2.94947390955258e-08
1891,2.358461337337303e-08
1892,1.3790726782758611e-08
1893,3.3255449949365357e-08
1894,1.5753848003896564e-08
1895,3.8519132772307785e-08
1896,2.358811634906033e-08
1897,4.253501018069983e-08
1898,3.395012981854961e-08
1899,2.266307141951529e-08
1900,3.8932899570909285e-08
1901,2.1237207548097103e-08
1902,3.191684427861219e-08
1903,2.4841012802312434e-08
1904,2.3110889202371254e-08
1905,2.7352022868853965e-08
1906,2.82930141537463e-08
1907,2.108565766434367e-08
1908,2.4556944921982904e-08
1909,3.4106097501762633e-08
1910,2.404867771588215e-08
1911,1.8089272302290738e-08
1912,2.2921453179947093e-08
1913,3.6590627416899224e-08
1914,2.0759905794420774e-08
1915,2.238344798399794e-08
1916,3.955486249651585e-08
1917,2.1932848426331475e-08
1918,1.6080926812378493e-08
1919,2.301962176431971e-08
1920,1.817335615328375e-08
1921,3.559191341651058e-08
1922,4.574319945049865e-08
1923,3.503262746562541e-08
1924,3.609654797287476e-08
1925,3.189471442510694e-08
1926,2.6750733184144337e-08
1927,2.7873062080630007e-08
1928,3.1992914983902665e-08
1929,3.676334259239411e-08
1930,3.151081173768944e-08
1931,2.167017854048936e-08
1932,1.53433514782364e-08
1933,2.408838994938378e-08
1934,2.156684431042777e-08
1935,2.8723881939640705e-08
1936,3.516167268458048e-08
1937,4.280980192561401e-08
1938,2.5930429359277696e-08
1939,1.988226472349197e-08
1940,1.0143131667916805e-08
1941,5.9030051957620344e-09
1942,2.1239483061208375e-08
1943,2.322588166236983e-08
1944,2.8918675454292497e-08
1945,1.9606536838523425e-08
1946,1.9489545977080525e-08
1947,5.1259746669529704e-08
1948,2.174377655705939e-08
1949,2.4542520904446974e-08
1950,4.5732054587688253e-08
1951,3.4116485636559446e-08
1952,2.319856839960721e-08
1953,3.878577814475648e-08
1954,4.9839933069506515e-08
1955,2.2525458831523792e-08
1956,3.9245136917998025e-08
1957,1.501956425897788e-08
1958,2.5643954515430778e-08
1959,2.325224279786653e-08
1960,3.3220000972278285e-08
1961,2.223410966450956e-08
1962,3.170978146727066e-08
1963,3.620989730279689e-08
1964,3.832900219435942e-08
1965,2.6265809083270142e-08
1966,3.212663202134536e-08
1967,2.9582013283402375e-08
1968,3.323647845832056e-08
1969,4.1329997202410595e-08
1970,2.7592349738370103e-08
1971,4.213486093362917e-08
1972,5.591860130493842e-08
1973,2.866866033457427e-08
1974,3.8816445169231883e-08
1975,3.1413140533231854e-08
1976,3.142439908287997e-08
1977,3.349765620441758e-08
1978,2.7326720442033547e-08
1979,3.6867433550469286e-08
1980,3.9227540327146926e-08
1981,3.6688188487232765e-08
1982,3.47620137119975e-08
1983,3.34711742766558e-08
1984,2.7255339318799088e-08
1985,3.007778914820847e-08
1986,3.057187569766029e-08
1987,2.0165694891716157e-08
1988,2.4585871116755698e-08
1989,3.018467253923518e-08
1990,2.8332985735346483e-08
1991,3.8099525312418336e-08
1992,3.636563050690711e-08
1993,2.3264671966671813e-08
1994,4.114442830882581e-08
1995,3.0907969517102174e-08
1996,3.202855225481471e-08
1997,2.6371919759071716e-08
1998,3.146965354972053e-08
1999,4.2959889867688617e-08
2000,3.004261373007466e-08
2001,2.8477876057309004e-08
2002,4.381221430094229e-08
2003,4.458607349988597e-08
2004,4.228599692623902e-08
2005,4.1884870682906694e-08
2006,5.0650047711542356e-08
2007,6.550946096695043e-08
2008,7.663391698997657e-08
2009,7.724472084191802e-08
2010,9.825489399872822e-08
2011,1.380453937827042e-07
2012,1.43999884016921e-07
2013,1.626059855652784e-07
2014,1.3880503502150532e-07
2015,1.336594976919514e-07
2016,1.4250819901917566e-07
2017,1.3835862944233668e-07
2018,1.5721131774171226e-07
2019,1.596918366431055e-07
