year,deux_DET routes_NOUN
1800,4.4961552703171037e-07
1801,3.071725558356775e-07
1802,2.2378401354217203e-07
1803,2.6329579050354823e-07
1804,2.76847304192529e-07
1805,3.6104545841908475e-07
1806,4.178420311973241e-07
1807,4.640536914735094e-07
1808,4.260219093055184e-07
1809,5.082818717028204e-07
1810,4.376037132658439e-07
1811,2.1059445032278745e-07
1812,3.6274032666483436e-07
1813,4.169825231770119e-07
1814,5.412284949102286e-07
1815,4.0997799288788883e-07
1816,3.036061144712221e-07
1817,3.362846641152828e-07
1818,5.018815656399056e-07
1819,3.571112259237452e-07
1820,4.271933136124062e-07
1821,4.013625769516693e-07
1822,5.784780512385623e-07
1823,3.419409537741558e-07
1824,4.38739974129021e-07
1825,4.737328325177259e-07
1826,5.302406478335797e-07
1827,5.170890062800026e-07
1828,4.815458041207421e-07
1829,4.543783447275018e-07
1830,4.727886775413026e-07
1831,5.987023001807756e-07
1832,3.9778108629207054e-07
1833,4.7029532623810155e-07
1834,5.096653765690462e-07
1835,4.5681051830115393e-07
1836,4.778453330800403e-07
1837,4.773113104761251e-07
1838,4.102905108993582e-07
1839,4.572424927573593e-07
1840,5.057532774799256e-07
1841,5.040130588440661e-07
1842,4.1054583022059887e-07
1843,4.247069114171609e-07
1844,5.120827566429398e-07
1845,5.239833953396555e-07
1846,3.9693518516514814e-07
1847,3.953232905473669e-07
1848,4.070882333451209e-07
1849,4.818163574782375e-07
1850,4.168443652474707e-07
1851,4.1856856825006616e-07
1852,4.1016434693119663e-07
1853,3.177067675608214e-07
1854,4.468271299629123e-07
1855,4.383530054496987e-07
1856,3.794879717133881e-07
1857,4.3982398523212396e-07
1858,3.8317482875527276e-07
1859,4.786643046372774e-07
1860,5.112714518418215e-07
1861,4.069876666790151e-07
1862,5.340259647823586e-07
1863,4.515137206340114e-07
1864,3.8645507061119133e-07
1865,4.796274382101728e-07
1866,3.955743395067657e-07
1867,4.173417877950669e-07
1868,5.236266602537398e-07
1869,3.5796195163584343e-07
1870,3.38882294670384e-07
1871,5.204376876122296e-07
1872,3.8400603585841964e-07
1873,4.1483010448928326e-07
1874,4.618372990705666e-07
1875,4.931956354425893e-07
1876,4.0991982075411215e-07
1877,4.323186431065551e-07
1878,4.879583599404214e-07
1879,3.8183283379567e-07
1880,2.888030827818966e-07
1881,4.3508447333806544e-07
1882,3.9666095119628153e-07
1883,4.354024554231728e-07
1884,3.928009775222563e-07
1885,4.0736416906383965e-07
1886,4.156030826152346e-07
1887,4.5963628281242563e-07
1888,3.969224877664601e-07
1889,3.4708857654663916e-07
1890,3.6114668233722114e-07
1891,3.391084995030269e-07
1892,3.79245012283036e-07
1893,3.177743010951417e-07
1894,3.862843556134976e-07
1895,3.460703226210171e-07
1896,3.4320709829671614e-07
1897,3.886417871967751e-07
1898,3.236578898224707e-07
1899,2.476355049907397e-07
1900,3.727176292045442e-07
1901,3.3085334649740616e-07
1902,2.7448486505932124e-07
1903,4.0717660709788106e-07
1904,3.525754266320291e-07
1905,3.106776915728915e-07
1906,3.390017688786884e-07
1907,2.9828491676653357e-07
1908,3.433060982160896e-07
1909,2.8660122808332744e-07
1910,2.6132897090747065e-07
1911,3.1762633057041967e-07
1912,2.8703910714966696e-07
1913,2.9007355095700404e-07
1914,3.81044721109447e-07
1915,4.853673942761816e-07
1916,4.2960977708617065e-07
1917,4.364636865261673e-07
1918,3.4573992024888867e-07
1919,3.747594341518834e-07
1920,2.695714549361128e-07
1921,3.188126562747584e-07
1922,2.796237623670095e-07
1923,3.48203094802102e-07
1924,2.990857019824489e-07
1925,2.5405791426180713e-07
1926,2.8088267711723347e-07
1927,3.5789012287068545e-07
1928,3.096457064089009e-07
1929,3.330981392934973e-07
1930,3.308635108112412e-07
1931,3.7523624030200153e-07
1932,2.6302887867757363e-07
1933,3.0741374956733125e-07
1934,3.366824046224792e-07
1935,2.429561725136864e-07
1936,3.0433032094379087e-07
1937,3.172961804409624e-07
1938,2.7745558739411535e-07
1939,3.104692112287921e-07
1940,3.068297260711006e-07
1941,3.128592709344957e-07
1942,3.550027649623644e-07
1943,3.454849846207253e-07
1944,3.052526960090063e-07
1945,3.529176524352806e-07
1946,3.3689072864717673e-07
1947,2.9563760151063434e-07
1948,2.8810501717657644e-07
1949,2.689860245652653e-07
1950,2.7226525034507176e-07
1951,3.9340572755008907e-07
1952,2.066781519260985e-07
1953,2.4241111162837115e-07
1954,2.843807891395045e-07
1955,3.1723354609880516e-07
1956,2.6425059118651006e-07
1957,2.6416762466396904e-07
1958,2.853924048196177e-07
1959,2.3717288044622364e-07
1960,3.038245814934726e-07
1961,2.6889376769645423e-07
1962,2.6445958134502234e-07
1963,3.0907734682728005e-07
1964,3.200167384420638e-07
1965,2.451475484832599e-07
1966,3.0631082381660235e-07
1967,3.00750468085198e-07
1968,2.887980521393274e-07
1969,2.9566843551265265e-07
1970,2.2349803607824015e-07
1971,2.7387659429223277e-07
1972,2.0879697260056673e-07
1973,2.1005306649612976e-07
1974,2.047708118624314e-07
1975,2.136093613103185e-07
1976,1.8854639094456616e-07
1977,1.9217076641098174e-07
1978,2.192078216722848e-07
1979,1.5566249800258447e-07
1980,2.046654170584361e-07
1981,1.6383173750966762e-07
1982,1.9988157617945035e-07
1983,1.806180396357604e-07
1984,1.762898609314334e-07
1985,2.0031808034559617e-07
1986,1.5765496108599564e-07
1987,2.028791250552331e-07
1988,1.697024725189067e-07
1989,1.9373070614392418e-07
1990,1.8634386123039803e-07
1991,1.5298423683418605e-07
1992,1.5868639557936604e-07
1993,1.6728406038168941e-07
1994,1.614127551619049e-07
1995,1.539975995612508e-07
1996,1.5320324564527255e-07
1997,1.8508292853880448e-07
1998,1.9024836284131652e-07
1999,1.8646420407719688e-07
2000,1.5728192437336475e-07
2001,1.6692417048602692e-07
2002,1.7262012796948056e-07
2003,1.662602304719485e-07
2004,1.6650110978844168e-07
2005,1.5943274078722425e-07
2006,1.4947940840670526e-07
2007,1.8134936929925516e-07
2008,1.8562436565616736e-07
2009,2.1838322084022366e-07
2010,1.728908198828094e-07
2011,2.2064318372372327e-07
2012,2.3557428363574218e-07
2013,2.0081700569107852e-07
2014,2.356004387138455e-07
2015,2.628858446485083e-07
2016,2.750739653833989e-07
2017,1.65275661601072e-07
2018,2.3129941695287926e-07
2019,2.428540284427072e-07
