year,devais_VERB entrer_VERB,devais_VERB rentrer_VERB
1800,3.144164484325529e-09,6.288328968651058e-09
1801,0.0,1.6668277424969347e-08
1802,2.2378401354217203e-09,0.0
1803,0.0,3.900678446910888e-09
1804,2.4718509461507665e-09,3.213406074564773e-08
1805,2.842877711017877e-09,2.842877711017877e-09
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,1.4040760554223652e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,2.5173417128598885e-08,3.1466771410748606e-09
1815,2.6972236000233352e-08,2.697223555614414e-09
1816,6.952811659743929e-09,0.0
1817,1.556873407970727e-09,0.0
1818,4.768470951432846e-09,0.0
1819,1.0351049795076506e-08,1.035105001712111e-09
1820,2.7292905713238724e-08,0.0
1821,1.4792232327920374e-08,4.930744257336528e-09
1822,1.604098542884458e-08,0.0
1823,1.9765373782121287e-09,0.0
1824,5.052667617633233e-09,2.5263338088166165e-09
1825,1.2327619813845558e-08,0.0
1826,1.2331177856594877e-08,0.0
1827,1.6591091167583727e-08,0.0
1828,1.8344602503717056e-09,0.0
1829,8.573175946935407e-09,3.429270378774163e-08
1830,3.235419043789989e-08,7.305785310052215e-09
1831,6.236482441579483e-09,1.2472964883158966e-08
1832,3.3824925083081325e-08,2.705993873419743e-09
1833,1.7375443306377747e-08,0.0
1834,6.534171426153534e-09,9.334530925997342e-10
1835,1.285724948729694e-08,6.050470346963266e-09
1836,2.755507466645213e-08,6.720750067579218e-10
1837,8.349468672008697e-09,1.3915781860163179e-09
1838,3.1560809521380406e-09,6.943378316748294e-09
1839,1.5381244722334486e-08,1.5381244722334486e-08
1840,7.0066574764382494e-09,6.369688665408546e-10
1841,8.988767952189392e-09,1.926164561183441e-09
1842,1.2074877098200432e-08,6.708265054555795e-10
1843,1.4176587015413133e-08,0.0
1844,7.1351298203126134e-09,4.390849017710252e-09
1845,4.464182357111213e-09,2.7901139176833567e-09
1846,1.1709002656346001e-08,0.0
1847,9.707802561820245e-09,0.0
1848,4.02261068899179e-09,4.02261068899179e-09
1849,1.9272654583346593e-08,2.262441967104678e-08
1850,9.504594444820214e-09,2.7155984128057753e-09
1851,5.8044946626978344e-09,1.5478653025979838e-08
1852,2.6042181744401205e-09,9.114764054629632e-09
1853,5.3747388761848924e-09,1.7915795513800958e-09
1854,7.27393034694046e-09,0.0
1855,1.6451505047143655e-08,0.0
1856,7.248064815001953e-09,5.177189343896771e-09
1857,4.735063896532665e-08,5.369659827891837e-09
1858,8.31924928945682e-09,4.893676019968041e-10
1859,1.2221216039165483e-08,4.073738679721828e-09
1860,1.2816115280145368e-08,5.492620580582752e-09
1861,1.226150558863992e-08,2.8295783494058924e-09
1862,4.066187830886747e-09,2.710791813242963e-09
1863,1.4484400345793347e-08,2.9967726078439227e-09
1864,3.835782358407869e-09,1.4863656971897399e-08
1865,2.3534221682552925e-08,7.530950973944073e-09
1866,6.811858188626729e-09,7.298419202328432e-09
1867,6.308654931785895e-09,4.367530337390235e-09
1868,1.4819621974027086e-08,3.457911734727759e-09
1869,4.395167341186834e-09,2.441759683335931e-09
