year,quelques_DET oies_NOUN,quelques_DET rois_NOUN
1800,5.0306631749208464e-08,1.1947824862801326e-07
1801,1.6668277424969347e-08,2.5716772000805577e-07
1802,2.9091921760482364e-08,2.304975339484372e-07
1803,4.4857802805609026e-08,2.3599105070104542e-07
1804,2.4718509905596875e-08,2.3729768994229516e-07
1805,5.4014676953428875e-08,2.558590022072593e-07
1806,5.76333825108577e-09,1.6713680484059523e-07
1807,5.693910232196231e-09,1.3095993622869173e-07
1808,3.852325747288887e-08,3.1271821043787895e-07
1809,3.162642769893864e-08,2.484933621094143e-07
1810,1.2870697219113936e-07,2.1529165472600198e-07
1811,0.0,3.735544318317352e-07
1812,0.0,1.2002437088654005e-07
1813,0.0,8.052076339026826e-08
1814,0.0,2.7061424034968695e-07
1815,4.315557688983063e-08,1.3755839844975526e-07
1816,1.8540831092650478e-08,2.0858434801596104e-07
1817,1.2454987263765815e-08,1.7125606976975405e-07
1818,3.695565098382758e-08,1.5616741810831059e-07
1819,1.035105001712111e-09,1.6561680515891908e-07
1820,3.5599443393152796e-09,1.5663755270622914e-07
1821,9.861488514673056e-09,2.425926126647937e-07
1822,1.804610860745015e-08,1.373509377344817e-07
1823,8.894418535021487e-09,1.2551012784633997e-07
1824,1.431589158329416e-08,1.7347492242691942e-07
1825,3.522177216552791e-09,1.9371975312765244e-07
1826,1.8496766784892316e-08,1.611861182304608e-07
1827,1.013900030599757e-08,1.345721831746971e-07
1828,1.0089530988466322e-08,1.9353555069656636e-07
1829,9.430493552731178e-09,1.123086041943111e-07
1830,9.39315203396518e-09,1.6177095396585628e-07
1831,3.1182412207897414e-09,1.5903030314845523e-07
1832,1.0823975493678972e-08,1.0282776463643728e-07
1833,2.0850531967653296e-08,1.6101243360822082e-07
1834,1.8669061851994684e-08,2.3429672779684552e-07
1835,7.563087933704082e-09,1.565559202276745e-07
1836,1.949017514046858e-08,1.6331422214577174e-07
1837,1.7394727436226276e-08,1.711641122170704e-07
1838,3.787297142565649e-09,2.423870242296289e-07
1839,4.894032734625853e-09,1.125627522302608e-07
1840,4.458782232319436e-09,2.0128215671988414e-07
1841,4.494383976094696e-09,1.0401288452754898e-07
1842,6.708265054555795e-10,1.5496092675704176e-07
1843,1.594865972620596e-08,1.2109167762952566e-07
1844,4.9397050894128824e-09,1.42153739002282e-07
1845,1.562463802784464e-08,1.0825642038359007e-07
1846,8.196302303531411e-09,1.7446413691502016e-07
1847,1.0786447290911383e-08,1.1919024078821394e-07
1848,1.6090443422100975e-09,1.2791902825881607e-07
1849,4.189707469848258e-09,1.1312210412839363e-07
1850,1.8330290174617403e-08,1.1201843808095191e-07
1851,9.029214709244116e-09,8.319776023668624e-08
1852,1.9531636308300904e-09,9.505396270093058e-08
1853,2.388772735173461e-09,8.898178638361287e-08
1854,8.832629572186335e-09,9.404152656600218e-08
1855,2.1227748447927297e-09,1.178140038859965e-07
1856,3.1063135952358323e-09,9.784887539110443e-08
1857,0.0,1.3619410049736658e-07
1858,8.80861672492017e-09,1.252781092198063e-07
1859,3.055304009791371e-09,7.740103402653631e-08
1860,1.327383358784573e-08,1.354846450030145e-07
1861,1.8863854922557266e-09,1.1412632305862758e-07
1862,4.066187636597718e-09,9.894390040621204e-08
1863,6.493007298491449e-09,1.153757421268331e-07
1864,1.102787461348953e-08,9.062036054885425e-08
1865,0.0,8.990072775105773e-08
1866,8.758103242634263e-09,7.249763128713838e-08
1867,5.338092634588065e-09,1.0724713206400338e-07
1868,2.3711396401893126e-08,8.891773228825173e-08
1869,9.767038400276817e-09,1.3625017825091845e-07
1870,3.4404292748035914e-09,7.568944715430348e-08
1871,8.496941816815706e-09,4.567106048902758e-08
1872,5.442605477412599e-09,6.228759430459974e-08
1873,5.986004469882289e-10,5.686704102059181e-08
1874,6.572069888299836e-09,4.839433387360259e-08
1875,5.721527251978387e-09,4.748867493686859e-08
1876,3.02300739996042e-09,6.166935029305876e-08
1877,6.80329748092845e-09,7.298082882467583e-08
1878,9.058632954861423e-09,4.166971101504657e-08
1879,7.94212295929242e-09,6.536977981141945e-08
1880,6.417846032391594e-09,7.958129377705347e-08
1881,1.3945015142624584e-09,4.671580189352653e-08
1882,5.989846396659004e-09,8.319231548092887e-08
1883,6.319338829996468e-09,3.602023146420663e-08
1884,7.2618666635548834e-09,3.366865364284877e-08
1885,6.445635636342928e-09,6.123353823994648e-08
1886,1.0325542088018835e-08,5.679048342699389e-08
1887,1.0446279397058333e-08,5.810742909062583e-08
1888,1.141310668195672e-08,5.833365590568462e-08
1889,3.7590820456401275e-09,5.2000635575311094e-08
1890,7.209825181320184e-09,4.194807462498673e-08
1891,1.0836173736095134e-08,4.015758769959632e-08
1892,8.149066088591894e-09,4.262588304548842e-08
1893,3.0792082772457263e-09,4.865149172417205e-08
1894,6.301539290376468e-09,6.175508460160017e-08
1895,3.0093072478365457e-09,4.333402481293547e-08
1896,6.486731818355906e-09,2.5357223876198987e-08
1897,8.157398867503218e-09,3.02989097145101e-08
1898,7.355861253444118e-09,4.413516896395464e-08
1899,6.080336234504102e-09,2.8743407654019393e-08
