year,plusieurs_DET aides_NOUN
1800,6.288329146286742e-08
1801,4.524246799419984e-08
1802,2.6854081625060644e-08
1803,2.5354410126965377e-08
1804,2.7190360185613827e-08
1805,6.254330742194725e-08
1806,4.034336598124355e-08
1807,2.562259560079383e-08
1808,2.4926813058101516e-08
1809,3.6144488291256494e-08
1810,4.212228077449254e-08
1811,5.766276700569506e-08
1812,8.801787032552966e-08
1813,2.243078540686838e-07
1814,1.1642705599612668e-07
1815,1.294667271167782e-07
1816,2.7811246638975717e-08
1817,7.317305128484719e-08
1818,7.27191817873063e-08
1819,3.8298885840504227e-08
1820,5.3399165977907614e-08
1821,7.987805616949117e-08
1822,5.1130641054442094e-08
1823,6.81905376609393e-08
1824,3.2842341290972854e-08
1825,4.226612659863349e-08
1826,6.429828403042848e-08
1827,9.678137047330893e-08
1828,6.512334005392972e-08
1829,2.4004892296147773e-08
1830,6.888311787633938e-08
1831,9.978372084162856e-08
1832,6.764985016616265e-08
1833,5.3284690437749305e-08
1834,4.387229690649974e-08
1835,5.445423312266939e-08
1836,5.8470525754472646e-08
1837,6.957890841263747e-08
1838,7.006499447292924e-08
1839,5.733009800223954e-08
1840,6.688172904389944e-08
1841,5.778493772368165e-08
1842,3.152884575641224e-08
1843,8.033399012674636e-08
1844,8.177956001276243e-08
1845,1.3280942390281325e-07
1846,4.742146009206749e-08
1847,5.878613684728862e-08
1848,6.436177407698196e-08
1849,5.4466195553715124e-08
1850,6.653216289009833e-08
1851,4.6435958633850305e-08
1852,2.6042181300311995e-08
1853,7.763511078451302e-08
1854,5.0917510208137173e-08
1855,8.331891621082832e-08
1856,3.5204887616213654e-08
1857,5.85781099182725e-08
1858,6.019221476805114e-08
1859,4.2265038802113963e-08
1860,5.767251742838653e-08
1861,2.971057178058345e-08
1862,6.822159637209779e-08
1863,6.043491040941262e-08
1864,4.123465935368387e-08
1865,4.2361599561502317e-08
1866,5.54679857600604e-08
1867,5.435148864307848e-08
1868,5.8290514748371436e-08
1869,5.7625524352289403e-08
1870,6.59415624326698e-08
1871,5.098165090089424e-08
1872,2.297988976884824e-08
1873,5.6268441461782004e-08
1874,5.496640476110315e-08
1875,7.266339235867392e-08
1876,5.501873290292281e-08
1877,4.3293710616509884e-08
1878,2.959153455606156e-08
1879,4.8874601921156113e-08
1880,3.914886059774858e-08
1881,3.486253874473988e-08
1882,4.19289278852375e-08
1883,4.107570372724467e-08
1884,5.2813575734944607e-08
1885,2.900535994720954e-08
1886,3.613939880686701e-08
1887,3.264462439256377e-08
1888,5.326116303550066e-08
1889,4.385595886446936e-08
1890,3.6704565609113615e-08
1891,4.716922796799139e-08
1892,2.7581453565517222e-08
1893,4.187723234849727e-08
1894,4.348061954928539e-08
1895,3.189865616093357e-08
1896,4.0689499769541726e-08
1897,2.738555449077751e-08
1898,3.960848271589157e-08
1899,2.5979618456517528e-08
1900,4.15284250321335e-08
1901,3.409130761022894e-08
1902,3.0443761289689064e-08
1903,3.4021385708626894e-08
1904,3.117282521003517e-08
1905,3.509316082173086e-08
1906,3.035068729673185e-08
1907,2.982849167665336e-08
1908,3.4379725066813194e-08
1909,4.620826210555151e-08
1910,1.2291546336307135e-08
1911,3.032613093978398e-08
1912,4.115442742147479e-08
1913,3.075734117397033e-08
1914,3.6162417338392316e-08
1915,3.887651434109074e-08
1916,5.383856560570166e-08
1917,2.631941953268324e-08
1918,3.9053681177847466e-08
1919,2.7623545340027533e-08
1920,2.6502811500961343e-08
1921,3.180553775905537e-08
1922,1.770704471937279e-08
1923,3.715581931018619e-08
1924,2.5783249313349188e-08
1925,2.3096173862313663e-08
1926,1.2260752080273107e-08
1927,1.4493992672726108e-08
1928,1.371124969118398e-08
1929,2.0052731031228177e-08
1930,4.096405348263943e-08
1931,2.167017765231094e-08
1932,1.9727165678773417e-08
1933,3.555905392360614e-08
1934,1.7972370258689807e-08
1935,1.196828414151696e-08
1936,1.9399542416920212e-08
1937,1.7627564963262898e-08
1938,2.463390735840676e-08
1939,1.6823456405745674e-08
1940,2.2822046474857416e-08
1941,4.7224041566096275e-08
1942,6.068423541449874e-09
1943,4.064529335323641e-08
1944,1.6065930807940276e-08
1945,1.5249527862692958e-08
1946,1.6705325123211878e-08
1947,1.549713246618012e-08
1948,1.630783175166073e-08
1949,1.3743811422273211e-08
1950,1.1698897850465073e-08
1951,1.8124383327489113e-08
1952,1.898064760919027e-08
1953,2.477980309834038e-08
1954,1.9545072671434127e-08
1955,2.1586897602787758e-08
1956,2.7907653965542067e-08
1957,1.0602045463770082e-08
1958,1.4062814024384807e-08
1959,2.2477168570844697e-08
1960,1.4533750314349447e-08
1961,1.9454845512356655e-08
1962,2.0294261215969556e-08
1963,1.7458342771448088e-08
1964,2.7377857980681597e-08
1965,2.407699106754535e-08
1966,1.8832854498107565e-08
1967,1.380493930280835e-08
1968,1.1677681377442184e-08
1969,1.862120713180815e-08
1970,6.438214850135182e-09
1971,7.707596338946132e-09
1972,1.48774259578488e-08
1973,1.3783009900070198e-08
1974,1.8001829471536723e-08
1975,2.1703624675240007e-08
1976,2.171140234263902e-08
1977,1.704266816560107e-08
1978,2.198018833610149e-08
1979,2.1067104394312253e-08
1980,1.1938816213419301e-08
1981,1.2018543993352893e-08
1982,1.8622506758880775e-08
1983,1.5788289786655696e-08
1984,2.9574943938293075e-08
1985,3.849957153079231e-08
1986,2.2779044428489215e-08
1987,3.422057526236699e-08
1988,1.6790350221285166e-08
1989,2.1952487827547884e-08
1990,1.961514328741032e-08
1991,1.934283544446913e-08
1992,1.5427844113347078e-08
1993,2.2710751168553145e-08
1994,1.687976508568667e-08
1995,2.9281235214284607e-08
1996,2.7758080056727863e-08
1997,2.157702505556358e-08
1998,3.480734367400373e-08
1999,2.1479945599978123e-08
2000,2.6066386493717175e-08
2001,2.1906059716192416e-08
2002,1.7524886153363894e-08
2003,2.375146035404896e-08
2004,1.8940601642647437e-08
2005,1.9366123371611366e-08
2006,2.429554957217306e-08
2007,1.837460539277913e-08
2008,2.3415918426472615e-08
2009,2.002640875353734e-08
2010,1.9839930143206175e-08
2011,2.5238215739520342e-08
2012,1.838296548317686e-08
2013,2.2312999892193375e-08
2014,2.1004817885028615e-08
2015,1.9727521394230507e-08
2016,2.8584492994809807e-08
2017,1.7860841028394248e-08
2018,1.6005093250726077e-08
2019,1.6836519289853413e-08
