year,trois_DET ondes_NOUN
1800,0.0
1801,3.333655484993869e-08
1802,2.2378401354217203e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,1.5733386149463513e-08
1815,5.394447111228828e-09
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,4.010246357211145e-09
1823,0.0
1824,8.421112696055388e-10
1825,0.0
1826,3.5231937367541377e-09
1827,0.0
1828,1.8344602503717056e-09
1829,2.5719527840806222e-08
1830,5.322786122974321e-08
1831,1.7150327380477393e-08
1832,2.705993873419743e-09
1833,1.7375443306377747e-08
1834,0.0
1835,4.5378527602224494e-09
1836,3.36037508930076e-09
1837,0.0
1838,0.0
1839,2.7965900706306e-09
1840,1.2739377330817092e-09
1841,1.926164561183441e-09
1842,6.708265054555795e-09
1843,1.1223130869097986e-08
1844,4.390849017710252e-09
1845,9.48638767539478e-09
1846,0.0
1847,5.3932236454556914e-09
1848,0.0
1849,1.3407063903514427e-08
1850,0.0
1851,0.0
1852,0.0
1853,5.971931837933653e-09
1854,8.832629738719788e-09
1855,1.0613874223963649e-09
1856,1.1389816201301528e-08
1857,5.3696598834029885e-09
1858,1.3212924976357954e-08
1859,3.5645213447565993e-09
1860,0.0
1861,3.3011746669586728e-09
1862,1.3553959066214816e-09
1863,2.4973103585068657e-09
1864,3.835782358407869e-09
1865,7.0602665935837194e-09
1866,6.811858188626729e-09
1867,2.135237053835226e-08
1868,1.0867722721741302e-08
1869,4.395167341186834e-09
1870,1.1468097582678638e-09
1871,0.0
1872,1.1489944995446422e-08
1873,5.9860045809045914e-09
1874,8.961913877669758e-09
1875,8.010138330405425e-09
1876,9.673623679873344e-09
1877,6.80329748092845e-09
1878,0.0
1879,1.649517855639715e-08
1880,5.134277003548959e-09
1881,1.1853263259808955e-08
1882,6.655385353937504e-09
1883,1.7062214752172622e-08
1884,6.601696966868076e-10
1885,3.86738152613475e-09
1886,1.355227396970804e-08
1887,7.1818169189441505e-09
1888,1.521747527988282e-08
1889,8.14467782106476e-09
1890,8.520702365899524e-09
1891,2.7409146952095398e-08
1892,3.761107425503951e-09
1893,2.4017824173938607e-08
1894,6.301539068331863e-09
1895,1.5648398132839247e-08
1896,4.1279202278587945e-09
1897,8.157399200570126e-09
1898,1.1316709347397591e-08
1899,7.185851913504848e-09
1900,7.786579381274805e-09
1901,7.824234593556412e-09
1902,4.419255628107521e-09
1903,1.7280704867062013e-08
1904,5.374625189347171e-09
1905,6.708986699521802e-09
1906,1.800464666246171e-08
1907,1.2342823652033985e-08
1908,5.1569585934885254e-08
1909,6.0510818578052294e-09
1910,1.3894791983659616e-08
1911,1.2236860413850081e-08
1912,6.251305251225858e-09
1913,1.113627856597077e-08
1914,1.1384464038144415e-08
1915,2.3561523843085297e-09
1916,9.888715624128963e-09
1917,3.838248474608008e-08
1918,0.0
1919,1.5653341733923298e-08
1920,1.4387240288016301e-08
1921,6.058198054326169e-09
1922,1.4755870636484758e-08
1923,8.492758496458919e-09
1924,1.5469948877466777e-08
1925,1.9796720707176974e-08
1926,1.3375366592072169e-08
1927,1.3379070296082318e-08
1928,2.8565102283550914e-08
1929,1.6710609340719884e-08
1930,3.046045193855207e-08
1931,1.0264820993199919e-08
1932,2.520693342944469e-08
1933,2.0647192178202545e-08
1934,4.912448048344231e-08
1935,2.154291145473053e-08
1936,4.001155806676593e-08
1937,3.399601833375954e-08
1938,2.9819993585533666e-08
1939,2.141167065872196e-08
1940,3.550096039361961e-08
1941,8.854508237732261e-09
1942,0.0
1943,1.7419411690866582e-08
1944,1.6065930807940276e-08
1945,1.9606536838523425e-08
1946,4.454753455007676e-08
1947,1.907339353124371e-08
1948,3.044128504825494e-08
1949,2.6505922789965553e-08
1950,2.1270722072586068e-08
1951,5.330700769690111e-09
1952,1.8980646387944944e-08
1953,1.6160740301529586e-08
1954,3.127211556375187e-08
1955,1.407841132561316e-08
1956,3.0523995775411095e-08
1957,2.208759364297208e-08
1958,4.2188442794799386e-08
1959,2.0151944668533872e-08
1960,2.4914999841030294e-08
1961,1.8065213658324808e-08
1962,2.219684702708946e-08
1963,1.681173822376536e-08
1964,2.494427053800763e-08
1965,1.2038495811328431e-08
1966,3.1572724878969893e-08
1967,1.3804939413830652e-08
1968,2.380450325745187e-08
1969,4.042164414297389e-08
1970,3.5870053954889514e-08
1971,2.466430815140086e-08
1972,3.437198259348406e-08
1973,2.866865994599621e-08
1974,1.4063929631991101e-08
1975,4.3407247574123176e-08
1976,3.0853046284473606e-08
1977,1.7630345183761165e-08
1978,1.1881182260253809e-08
1979,3.5111838769807946e-08
1980,1.6486937204351904e-08
1981,2.213942412732095e-08
1982,8.069752865935698e-09
1983,1.4525227243211702e-08
1984,1.8556827463545034e-08
1985,1.2031115659283387e-08
1986,1.3187867686781374e-08
1987,1.0999470501094066e-08
1988,2.5785181934079304e-08
1989,1.2622680900520322e-08
1990,1.5801088437683575e-08
1991,1.2895223555631219e-08
1992,8.264915862810085e-09
1993,1.0524493831987058e-08
1994,1.582477948680605e-08
1995,7.591431483433553e-09
1996,4.80428297144897e-09
1997,3.835915474148521e-09
1998,2.86087753487152e-09
1999,8.226361813967742e-09
2000,5.301637906462986e-09
2001,3.94309060403053e-09
2002,1.4019908511908596e-08
2003,6.667076668520622e-09
2004,7.488145131739898e-09
2005,1.1709749059285457e-08
2006,1.2353670086895363e-08
2007,4.793375391054511e-09
2008,5.108927586539025e-09
2009,4.291373478793048e-09
2010,5.196172381261022e-09
2011,6.118355155848576e-09
2012,1.1234034036355922e-08
2013,7.530637446961919e-09
2014,4.114345752981308e-09
2015,3.9898357534484674e-09
2016,5.592618201877286e-09
2017,6.28902854793445e-09
2018,7.744400343234759e-09
2019,3.061185249730869e-09
