year,pouvez_VERB assurer_VERB,pouvez_VERB rassurer_VERB
1800,5.0306631749208464e-08,3.144164484325529e-09
1801,9.048493865293494e-08,0.0
1802,7.161088433349505e-08,0.0
1803,6.436119548425268e-08,0.0
1804,2.125791809248767e-07,0.0
1805,5.685755510853596e-08,0.0
1806,5.4751712497136396e-08,0.0
1807,7.971474502710407e-08,2.8469551160981155e-09
1808,8.837688625362716e-08,0.0
1809,1.4909601020463015e-07,0.0
1810,1.0530570193623134e-07,2.3401267590372754e-09
1811,1.7549536934780008e-08,0.0
1812,6.401299401659344e-08,0.0
1813,6.614205716459765e-08,0.0
1814,1.1328037885505182e-07,0.0
1815,6.203614333344376e-08,2.697223555614414e-09
1816,6.489290882427667e-08,0.0
1817,1.1832237589715078e-07,0.0
1818,1.2159600260019943e-07,0.0
1819,1.1179133707628353e-07,5.175524897538253e-09
1820,1.0561168295453172e-07,4.746592452420373e-09
1821,1.6370070454740926e-07,6.903041693817613e-09
1822,1.1729970594842598e-07,0.0
1823,7.214361374963119e-08,0.0
1824,6.989523626543814e-08,8.421112696055388e-10
1825,6.339919167430708e-08,0.0
1826,5.813269510213104e-08,0.0
1827,5.899054755786892e-08,0.0
1828,1.2199160437376122e-07,1.8344602503717056e-09
1829,7.458663020543099e-08,8.57317605795771e-10
1830,5.4271545479878114e-08,0.0
1831,3.897801548191637e-08,0.0
1832,6.494385473843067e-08,0.0
1833,5.90765054653275e-08,0.0
1834,7.28093425550469e-08,1.8669061851994684e-09
1835,1.5353069215962023e-07,0.0
1836,1.2971047169685335e-07,5.376600054063374e-09
1837,5.287997240088771e-08,0.0
1838,5.1759727170974656e-08,0.0
1839,1.1745678563102047e-07,0.0
1840,7.070354257621148e-08,5.732719632334238e-09
1841,7.833069304297169e-08,6.420548537278137e-09
1842,8.854910049649334e-08,1.341653010911159e-09
1843,6.14318764746713e-08,1.7720733769266417e-09
1844,5.1592476069117765e-08,1.6465684371524958e-09
1845,4.910600637231255e-08,2.7901139176833567e-09
1846,7.376671362635534e-08,1.7563503984519002e-09
1847,6.47186837454683e-08,3.775256551818984e-09
1848,4.424871846708811e-08,0.0
1849,5.027649052635752e-08,0.0
1850,4.5486274302675156e-08,0.0
1851,4.450112811582585e-08,6.449438760824933e-10
1852,4.817803755940986e-08,3.2552727180501506e-09
1853,3.4040009921909586e-08,5.971931837933653e-10
1854,6.33871053423718e-08,0.0
1855,8.119613426060823e-08,0.0
1856,4.0899795550330964e-08,6.73034605824796e-09
1857,3.9540225316159194e-08,1.4644527812635033e-09
1858,6.85114613929727e-08,4.893676019968041e-10
1859,5.855999418713509e-08,5.092173349652285e-10
1860,8.513561766676503e-08,5.034902272882391e-09
1861,6.696668464201139e-08,4.715963730639317e-10
1862,1.0843167075336169e-07,5.421583626485926e-09
1863,1.22867675145244e-07,3.995696662428827e-09
1864,8.822299690791624e-08,0.0
1865,9.649031085245952e-08,3.765475486972036e-09
1866,7.590356432274348e-08,3.4059290943133647e-09
1867,6.502767746496829e-08,9.7056229719783e-10
1868,1.0620729540278262e-07,3.951899252285784e-09
1869,7.471784613244381e-08,6.348574999037737e-09
1870,7.282241654138488e-08,5.734048791339319e-10
1871,4.248470730772169e-08,0.0
1872,7.317280648067026e-08,1.8142017887967654e-09
1873,9.996627170494321e-08,5.986004469882289e-10
1874,5.496640298474631e-08,1.1949218281515073e-09
1875,8.296214559777582e-08,6.293679799540541e-09
1876,5.562333527109331e-08,6.04601479992084e-10
1877,5.999271479595336e-08,1.2369631985365004e-09
1878,5.3747889694477635e-08,0.0
1879,6.842444122412417e-08,2.443730107160036e-09
1880,7.31634486328403e-08,0.0
1881,4.183504387356152e-08,7.669758161910067e-09
1882,7.853354588860384e-08,0.0
1883,5.1186646032874705e-08,1.2638677882037541e-09
1884,4.4891539374702916e-08,3.300848483434038e-09
1885,7.283568237426152e-08,6.445635580831777e-09
1886,4.4528899678653033e-08,1.2906927748801422e-09
1887,6.267767815870684e-08,4.570247291724172e-09
1888,6.594239465584906e-08,0.0
1889,4.698852507090123e-08,3.759081934617825e-09
1890,5.440140782297931e-08,1.3108772956016423e-09
1891,4.6531805963923034e-08,1.9122659011827636e-09
1892,3.5103667528346705e-08,2.5074049503359674e-09
1893,5.480990594719515e-08,3.079208221734575e-09
1894,4.4110773700367645e-08,1.2603078580752936e-09
1895,9.509410858754563e-08,1.2037228991346183e-09
1896,5.484237064479203e-08,2.358811590497112e-09
1897,5.9432476717802274e-08,0.0
1898,3.3384292663640736e-08,1.6975064687230201e-09
1899,4.643165851803133e-08,4.4220627160029835e-09
1900,3.0627212765921286e-08,1.038210628578895e-09
1901,4.191554126009578e-08,1.676621730339889e-09
1902,2.356936334990678e-08,1.4730852093691738e-09
1903,3.564145245604777e-08,4.320176216765503e-09
1904,4.407192477628996e-08,1.0749250378694342e-09
1905,5.005936287716395e-08,3.096455536422127e-09
1906,3.755254596171653e-08,2.572092316910357e-09
1907,5.3999855254005524e-08,5.142843373384665e-10
1908,3.929111258571538e-08,9.822778146428846e-10
1909,5.4459736276157855e-08,1.6502950117569526e-09
1910,3.90122991689168e-08,4.809735720812114e-09
1911,3.405039450399272e-08,5.3203743632934675e-09
1912,4.4801023335594437e-08,3.125652625612929e-09
1913,3.712092677687906e-08,6.363587878865928e-09
1914,3.214437072074361e-08,4.68772043404897e-09
1915,7.304072369151982e-08,1.1780762143587253e-08
1916,4.9443578120644815e-08,2.197492410260793e-09
1917,7.23783983858084e-08,1.0966424213165737e-08
1918,2.986458014220261e-08,4.594550517822427e-09
1919,2.4861190439651182e-08,7.366278698128781e-09
1920,2.7260034229925623e-08,3.786115865267448e-09
1921,8.330022005509363e-09,6.815472630705699e-09
1922,1.623145884366295e-08,0.0
1923,2.1231896241147297e-08,1.0615948120573648e-09
1924,2.5783249313349188e-08,5.156649773851996e-09
1925,1.9796720707176974e-08,1.0998177923937646e-09
1926,3.901148559748435e-08,2.229227691330493e-09
1927,2.7873062080630007e-08,3.3447675740205796e-09
1928,2.5137291359556002e-08,6.8556245125250825e-09
1929,6.238627747734427e-08,1.1140406375176326e-09
1930,2.4158287814657342e-08,1.0503603542488804e-09
1931,3.193499864551086e-08,0.0
1932,2.4110979879310435e-08,0.0
1933,3.4411986149507356e-08,1.1470662197865522e-09
1934,3.714289675826876e-08,4.7926320689839486e-09
1935,2.0346082152400413e-08,3.590485242455088e-09
1936,2.0612015205756506e-08,2.424942913137329e-09
1937,2.1404900962807005e-08,1.2591118148108649e-09
1938,1.8151300906765755e-08,1.0372171566075394e-08
1939,2.5999884911698246e-08,3.058810094103137e-09
1940,2.7893612752905028e-08,1.5214697057785997e-08
1941,1.4757512545315876e-08,2.9515025978810172e-09
1942,2.4273694165799498e-08,3.034211770724937e-09
1943,3.193558839598154e-08,2.9032352077962287e-09
1944,2.8918675454292497e-08,0.0
1945,1.3071024262956144e-08,1.089252066321933e-08
1946,2.5057987684817817e-08,8.352662561605939e-09
1947,1.549713246618012e-08,5.960435700558264e-09
1948,1.6307831529616124e-08,0.0
1949,1.0798709482173763e-08,3.9268033269479474e-09
1950,2.8715476219076663e-08,0.0
1951,1.9190522948520083e-08,5.330700769690111e-09
1952,2.003512733494972e-08,0.0
1953,2.2625037843226892e-08,1.0773827385790469e-09
1954,3.127211556375187e-08,2.9317608341017376e-09
1955,1.5016972554349195e-08,1.0324168187025862e-08
1956,2.7907653077363648e-08,1.744228317335228e-09
1957,1.0602045463770082e-08,5.301022731885041e-09
1958,1.4062814024384807e-08,2.4816730892496253e-09
1959,1.705164542897819e-08,2.325224457422337e-09
1960,2.2838749558218296e-08,3.460416619915918e-09
1961,2.91822690456911e-08,2.779263708063695e-09
1962,5.200404373795209e-08,6.976152100435229e-09
1963,2.2631185814248056e-08,3.2330267352165265e-09
1964,3.8937397306426647e-08,4.258777774879263e-09
1965,3.939871362490521e-08,3.2832261354087677e-09
1966,1.5509408868297214e-08,4.985167390003653e-09
1967,2.021437595089992e-08,2.9582012395223956e-09
1968,2.110965446888713e-08,2.245707841908029e-09
1969,4.1329997202410595e-08,1.3625273131978588e-09
1970,1.7015283404475667e-08,9.197450023812337e-10
1971,2.5178147566862208e-08,2.0553589941130213e-09
1972,1.3338381954497436e-08,3.5911027485013847e-09
1973,2.205281468548037e-08,2.205281512956958e-09
1974,2.4752514704573514e-08,2.812785782069227e-09
1975,3.0270843609514486e-08,2.2845920710778955e-09
1976,1.428381679602353e-08,2.856763492431469e-09
1977,9.990529292736028e-09,6.464460078348111e-09
1978,9.504946163474415e-09,1.7821774056514528e-09
1979,2.3993090181306798e-08,5.851973350345929e-10
1980,1.762396628635088e-08,3.411090521154847e-09
1981,1.4548763971333756e-08,4.427884725544118e-09
1982,1.3656505259973528e-08,4.345251713999687e-09
1983,1.0104505676622466e-08,2.5261264191556165e-09
1984,1.1018116197192285e-08,5.799008495621649e-10
1985,1.3835783185811579e-08,1.8046674155058895e-09
1986,8.991728250862252e-09,1.1988970927134801e-09
1987,1.588812459374367e-08,1.2221633705067347e-09
1988,1.0194141530917022e-08,4.197587610832443e-09
1989,2.250130037850795e-08,2.7440609784434855e-09
1990,1.471135746555774e-08,2.179460389939436e-09
1991,1.2895223555631219e-08,2.9307325455363298e-09
1992,1.2672871640972971e-08,1.1019888335184191e-09
1993,1.3848018731721368e-08,1.661762283333701e-09
1994,1.318731612798274e-08,2.1099706426497278e-09
1995,8.133675954979935e-09,1.0844901643380922e-09
1996,1.1743802375008272e-08,2.6690460952494277e-09
1997,1.3905194329311144e-08,1.438468344439059e-09
1998,9.536258005482523e-09,4.7681290027412615e-09
1999,1.3253583119876566e-08,3.1991407301035224e-09
2000,1.3254094710646314e-08,1.3254094488601709e-09
2001,5.257454027685071e-09,0.0
2002,1.0953053575235572e-08,2.1906108038649563e-09
2003,2.8335076507346457e-08,1.6667691671301554e-09
2004,1.1452457648886138e-08,3.0833537945085254e-09
2005,1.3961623857028371e-08,3.1526248278623825e-09
2006,1.0294725072412803e-08,2.4707338397433887e-09
2007,1.5179022483380322e-08,1.1983438685803094e-09
2008,1.830699147831183e-08,2.9802078582719105e-09
2009,1.5258216023994464e-08,4.291373478793048e-09
2010,8.502827775203059e-09,4.723792912386671e-09
2011,9.55992973672437e-09,5.353560705856353e-09
2012,1.1234034147378225e-08,4.085103366691101e-09
2013,1.4224537991935904e-08,1.0040849929282558e-08
2014,1.3209215943277286e-08,5.630157673408576e-09
