year,belles_ADJ âmes_NOUN,belles_ADJ ames_NOUN,belles_ADJ rames_NOUN
1800,8.803660733747165e-08,1.8550569791386806e-07,0.0
1801,5.476719877606229e-08,5.595779271061474e-07,0.0
1802,6.489736392722989e-08,2.64065135979763e-07,0.0
1803,5.070882025393075e-08,2.340407121437238e-07,0.0
1804,5.438072037122765e-08,3.58418390078441e-07,0.0
1805,3.695740957709859e-08,3.553597025529598e-07,0.0
1806,1.9595350408962986e-07,2.996935961618874e-07,0.0
1807,8.54086508184082e-08,2.306033621835013e-07,0.0
1808,1.0197332755979005e-07,2.719288829666766e-07,2.2660739951163578e-09
1809,7.680704072754452e-08,1.8975856619363185e-07,0.0
1810,1.0530570193623134e-07,4.329234570832341e-07,0.0
1811,2.1811567307850055e-07,6.267691787797958e-08,0.0
1812,1.7870294755084615e-07,6.934741492159446e-08,0.0
1813,1.5241430162404868e-07,2.415623043816595e-07,0.0
1814,2.7061423679697327e-07,2.580275122454623e-07,0.0
1815,1.726223075593225e-07,9.170560133497929e-08,0.0
1816,1.1356259221884102e-07,1.2515060632267705e-07,0.0
1817,2.646684720275516e-07,1.9616605584360514e-07,0.0
1818,1.5378319062619994e-07,1.9073883095188648e-07,0.0
1819,2.3393373282942775e-07,7.556266723440785e-08,0.0
1820,3.275148685588647e-07,1.5663755448258598e-07,0.0
1821,4.033348659504554e-07,1.715899031751178e-07,0.0
1822,1.7244059336007922e-07,1.3434325296657335e-07,0.0
1823,1.1365089847004128e-07,1.7294702558956487e-07,0.0
1824,1.212640228231976e-07,1.8610658969464566e-07,0.0
1825,2.764909083907696e-07,1.47050897680856e-07,0.0
1826,1.35642963527971e-07,1.699940952448742e-07,0.0
1827,8.664236617050847e-08,1.115290046982409e-07,0.0
1828,1.008953134373769e-07,1.2199160437376122e-07,0.0
1829,9.944884027390799e-08,2.297611132462407e-07,0.0
1830,1.1584887715798686e-07,1.2419835115906608e-07,0.0
1831,7.483778574624012e-08,1.4343909526814969e-07,0.0
1832,1.3800568865462992e-07,3.6395618963069865e-07,1.3529969367098715e-09
1833,1.158362863407092e-07,1.7027933552071772e-07,0.0
1834,1.1948199585276598e-07,1.7268882857024437e-07,0.0
1835,1.376482003934143e-07,1.0815215745196838e-07,0.0
1836,1.209734961094e-07,9.476257645246733e-08,0.0
1837,1.704683256775752e-07,1.0019363116953173e-07,0.0
1838,1.0415067208668916e-07,8.205810786421353e-08,0.0
1839,1.307405881334489e-07,9.508406151326199e-08,0.0
1840,1.6242705669355928e-07,2.8663599493938818e-08,6.369688665408546e-10
1841,1.6115576784159202e-07,1.9903700021473014e-08,0.0
1842,1.7575653998846974e-07,4.360372329870188e-08,0.0
1843,2.8235035642865114e-07,5.1390127708828004e-08,0.0
