year,voulons_VERB appeler_VERB,voulons_VERB rappeler_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,2.6193008650921e-08
1802,1.3427040812530322e-08,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,3.1698359492793315e-08,0.0
1807,0.0,0.0
1808,1.1330369531492579e-08,9.064295980465431e-09
1809,0.0,2.259030518203531e-09
1810,0.0,1.1700633351097167e-08
1811,0.0,1.0028307073639553e-08
1812,0.0,0.0
1813,2.300593315851529e-08,8.627225156487839e-09
1814,1.8880061958270744e-08,0.0
1815,0.0,0.0
1816,3.0128852301913867e-08,4.6352077731626196e-09
1817,0.0,1.556873407970727e-09
1818,0.0,2.384235386898581e-08
1819,2.070210003424222e-09,1.1386155129855524e-08
1820,4.746592452420373e-09,1.1866481131050932e-09
1821,0.0,2.9584463767662328e-09
1822,2.0051231786055723e-09,3.0076847679083585e-09
1823,0.0,2.9648061783404955e-09
1824,8.421112696055388e-10,2.5263338088166165e-09
1825,3.522177216552791e-09,1.4969252504215547e-08
1826,6.1655889282974385e-09,1.7615968683770689e-09
1827,9.217273166939322e-09,1.1982455028203276e-08
1828,7.337841001486822e-09,2.7516904310687096e-09
1829,1.0287811491593857e-08,0.0
1830,1.0436835840010872e-09,2.2961039292113128e-08
1831,1.091384405071949e-08,0.0
1832,3.2471927369215337e-08,1.8941957335982806e-08
1833,3.243415847009601e-08,1.1583628500844156e-09
1834,2.0535967593104942e-08,1.9602515166639023e-08
1835,1.285724948729694e-08,4.5378527602224494e-09
1836,3.1587525484155776e-08,6.048674894287842e-09
1837,6.262101948095733e-09,1.948209416013924e-08
1838,6.943378316748294e-09,1.0730675015224733e-08
1839,1.1885507689157748e-08,3.4957374772659477e-09
1840,1.8472096741106725e-08,1.9109066329292546e-08
1841,2.43980835534785e-08,1.0914932957462042e-08
1842,2.4149754196400863e-08,9.391571076378114e-09
1843,2.4809025944705354e-08,2.5990408047960045e-08
1844,2.5796238034558883e-08,1.0977122322231025e-08
1845,2.287893430263921e-08,2.0088821273134272e-08
1846,1.2879903366069811e-08,2.2247105491146613e-08
1847,4.314578916364553e-08,1.6179670936367074e-08
1848,5.792559676365272e-08,2.333114323960217e-08
1849,6.954914510970411e-08,4.9438547478075634e-08
1850,4.2091777174846357e-08,1.765138968323754e-08
1851,2.1283147688677673e-08,1.6123596680017727e-08
1852,2.6042181744401205e-08,2.2135854038651814e-08
