year,aurions_VERB emporté_VERB,aurions_VERB remporté_VERB
1800,0.0,0.0
1801,1.6668277424969347e-08,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,8.528632911009026e-09,0.0
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,1.6183340889597275e-08,0.0
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,0.0,0.0
1819,1.035105001712111e-09,0.0
1820,0.0,1.1866481131050932e-09
1821,9.86148829262845e-10,1.4792232327920374e-08
1822,3.0076847679083585e-09,3.0076847679083585e-09
1823,0.0,0.0
1824,9.263223965660927e-09,0.0
1825,4.4027217427355936e-09,1.7610886082763955e-09
1826,8.807984341885344e-10,2.642395191543301e-09
1827,6.452091305675367e-09,6.452091305675367e-09
1828,5.503380862137419e-09,0.0
1829,0.0,8.57317605795771e-10
1830,1.0436835840010872e-09,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,1.853380560135065e-08,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,6.048674894287842e-09,0.0
1837,6.957890930081589e-10,1.8090515752078318e-08
1838,0.0,2.5248647617104325e-09
1839,0.0,6.292327547896548e-09
1840,2.5478754661634184e-09,0.0
1841,4.494383976094696e-09,0.0
1842,0.0,0.0
1843,0.0,5.31621990873532e-09
1844,5.488561272137815e-10,0.0
1845,0.0,6.696273757711424e-09
1846,1.1709002656346001e-09,0.0
1847,1.0786447290911383e-08,1.6179670936367074e-09
1848,2.413566457803995e-09,0.0
1849,0.0,0.0
1850,0.0,4.073397619208663e-09
1851,6.449438760824933e-10,0.0
1852,6.510545436100301e-10,0.0
1853,0.0,0.0
1854,5.195664343204953e-09,5.195664454227256e-10
1855,0.0,0.0
1856,5.177189232874468e-10,0.0
1857,5.857811125054013e-09,5.369659827891837e-09
1858,1.468102750479261e-09,9.787352039936081e-10
1859,3.5645213447565993e-09,0.0
1860,9.154367819341758e-10,0.0
1861,0.0,0.0
1862,2.710791813242963e-09,4.517986262886353e-10
1863,1.4983863039219614e-09,4.994620828036034e-10
1864,0.0,0.0
1865,0.0,1.4120533631256649e-09
