year,ces_DET arts_NOUN,ces_DET rares_ADJ
1800,1.8613453391935764e-06,2.8926314143973286e-07
1801,1.0715321216991924e-06,3.83370391432436e-07
1802,1.8036990923064877e-06,2.9315705774024536e-07
1803,1.5290658978983629e-06,2.2428901047533145e-07
1804,1.7846763444850922e-06,2.719036173992606e-07
1805,1.239494731741786e-06,3.4398820858427825e-07
1806,1.455242912840049e-06,2.2765186713513685e-07
1807,1.79642871245278e-06,2.021338136870554e-07
1808,1.4253605664649172e-06,3.036539144574135e-07
1809,1.19954516009102e-06,2.688246283355511e-07
1810,1.2683486758646723e-06,2.129515408455518e-07
1811,1.1432269886313406e-06,2.908209024710118e-07
1812,1.2509206577249188e-06,1.600324992523383e-07
1813,9.489947192520276e-07,2.501895295381473e-07
1814,1.0352568011740004e-06,1.9824065589091333e-07
1815,1.057311649788062e-06,2.7511680755765155e-07
1816,8.204317882842815e-07,2.3176038155270362e-07
1817,1.3217855674430012e-06,3.113746736005396e-07
1818,1.2493393768409078e-06,2.873003612791081e-07
1819,1.2711089310002421e-06,3.405495441199946e-07
1820,1.121382496194201e-06,3.40568011125697e-07
1821,1.0315116751868914e-06,3.096507334987564e-07
1822,1.150940676097889e-06,2.2657891918242967e-07
1823,1.1701101758632149e-06,3.172342522006488e-07
1824,8.867431589010266e-07,1.970540379758745e-07
1825,1.0689807763419878e-06,2.5007459480974603e-07
1826,1.0366997047484006e-06,2.3341158694734077e-07
1827,9.49379131753858e-07,2.8850063316099295e-07
1828,8.016591381831972e-07,3.329545315011728e-07
1829,9.224737400614913e-07,3.1463554606148136e-07
1830,9.560141460696059e-07,3.214545323260154e-07
1831,5.924658061928767e-07,3.1182410786811943e-07
1832,9.227439328185483e-07,2.88188359398589e-07
1833,7.274518623034965e-07,3.9731846968038553e-07
1834,8.130376194515065e-07,4.2565460844912195e-07
1835,5.952150203825113e-07,3.925242566538145e-07
1836,6.828282295145982e-07,4.5835514228542706e-07
1837,7.076175028153386e-07,3.8198822593926707e-07
1838,6.514151209557895e-07,4.0208472640301807e-07
1839,5.900805231107142e-07,3.3908654550884876e-07
1840,6.095791853510946e-07,4.5288485317485083e-07
1841,5.951848325302933e-07,5.123597510703348e-07
1842,4.467704446398102e-07,5.440402865986016e-07
1843,6.73978572729439e-07,5.469799759794114e-07
1844,5.565400993390313e-07,5.472095629954765e-07
1845,7.07014885081847e-07,5.211933160609306e-07
1846,6.000863805866175e-07,7.060528481872552e-07
1847,6.293891754438619e-07,4.918620035709864e-07
1848,5.165032396781122e-07,4.6018669408454116e-07
1849,3.242833592764782e-07,6.334837578947372e-07
1850,4.344957575952435e-07,6.069362328275929e-07
1851,3.9470566459698375e-07,5.598113084204215e-07
1852,7.089983879993156e-07,6.718882907819079e-07
1853,4.5147804250689205e-07,6.198865065698556e-07
1854,5.107338427734476e-07,6.525754319142152e-07
1855,4.0491930874964055e-07,7.514623128201947e-07
1856,5.146126251798222e-07,6.766586579942668e-07
1857,4.246912914673828e-07,6.433829042862271e-07
1858,4.0862194339297275e-07,6.376460071066958e-07
1859,4.6593385127913223e-07,7.23088614762446e-07
1860,3.290995254923157e-07,7.657628842139275e-07
1861,4.381130196406957e-07,6.998490160725623e-07
1862,3.876432206617597e-07,7.721238652891316e-07
1863,6.258259830360657e-07,6.438066506575524e-07
1864,4.5166336803958984e-07,8.011990253464774e-07
1865,4.664482635696743e-07,5.89767594760815e-07
1866,4.7147790382950916e-07,6.354490622584308e-07
1867,4.590759523637189e-07,6.366888491982081e-07
1868,3.1318800441937356e-07,5.952548001175728e-07
1869,5.025141289749513e-07,6.114166133386334e-07
1870,3.348684387560752e-07,6.353326185148944e-07
1871,2.432249637251971e-07,5.852268927242221e-07
1872,3.815871147949679e-07,5.859871521352034e-07
1873,2.615884079903985e-07,5.387404300449816e-07
1874,2.8080661990115274e-07,5.389097559316269e-07
1875,5.280969359588994e-07,5.652868892980223e-07
1876,4.0387378996697976e-07,5.3507232067318e-07
1877,4.434513168893872e-07,5.628182435657436e-07
1878,4.5172382234781594e-07,4.994326250340464e-07
1879,3.384566169550851e-07,4.78971090345226e-07
1880,3.587576093977418e-07,3.998318174325277e-07
1881,3.555978729252729e-07,4.845892700444665e-07
1882,3.354314088710453e-07,4.6987019786115525e-07
1883,3.1975855208088433e-07,4.505688622202797e-07
1884,2.581263576217907e-07,5.16912859183094e-07
1885,2.855416685321188e-07,5.459453262801617e-07
1886,3.2977200170591914e-07,4.1431236752487166e-07
1887,2.4026443079527837e-07,4.4592554715450206e-07
1888,2.2382369735396423e-07,4.489155216447216e-07
1889,3.7152261755935e-07,4.60487537878862e-07
1890,3.0019089347632644e-07,3.9129687579020356e-07
1891,2.2437254487694958e-07,3.741667260470649e-07
1892,2.551284508101048e-07,4.0619960728349724e-07
1893,3.3871291238440904e-07,4.009129117577004e-07
1894,2.63404354328145e-07,4.366966805946504e-07
1895,2.4616133353916325e-07,4.2431231861428387e-07
1896,2.2054888937361738e-07,4.7589024276817327e-07
1897,2.0276963352827693e-07,4.020432449181044e-07
1898,2.059641142082569e-07,4.175865804256773e-07
1899,2.2552519851615216e-07,3.7366431016039314e-07
1900,2.465750269520228e-07,3.9400092965991007e-07
1901,2.2690280454540357e-07,4.1524329752462563e-07
1902,1.6989581635984408e-07,3.118030154070084e-07
1903,2.1600880706351688e-07,3.9097595561088383e-07
1904,2.2788410092289269e-07,3.5741258841426315e-07
1905,1.630799868479471e-07,3.3854578873615537e-07
1906,1.9805110484938382e-07,3.333431628504968e-07
1907,2.20627978109178e-07,4.09370345622051e-07
