year,tes_DET règles_NOUN
1800,2.5153315874604232e-08
1801,1.1905912700171939e-08
1802,1.5664880947952042e-08
1803,5.851017448321727e-09
1804,1.2359254730753833e-08
1805,1.4214388555089386e-08
1806,1.729001475325731e-08
1807,2.8469551160981155e-09
1808,1.1330369531492579e-08
1809,2.259030518203531e-09
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,8.00162425207418e-09
1813,8.627224934443234e-09
1814,1.2586708564299443e-08
1815,1.3486117778072071e-08
1816,1.1588019432906549e-08
1817,1.4011860338669635e-08
1818,1.0729059640723904e-08
1819,6.210630232317271e-09
1820,1.3053129244156025e-08
1821,2.0709125858608957e-08
1822,2.7069162911175226e-08
1823,1.0870955913233615e-08
1824,5.894778887238772e-09
1825,8.805443263426582e-09
1826,7.046387362485973e-09
1827,1.1982455361270183e-08
1828,1.742737271159811e-08
1829,1.1145129097389628e-08
1830,1.5655253537971703e-08
1831,7.795603274018958e-09
1832,8.117981842303834e-09
1833,1.621708034527103e-08
1834,1.586870257419548e-08
1835,1.4369867074037757e-08
1836,8.064899859050456e-09
1837,1.0436835951033174e-08
1838,6.943378316748294e-09
1839,8.389769878824893e-09
1840,8.280594876453051e-09
1841,8.988767952189392e-09
1842,4.695785538189057e-09
1843,7.678984614845064e-09
1844,9.330554218145437e-09
1845,1.0602433264672584e-08
1846,1.1123552745573306e-08
1847,7.011190739092399e-09
1848,7.240699539945439e-09
1849,1.1731181359664333e-08
1850,9.504594444820214e-09
1851,7.094382858952031e-09
1852,1.3672145415810633e-08
1853,1.791579462562254e-08
1854,1.2989161579657349e-08
1855,1.963566731433275e-08
1856,1.3978411039783367e-08
1857,1.1227470564367792e-08
1858,1.223419043849816e-08
1859,9.165911807329508e-09
1860,8.238930815362977e-09
1861,1.084671663598158e-08
1862,6.776979422085105e-09
1863,6.493007298491449e-09
1864,1.534312921158687e-08
1865,5.177528739075399e-09
1866,1.1677470990179017e-08
1867,8.73506067478047e-09
1868,5.927849100473281e-09
1869,6.836926691455858e-09
1870,7.454263428741115e-09
1871,4.248470908407853e-09
1872,3.628403577593531e-09
1873,7.183205141814142e-09
1874,5.377148282192934e-09
1875,2.860763570478042e-09
1876,6.650616279912924e-09
1877,1.051418707653795e-08
1878,1.8117265465633636e-09
1879,7.331190321480108e-09
1880,3.2089231272180996e-09
1881,6.2752567586699115e-09
1882,5.324308105514319e-09
1883,1.1374809982811485e-08
1884,2.6406787867472303e-09
1885,3.2228177904158883e-09
1886,4.517424601058195e-09
1887,4.57024718070187e-09
1888,3.804368819970705e-09
1889,4.385595775424633e-09
1890,5.898947996740844e-09
1891,4.46195413950079e-09
1892,5.01480967862733e-09
1893,1.4164357797774585e-08
1894,2.520615716150587e-09
1895,3.611168697403855e-09
1896,3.538217441256819e-09
1897,4.07869948926276e-09
1898,7.355861142421816e-09
1899,4.9748205555033564e-09
1900,5.710158568206225e-09
1901,5.588738860584641e-09
1902,2.946170252204894e-09
1903,1.3500550233302988e-08
1904,6.987012746151322e-09
1905,4.644683138099737e-09
1906,3.0865107691901983e-09
1907,6.685696329888913e-09
1908,1.964555629285769e-09
1909,2.7504918342913243e-09
1910,5.344150788566537e-09
1911,7.44852390877071e-09
1912,4.1675369266691575e-09
1913,5.833288574397244e-09
1914,8.705766996186526e-09
1915,8.246533234057551e-09
1916,7.69122365795738e-09
1917,6.579854550103903e-09
1918,4.594550517822427e-09
1919,5.524709190130039e-09
1920,1.665891025126598e-08
1921,6.815472630705699e-09
1922,7.377935318242379e-09
1923,1.8047111360885992e-08
1924,1.2891624545652292e-08
1925,7.698724546756353e-09
1926,7.802296586589819e-09
1927,7.804457302640344e-09
1928,1.942426963719157e-08
1929,1.1140406375176326e-08
1930,1.3654684716257748e-08
1931,6.843213995466613e-09
1932,1.0959536833610173e-08
1933,1.491186085722518e-08
1934,9.585264137967897e-09
1935,1.9149255514605557e-08
1936,9.699771652549316e-09
1937,8.813782481631449e-09
1938,7.779128452511941e-09
1939,1.5294050470515685e-08
1940,1.2678914806940611e-08
1941,1.4757512989405086e-08
1942,1.517105907566929e-08
1943,5.806470415592457e-09
1944,2.5705489292704442e-08
1945,2.178504132643866e-08
1946,9.744772988540262e-09
1947,1.549713246618012e-08
1948,1.087188805648509e-08
1949,1.9634017078828947e-08
1950,1.914365022059883e-08
1951,1.2793681780642885e-08
1952,8.43584291310151e-09
1953,2.0470271255845773e-08
1954,1.3681550559141442e-08
1955,1.3139850985055546e-08
1956,1.83143975540645e-08
1957,7.068030161150318e-09
1958,1.0753916868111446e-08
1959,6.975672928177801e-09
1960,6.228750015768725e-09
1961,1.1117054998788234e-08
1962,6.976151933901775e-09
1963,9.052474325699222e-09
1964,6.6923653285755336e-09
1965,6.566452104284082e-09
1966,1.1078149286802841e-08
1967,1.1339772176821583e-08
1968,1.2126822629410228e-08
1969,7.2668124850849836e-09
1970,7.81783243697376e-09
1971,1.2845993824228685e-08
1972,5.130146973897354e-09
1973,8.821126162850135e-09
1974,5.063014563155832e-09
1975,7.4249242310031605e-09
1976,7.427584769459372e-09
1977,1.5867311742301382e-08
1978,1.6039596650863075e-08
1979,1.1703946811714161e-08
1980,1.0233271396931087e-08
1981,1.5813873488479402e-08
1982,1.9864007216874313e-08
1983,1.3262164144656197e-08
1984,1.159801704675445e-08
1985,1.1429560298203967e-08
1986,1.678455963105563e-08
1987,1.4665960224036212e-08
1988,2.7584148076797987e-08
1989,1.4269117998289005e-08
1990,1.0352436907723472e-08
1991,1.3481370242374169e-08
1992,8.264916362410446e-09
1993,1.4401939474328884e-08
1994,1.74072576353268e-08
1995,1.9520823513197172e-08
1996,2.295379597505587e-08
1997,2.5412940751756707e-08
1998,2.7178336470257136e-08
1999,2.4222065964085715e-08
2000,2.3857369635393866e-08
2001,2.14679372889659e-08
2002,2.4972961809588412e-08
2003,1.6250998768896352e-08
2004,3.8762162729577554e-08
2005,2.7472872976552765e-08
2006,3.0472386114421823e-08
2007,3.874644965984331e-08
2008,5.321799756430323e-08
2009,4.768192418680428e-08
2010,5.196172364607676e-08
2011,6.271314378913928e-08
2012,7.012760930291684e-08
2013,8.004788609738966e-08
2014,8.098765258424123e-08
2015,8.821970109984534e-08
2016,9.341743556490201e-08
2017,1.2326495202330534e-07
2018,1.4482028642959222e-07
2019,1.1938622446194813e-07
