year,deux_DET arts_NOUN,deux_DET rares_ADJ
1800,1.3834323731032327e-07,6.288328968651058e-09
1801,3.333655484993869e-08,1.1905912700171939e-08
1802,1.096541666356643e-07,2.2378401354217203e-08
1803,1.3847407842604298e-07,0.0
1804,1.3347995775347954e-07,2.4718509461507665e-09
1805,7.675770063997334e-08,2.842877711017877e-09
1806,9.797675204481493e-08,0.0
1807,2.1921555060089304e-07,0.0
1808,1.0423940155490641e-07,2.2660739951163578e-09
1809,6.551188591608081e-08,2.259030518203531e-09
1810,1.2168659324629516e-07,2.3401267590372754e-09
1811,1.2535384108502967e-07,0.0
1812,1.0135391326215881e-07,0.0
1813,7.189353823378042e-08,2.8757416004054903e-08
1814,2.8320094713762956e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,4.4034472068688046e-08,2.3176038865813098e-09
1817,7.161617721074265e-08,0.0
1818,1.2517236314124602e-07,8.344824387052086e-09
1819,7.866798057420965e-08,2.79478351572493e-08
1820,1.1273156985680544e-07,0.0
1821,1.065040748926549e-07,1.97229765852569e-09
1822,9.323822780515911e-08,3.0076847679083585e-09
1823,1.1365089847004128e-07,2.075364236020505e-08
1824,1.271587990459011e-07,5.894778887238772e-09
1825,6.42797326477762e-08,2.641632912414593e-09
1826,6.253669226907732e-08,4.403992281964975e-09
1827,6.54426368096317e-08,5.530363722527909e-09
1828,5.503380623439469e-08,4.586150570418113e-09
1829,8.401712392469562e-08,1.2002446148073886e-08
1830,4.383470941782264e-08,1.461157062010443e-08
1831,5.3010101197514814e-08,2.494592976631793e-08
1832,8.38858085216998e-08,1.3529969367098715e-09
1833,6.370995575544214e-08,2.3167257001688313e-09
1834,7.187588568768888e-08,6.534171426153534e-09
1835,8.470658485748572e-08,3.025235173481633e-09
1836,6.183090306421946e-08,1.68018754465038e-08
1837,8.34946876082654e-08,1.0436836284100082e-08
1838,6.185918977053007e-08,1.3255539776935166e-08
1839,6.292327392465324e-08,9.088918062616358e-09
1840,5.4142353878017246e-08,1.1465439264668476e-08
1841,5.3290552415319326e-08,5.1364388298225094e-09
1842,1.0599058697380315e-07,1.6770663080478698e-08
1843,8.033399012674636e-08,1.063243981747064e-08
1844,8.342613450063041e-08,5.488561161115513e-09
1845,9.98860830714321e-08,1.3392547515422848e-08
1846,7.610852037487348e-08,2.6345256642912318e-08
1847,5.3932236454556914e-08,1.0247124926365814e-08
1848,6.194820856286753e-08,9.65426583121598e-09
1849,3.351765842651844e-08,5.02764896381791e-09
1850,6.85688590351674e-08,9.504594444820214e-09
1851,5.224045551699419e-08,1.9348316726564008e-08
1852,1.3346618432663604e-07,1.5625309046640723e-08
1853,6.987159983928848e-08,3.4040011254177216e-08
1854,6.910233790735631e-08,2.8056588163849483e-08
1855,7.164365101175463e-08,2.0166361025530932e-08
1856,1.1545132083679022e-07,1.7084724468485746e-08
1857,7.712784366731285e-08,3.221796029961865e-08
1858,9.493731573106956e-08,1.0766087576996597e-08
1859,9.827894476011068e-08,1.3748867822016564e-08
1860,7.872756668803049e-08,2.197048232233101e-08
1861,1.0563758534587464e-07,1.3204698667834691e-08
1862,7.861296347222435e-08,1.2198563048571032e-08
1863,1.243660608385433e-07,1.3485476124674989e-08
1864,1.0404559547261272e-07,9.589456340108882e-09
1865,7.719224726088214e-08,8.001635409815577e-09
1866,8.174229337853944e-08,9.244664589402873e-09
1867,7.667442503134225e-08,2.1837651686951176e-08
1868,7.26161495379074e-08,8.397785578040384e-09
1869,7.47178409143956e-08,2.1487483792270723e-08
1870,6.422134646300037e-08,1.834895613228582e-08
1871,3.186353225714811e-08,1.4869648623516696e-08
1872,7.982487915114689e-08,1.6327815544059376e-08
1873,7.721946104766175e-08,1.9155213415444905e-08
1874,5.01867165603187e-08,2.1508592240593316e-08
1875,7.380770256082414e-08,2.0597498262553415e-08
1876,7.980739469282128e-08,1.6324239737741664e-08
1877,6.494056881134469e-08,1.2369632207409609e-08
1878,9.239805764948983e-08,4.589707414126565e-08
1879,7.270097057698877e-08,1.7717042943843353e-08
1880,7.508880250917116e-08,2.3104246071881107e-08
1881,7.809208313336313e-08,2.7192778806472973e-08
1882,8.785108107645101e-08,7.320923423037584e-09
1883,8.847074745021999e-08,1.8326082873443283e-08
1884,8.978307697304899e-08,3.9610181801208455e-08
1885,6.767917792860345e-08,1.2891271161663553e-08
1886,7.163344711846875e-08,1.355227396970804e-08
1887,4.635536360320103e-08,1.1752064210668323e-08
1888,8.115986549483978e-08,2.6630582183884144e-08
1889,8.95914575860246e-08,9.397704836544563e-09
1890,7.078737507271171e-08,2.8839299837102317e-08
1891,4.716922674674606e-08,5.736798147637501e-09
1892,7.208788876944539e-08,1.1283322276511853e-08
1893,6.8358424809567e-08,1.7859408230069818e-08
1894,7.68787788985037e-08,4.411077725308132e-09
