year,devrais_VERB aller_VERB
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,5.693910232196231e-09
1808,2.2660739951163578e-09
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,3.200649700829672e-08
1813,1.7254450312975678e-08
1814,0.0
1815,0.0
1816,0.0
1817,3.113746815941454e-09
1818,0.0
1819,1.035105001712111e-09
1820,4.746592452420373e-09
1821,1.97229765852569e-09
1822,4.010246357211145e-09
1823,9.882686891060644e-10
1824,5.894778887238772e-09
1825,1.584979791857677e-08
1826,1.7615968683770689e-09
1827,5.530363722527909e-09
1828,5.503380862137419e-09
1829,1.714635211591542e-09
1830,2.2961039292113128e-08
1831,1.7150327380477393e-08
1832,8.117981842303834e-09
1833,1.50587169400751e-08
1834,1.8669061851994684e-09
1835,5.294161553592858e-09
1836,5.376600054063374e-09
1837,2.0873671680021744e-09
1838,2.5248647617104325e-09
1839,7.690622361167243e-09
1840,1.9109066329292546e-08
1841,3.852329122366882e-09
1842,1.408735705865638e-08
1843,1.4176587015413133e-08
1844,6.586273748609983e-09
1845,8.928364714222425e-09
1846,2.1076203893244383e-08
1847,8.629157832729106e-09
1848,2.815827571112095e-08
1849,1.005529792763582e-08
1850,1.765138968323754e-08
1851,6.449438760824933e-09
1852,3.2552727180501506e-09
1853,5.971931837933653e-09
1854,1.0910895298366086e-08
1855,9.021793090369101e-09
1856,1.0872097000458325e-08
1857,7.810414537345878e-09
1858,1.4191660291373864e-08
1859,6.619825576592575e-09
1860,2.197048232233101e-08
1861,1.5091083938045813e-08
1862,9.487771457372673e-09
1863,1.4983863039219614e-08
1864,1.6781548595190543e-08
1865,1.3649848362717876e-08
1866,1.8489329178805747e-08
1867,2.038180824115443e-08
1868,1.4819621974027086e-08
1869,1.2208797528501236e-08
1870,1.3761717099214366e-08
1871,2.3366590440332402e-08
1872,1.269941218851045e-08
1873,2.7535620006347017e-08
1874,2.2703515512034755e-08
1875,1.3731664694205392e-08
1876,3.264847947548333e-08
1877,1.4225077116236662e-08
1878,7.2469061862534545e-09
1879,2.6270098985037293e-08
1880,8.343199908722454e-09
1881,1.8128519130300447e-08
1882,2.7952617998039386e-08
1883,8.847074184359371e-09
1884,1.7824582698722224e-08
1885,2.7716232864349877e-08
1886,1.8069698626277386e-08
1887,2.4809914123125054e-08
1888,4.882273429984707e-08
1889,2.6313573542324775e-08
1890,6.554386366985909e-09
1891,1.4023283867459213e-08
1892,1.8805536683430546e-08
1893,1.847524977449666e-08
1894,2.457600345451283e-08
1895,2.467631965430428e-08
1896,3.2433661090180976e-08
1897,3.3212266714599536e-08
1898,3.621347133275776e-08
1899,3.2612710754165164e-08
1900,1.9206897405865675e-08
1901,1.956058603980182e-08
1902,3.0443761289689064e-08
1903,1.6200660368781428e-08
1904,1.4511488011237361e-08
1905,1.8062657147766004e-08
1906,2.4692084821253957e-08
