year,anciennes_ADJ règles_NOUN
1800,4.7162465932615305e-08
1801,8.810375362600098e-08
1802,1.1189200677108602e-07
1803,7.411289004721766e-08
1804,2.2741028260497842e-07
1805,1.051864728651708e-07
1806,1.9019016406218725e-07
1807,4.41278055873795e-07
1808,1.8808414381510374e-07
1809,1.6716825257390155e-07
1810,3.042164919975221e-07
1811,1.278609147448151e-07
1812,1.2802598803318688e-07
1813,1.8117172828624462e-07
1814,1.321604372606089e-07
1815,9.440282333628147e-08
1816,1.390562385239491e-07
1817,9.496927977359348e-08
1818,5.722165141719415e-08
1819,3.5297080103191547e-07
1820,1.293446416639199e-07
1821,1.4890846955495363e-07
1822,1.2532019866284827e-07
1823,1.7294702558956487e-07
1824,2.1389626159162844e-07
1825,1.7963104426144128e-07
1826,1.9201405621060985e-07
1827,2.87578927782306e-07
1828,1.3575005652910477e-07
1829,2.932026177404623e-07
1830,2.0873672212928795e-07
1831,1.0134284167406804e-07
1832,9.8768779821512e-08
1833,1.3205335847032984e-07
1834,1.0828055962974759e-07
1835,1.3613558280667348e-07
1836,1.424799052074377e-07
1837,1.509862386228633e-07
1838,1.4076121601647174e-07
1839,1.6919369727474987e-07
1840,1.1911318154034234e-07
1841,2.446228930530481e-07
1842,1.9521050953485997e-07
1843,1.5889590088136174e-07
1844,1.838668071685312e-07
1845,2.0758447760726995e-07
1846,2.0080939577837853e-07
1847,1.666506079800456e-07
1848,2.0756671709198926e-07
1849,1.860230125494411e-07
1850,1.235597242299491e-07
1851,1.6123597079698015e-07
1852,1.490914911528307e-07
1853,2.1021199358983722e-07
1854,1.8600478179919833e-07
1855,1.3798036491152743e-07
1856,2.2158370427405316e-07
1857,1.9477221258057398e-07
1858,1.898746262440909e-07
1859,1.6244032852164025e-07
1860,1.739329889005603e-07
1861,9.573406600793533e-08
1862,1.4322016284040728e-07
1863,1.5233592876029434e-07
1864,1.2801923787719716e-07
1865,1.6803433983136884e-07
1866,1.780814358198768e-07
1867,1.1792331733317951e-07
1868,1.5708799594449374e-07
1869,1.6262118707199846e-07
1870,1.4621824107052817e-07
1871,1.2745412902859243e-07
1872,1.6932550295223336e-07
1873,1.6341792274943145e-07
1874,1.0873788625076486e-07
1875,1.1900776542006497e-07
1876,1.3180311952964985e-07
1877,8.967982978447253e-08
1878,1.0749577666890886e-07
1879,1.0813505468831863e-07
1880,1.3477476557000045e-07
1881,1.5060616448403508e-07
1882,1.3976308976815233e-07
1883,1.1690776907657963e-07
1884,1.6504242150716664e-07
1885,1.5340613401804148e-07
1886,1.413308581277306e-07
1887,9.597519112780617e-08
1888,1.654900501080192e-07
1889,1.0400127337106824e-07
1890,1.3239860258140723e-07
1891,1.721039346591624e-07
1892,1.1032581426206889e-07
1893,1.5334457259541523e-07
1894,1.3233232154519214e-07
1895,1.0713133491435656e-07
1896,1.2265820220624946e-07
1897,9.322741623130071e-08
1898,1.0920624948784763e-07
1899,1.1386811138436315e-07
1900,1.1108853659180795e-07
1901,1.0730378408041474e-07
1902,8.543894125523366e-08
1903,1.2096493673396935e-07
1904,1.0373026526622198e-07
1905,1.0527948379746022e-07
1906,1.1831624191493972e-07
1907,8.999975875667587e-08
1908,1.2082017430969927e-07
1909,8.801573814221086e-08
1910,1.3520701624969433e-07
1911,1.181123039373233e-07
1912,1.2294234141840832e-07
1913,1.3469593795889523e-07
1914,7.567320131629529e-08
1915,8.482148672328549e-08
1916,4.724608615447323e-08
1917,9.760117836155047e-08
1918,9.878283435682533e-08
1919,6.905886351660229e-08
1920,8.93523313116873e-08
1921,1.1056211235427327e-07
1922,9.665095745958752e-08
1923,8.386599148479945e-08
1924,1.0184383070210856e-07
1925,9.018506252900238e-08
1926,7.579374217137058e-08
1927,1.103773286104115e-07
1928,8.341009793966236e-08
1929,8.578112620227785e-08
1930,1.1448927672574882e-07
1931,8.782124449879802e-08
1932,9.315605897786128e-08
1933,6.19415747582508e-08
1934,1.0903237779302799e-07
1935,7.300653237507504e-08
1936,9.942265677409523e-08
1937,9.569249703744731e-08
1938,6.61225966203105e-08
1939,7.799965828780842e-08
1940,5.0715659227762444e-08
1941,8.559357667081713e-08
1942,8.49579322448335e-08
1943,8.419382169222445e-08
1944,7.069009200222354e-08
1945,7.406913482554955e-08
1946,6.12528623378239e-08
1947,1.1205618477561075e-07
1948,1.1306763170182421e-07
1949,6.97007607186606e-08
1950,6.593923984610228e-08
1951,6.290227361205325e-08
1952,7.486811115509084e-08
1953,7.864893802889128e-08
1954,7.915754052234547e-08
1955,1.0324168941977518e-07
1956,7.674604418639319e-08
1957,8.216584967968288e-08
1958,7.279574187890603e-08
1959,5.348015896800007e-08
1960,8.097374959437076e-08
1961,1.1464462756904936e-07
1962,5.5175021884679154e-08
1963,6.46605333720629e-08
1964,5.779770079206159e-08
1965,8.536387596791428e-08
1966,4.985167156856818e-08
1967,9.022514202428056e-08
1968,7.500664245263522e-08
1969,6.540131325394327e-08
1970,8.599615811122341e-08
1971,7.193756434986653e-08
1972,7.233507370862924e-08
1973,8.490333813782058e-08
1974,8.325845990420078e-08
1975,6.054168677493976e-08
1976,5.656391754982337e-08
1977,5.99431747017043e-08
1978,5.168314487491443e-08
1979,8.48536103603692e-08
1980,6.992735657185278e-08
1981,8.033448178901281e-08
1982,7.324852657752956e-08
1983,6.315316269933646e-08
1984,7.654691058789354e-08
1985,7.880381114322432e-08
1986,7.133437796014164e-08
1987,4.155355598500776e-08
1988,5.8766228994144853e-08
1989,7.244320954225003e-08
1990,6.756326897949805e-08
1991,9.261115208047954e-08
1992,8.650612159932791e-08
1993,6.425480347793666e-08
1994,8.650879823601798e-08
1995,6.127369694963747e-08
1996,7.366567356115183e-08
1997,6.041567346404264e-08
1998,8.010457330787091e-08
1999,8.911892540597321e-08
2000,6.715407652180261e-08
2001,6.703253774276163e-08
2002,9.156752778238797e-08
2003,7.875484153707646e-08
2004,7.223857778626552e-08
2005,7.115924205436386e-08
2006,5.60033015517547e-08
2007,6.830560117521145e-08
2008,5.2792252347444446e-08
2009,5.531103397515835e-08
2010,7.605306590052763e-08
2011,6.00363634362111e-08
2012,5.446804390851767e-08
2013,5.9129451557282664e-08
2014,5.608503172993551e-08
2015,4.63264273192765e-08
2016,5.468337649361388e-08
2017,5.131847180539495e-08
2018,4.259420133267966e-08
2019,4.821366744733879e-08
