year,fausses_ADJ rumeurs_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,2.2378401354217203e-09
1803,1.950339223455444e-09
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,1.3596443970698147e-08
1809,2.259030518203531e-09
1810,7.020380277111826e-09
1811,2.2563691359778204e-08
1812,2.6672082320544632e-09
1813,5.751483289628823e-09
1814,4.090680150170556e-08
1815,5.394447111228828e-09
1816,8.806894413737609e-08
1817,7.005930058312515e-08
1818,2.6226590676969863e-08
1819,1.035105001712111e-09
1820,1.779972080839798e-08
1821,0.0
1822,1.7043547018147365e-08
1823,1.581229902569703e-08
1824,5.894778887238772e-09
1825,1.6730341556581152e-08
1826,9.688783109140786e-09
1827,1.2904182611350734e-08
1828,1.4675682002973645e-08
1829,1.971830521085849e-08
1830,1.461157062010443e-08
1831,1.5591206103948707e-09
1832,5.411987746839486e-09
1833,5.791814139399776e-09
1834,1.0267983796552471e-08
1835,8.31939672707449e-09
1836,3.36037508930076e-09
1837,1.948209416013924e-08
1838,1.7674054220151447e-08
1839,5.5931801412612e-09
1840,5.796416635561741e-08
1841,7.0626033910059505e-09
1842,1.8783142152756227e-08
1843,1.0041748765843295e-08
1844,1.4819115712327857e-08
1845,1.9530798311961917e-08
1846,1.4050803187615202e-08
1847,5.069630049092666e-08
1848,1.769948809737798e-08
1849,5.027649052635752e-08
1850,3.394497838371535e-08
1851,2.257303499675345e-08
1852,1.1067927463415117e-08
1853,2.388772735173461e-08
1854,3.948704829781491e-08
1855,1.2736649068756378e-08
1856,1.65670055451983e-08
1857,1.2691923956253959e-08
1858,2.6915218498402282e-08
1859,2.2914779407301467e-08
1860,3.295572525985335e-08
1861,2.782418562219391e-08
1862,5.421583537668084e-08
1863,3.3963421408600425e-08
1864,2.0137857603685916e-08
1865,2.682901328876497e-08
1866,2.238181906477621e-08
1867,1.844068364675877e-08
1868,3.359114231216154e-08
1869,2.6371004047121005e-08
1870,2.6376625328339287e-08
1871,2.973929724703339e-08
1872,2.963196266136947e-08
1873,1.616221290134945e-08
1874,3.2860349108432274e-08
1875,1.6592428764283795e-08
1876,1.6928841217733748e-08
1877,3.216104360603822e-08
1878,1.509772218355465e-08
1879,1.0385853066452455e-08
1880,1.8611753915820373e-08
1881,1.1853263259808955e-08
1882,1.2645231528551903e-08
1883,3.728409936343269e-08
1884,2.5086448474098688e-08
1885,1.8692343672910283e-08
1886,1.2906927970846027e-08
1887,2.415702127223085e-08
1888,1.3315290869897467e-08
1889,1.3156786771162388e-08
1890,9.83157938394541e-09
1891,1.784781566982474e-08
1892,1.3790727448892426e-08
1893,1.4164357686752282e-08
1894,1.071261657159539e-08
1895,2.467631965430428e-08
1896,7.66613794667137e-09
1897,1.3401440845939305e-08
1898,1.4711722506888236e-08
1899,1.2713430308508578e-08
1900,4.671947717582725e-09
1901,7.824234593556412e-09
1902,8.347482705062248e-09
1903,7.560308601384236e-09
1904,1.1824175416563776e-08
1905,1.1353670004154992e-08
1906,5.144184356264958e-09
1907,5.142843484406967e-09
1908,2.7994918383456024e-08
1909,7.701377313651392e-09
1910,5.878565634276356e-09
1911,1.4897047151407605e-08
1912,1.1981668990301841e-08
1913,9.015082902408267e-09
1914,1.0045115239609714e-08
1915,1.295883844676382e-08
1916,4.394984820521586e-09
1917,1.6449636319748606e-08
1918,3.560776473676697e-08
1919,4.603924352863942e-08
1920,1.8930579770426448e-08
