year,nos_DET arts_NOUN,nos_DET rares_ADJ
1800,6.38265364116819e-07,1.2576657937302116e-08
1801,9.45329502677339e-07,0.0
1802,8.682819725436275e-07,0.0
1803,6.221581958509859e-07,1.950339223455444e-09
1804,6.822308380449726e-07,0.0
1805,6.026900787325928e-07,0.0
1806,9.394241118343416e-07,1.4408345627714425e-08
1807,1.207109001200024e-06,0.0
1808,1.2644693296870457e-06,0.0
1809,8.539135638585549e-07,9.036122072814123e-09
1810,8.424456368061328e-07,2.3401267590372754e-09
1811,8.549131917945374e-07,2.5070767684098882e-09
1812,7.734904023948275e-07,0.0
1813,9.576219959228638e-07,2.8757416448144113e-09
1814,6.765356008742174e-07,0.0
1815,7.902865224451716e-07,0.0
1816,5.608601494344612e-07,2.3176038865813098e-09
1817,8.329272809248778e-07,9.341240669868967e-09
1818,8.845513477240274e-07,9.536941902865692e-09
1819,9.885252687524826e-07,2.070210003424222e-09
1820,8.342135995320632e-07,0.0
1821,6.784703837636741e-07,9.86148829262845e-10
1822,6.747239353899204e-07,2.0051231786055723e-09
1823,6.858584820079727e-07,1.9765373782121287e-09
1824,7.107419053298258e-07,2.5263338088166165e-09
1825,1.0804278349763052e-06,0.0
1826,9.644742933190287e-07,4.403992281964975e-09
1827,9.005275920515032e-07,4.608636583469661e-09
1828,6.136269755652179e-07,4.586150570418113e-09
1829,6.455601662125332e-07,8.57317605795771e-10
1830,6.387343500779963e-07,1.0436835840010872e-09
1831,5.987022868580993e-07,1.091384405071949e-08
1832,7.63090292288382e-07,8.117981842303834e-09
1833,8.652970500122592e-07,9.266902800675325e-09
1834,6.608848170941428e-07,3.733812370398937e-09
1835,5.052142952877148e-07,1.5126175867408165e-08
1836,5.699196027886266e-07,2.688300027031687e-09
1837,5.350618107469174e-07,1.461157062010443e-08
1838,5.396898217213675e-07,4.418513555037862e-09
1839,3.873277290011856e-07,8.38977065598101e-09
1840,4.758157468032209e-07,1.0828470564661075e-08
1841,7.300163495926881e-07,5.778493683550323e-09
1842,4.0853334271062636e-07,8.720744570922534e-09
1843,5.564310487926605e-07,3.366939194116014e-08
1844,4.4841545054907783e-07,2.5796238034558883e-08
1845,3.5434446576942946e-07,1.6182660544927785e-08
1846,4.2562225166520307e-07,2.2247105491146613e-08
1847,3.6296395222734645e-07,1.1865092020002521e-08
1848,3.588168988599705e-07,4.0226108000140925e-09
1849,3.9383250038937945e-07,1.4245005175439474e-08
1850,3.5031218370562556e-07,1.2220192857625989e-08
1851,3.173123972466385e-07,2.96674187438839e-08
1852,4.2904493113837816e-07,2.343796290382727e-08
1853,3.881755823442745e-07,2.09017620989016e-08
1854,3.7408784853143473e-07,1.2469595134234623e-08
