year,ses_DET ans_NOUN,ses_DET rangs_NOUN
1800,3.0812812790159683e-07,3.238489512114029e-07
1801,1.9049460320275102e-07,2.500241578218265e-07
1802,1.991677720525331e-07,4.050490645113314e-07
1803,2.86699872731333e-07,4.953861889589461e-07
1804,3.534746895184071e-07,2.5707248596518184e-07
1805,2.3595885068061762e-07,4.804463173968543e-07
1806,2.651135684317296e-07,3.0257524485932663e-07
1807,1.6512339584551228e-07,2.733077053562738e-07
1808,2.3793776904312836e-07,3.5124148212162254e-07
1809,1.4683698168482806e-07,6.754501100658672e-07
1810,1.9189039335287816e-07,3.650597761861718e-07
1811,1.1281845502253418e-07,3.0586335242333007e-07
1812,1.3869482984318893e-07,4.907662969344528e-07
1813,3.0770434955584847e-07,3.853493808492203e-07
1814,3.1152103474596515e-07,1.2460841389838606e-06
1815,1.9959454156115441e-07,1.1517145139805507e-06
1816,1.7382029149359823e-07,6.906459475430893e-07
1817,2.0550728674351149e-07,1.0368777338953805e-06
1818,1.5855166157763279e-07,9.691917739473865e-07
1819,2.5463583597229444e-07,6.676427233287541e-07
1820,2.2190319004522507e-07,1.2863265510532074e-06
1821,2.0610510154117634e-07,8.392126460421423e-07
1822,2.0452256421776838e-07,8.88269596543978e-07
1823,3.508353771941586e-07,9.862922070169589e-07
1824,3.309497262904415e-07,1.1157974313391605e-06
1825,2.985045226555627e-07,1.2935196309626917e-06
1826,1.7704049115607745e-07,9.310039672527637e-07
1827,1.6683263970307394e-07,1.0738123137343791e-06
1828,1.72439257539736e-07,1.1492893463582732e-06
1829,1.5431717381719778e-07,1.0716470342231332e-06
1830,1.711641122170704e-07,1.0499456948309671e-06
1831,1.1225668572478753e-07,1.3143386468073004e-06
1832,1.6371262312464552e-07,1.3232310038802098e-06
1833,1.4942881421120546e-07,1.4467951814367552e-06
1834,1.3255033382009174e-07,1.1649494808807503e-06
1835,1.1495893659230205e-07,1.1269000879110536e-06
1836,1.52561029753695e-07,1.2688776678260183e-06
1837,1.342872963938646e-07,1.2851224937548977e-06
1838,1.5338553316368575e-07,1.4372792520589428e-06
1839,1.2864314835603352e-07,1.4563242984877434e-06
1840,9.363442332599448e-08,1.8191831259173341e-06
1841,1.438202890113871e-07,1.5210279116217862e-06
1842,1.0531976091243678e-07,1.596567130945914e-06
1843,1.0455232551942473e-07,1.4855880863251514e-06
1844,9.056126382134266e-08,1.826593234000029e-06
1845,6.417262066182872e-08,1.855425807661959e-06
1846,8.781751636988133e-08,1.6135005580508732e-06
1847,8.898818659730523e-08,1.9118976979370927e-06
1848,8.769291981458593e-08,1.7168503063658136e-06
1849,1.03066805534624e-07,2.029494226007955e-06
1850,8.622024783022653e-08,1.962019950951799e-06
1851,8.126293105092941e-08,1.7800450677896151e-06
1852,5.3386471465799445e-08,1.375027181893529e-06
1853,8.300985521181303e-08,1.462526142859133e-06
1854,1.080698244226852e-07,1.287485702050617e-06
1855,1.0189318899733735e-07,1.367066943203099e-06
1856,1.2942973603990993e-07,1.6308146086885245e-06
1857,1.9818926455528185e-07,1.580144498802838e-06
1858,1.1255455079073329e-07,1.5850616819079733e-06
1859,1.217029423905558e-07,1.7058780485967873e-06
1860,1.1580275360856263e-07,1.7301755406151642e-06
1861,8.677372975718356e-08,1.7373610035065212e-06
1862,9.894390129439046e-08,1.5022304751255433e-06
1863,1.0538649997116067e-07,1.4439448250413989e-06
1864,1.1699136004406085e-07,1.4643098893429851e-06
1865,8.425251252219823e-08,1.5311364904846414e-06
1866,1.1093597684919132e-07,1.4455736163654365e-06
1867,9.899735431417866e-08,1.4830192185399937e-06
1868,8.842374432660449e-08,1.425647610631131e-06
1869,8.497323022993442e-08,1.3263637583804666e-06
1870,8.601073497871425e-08,1.5269771438397584e-06
1871,7.965882775629041e-08,1.98191173694795e-06
1872,7.498700549390946e-08,1.6406431768700713e-06
1873,9.098726883038921e-08,1.3654075701197144e-06
1874,7.528007572865647e-08,1.4733386706211604e-06
1875,9.669380807153516e-08,1.3033638879278442e-06
1876,9.915464427301401e-08,1.2926379895361606e-06
1877,1.063788335198268e-07,1.1615084076765925e-06
1878,1.0568405106603507e-07,1.27183204767789e-06
1879,1.2951769345903585e-07,1.1674920870063943e-06
1880,8.407378460084658e-08,1.16933154004073e-06
1881,7.181682448731408e-08,1.2306476264711819e-06
1882,6.122954476772691e-08,1.189317345051677e-06
1883,6.066565261253487e-08,1.1197868161616498e-06
