year,aux_ADP adieux_NOUN,aux_ADP radieux_ADJ
1800,5.0306631749208464e-08,0.0
1801,2.8574190569230495e-08,0.0
1802,1.5664880947952042e-08,0.0
1803,5.851017448321727e-09,0.0
1804,7.4155528384522995e-09,0.0
1805,2.842877711017877e-09,0.0
1806,3.1698359492793315e-08,0.0
1807,8.540865792383556e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,1.129515236897305e-08,0.0
1810,3.7442028588685616e-08,0.0
1811,8.273353202525868e-08,0.0
1812,3.467370524035118e-08,0.0
1813,2.5881674137195887e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,3.506390555685357e-08,0.0
1816,3.0128852301913867e-08,0.0
1817,2.3353100786493997e-08,0.0
1818,3.576353058143411e-08,0.0
1819,1.9666995143552413e-08,0.0
1820,2.7292905713238724e-08,0.0
1821,6.31135258499782e-08,0.0
1822,4.411270992932259e-08,0.0
1823,2.2730179960461783e-08,0.0
1824,3.452656116564867e-08,0.0
1825,5.1952113500064456e-08,0.0
1826,5.196710661792281e-08,0.0
1827,3.594736486256522e-08,0.0
1828,2.293075357373553e-08,4.586150570418113e-09
1829,6.515613648616636e-08,0.0
1830,3.339787468803479e-08,0.0
1831,8.886987412637382e-08,0.0
1832,1.2312272357206666e-07,0.0
1833,7.413521940780043e-08,0.0
1834,5.6940639980851415e-08,0.0
1835,5.3697924329298985e-08,0.0
1836,4.502902412051313e-08,0.0
1837,2.9223141573275768e-08,1.3915781860163179e-09
1838,4.0397836409411525e-08,0.0
1839,3.985140939466447e-08,3.4957374772659477e-09
1840,4.7772664990564095e-08,3.1848443882154243e-09
1841,4.1091509750401656e-08,0.0
1842,3.890793776051282e-08,6.708265054555795e-10
1843,4.902736266965135e-08,1.7720733769266417e-09
1844,3.018708683022453e-08,0.0
1845,3.5155436728384615e-08,5.580227946389016e-10
1846,3.0443406906499604e-08,1.7563503984519002e-09
1847,3.020205241455187e-08,1.6179670936367074e-09
1848,3.781254065415851e-08,4.02261068899179e-09
1849,2.8490010794968157e-08,0.0
1850,3.055048214406497e-08,0.0
1851,2.7732586227458e-08,0.0
1852,2.7995344931142085e-08,3.906327261660181e-09
1853,4.4192297155021265e-08,4.180352064508952e-09
