year,pouvez_VERB emporter_VERB,pouvez_VERB remporter_VERB
1800,0.0,0.0
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,0.0,4.475680270843441e-09
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.0171682990621775e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,6.798221985349073e-09,0.0
1809,0.0,0.0
1810,1.1700633351097167e-08,0.0
1811,0.0,1.504245972228091e-08
1812,0.0,1.3336041604361526e-08
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,3.1466771410748606e-09,6.293354282149721e-09
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,1.1921177378582115e-09
1819,1.035105001712111e-09,0.0
1820,7.119888678630559e-09,2.3732962262101864e-09
1821,9.86148829262845e-10,9.86148829262845e-10
1822,0.0,1.0025615893027862e-08
1823,1.9765373782121287e-09,8.894418535021487e-09
1824,3.3684450784221553e-09,3.3684450784221553e-09
1825,8.805443041381977e-10,8.805443485471187e-09
1826,2.642395191543301e-09,8.807984341885344e-10
1827,1.8434546111834038e-09,1.8434546111834038e-09
1828,9.172301251858528e-10,1.1006761724274838e-08
1829,2.571952872898464e-09,1.714635211591542e-09
1830,4.174734336004349e-09,0.0
1831,0.0,3.1182412207897414e-09
1832,4.058990921151917e-09,1.3529969367098715e-09
1833,1.1583628500844156e-09,1.1583628500844156e-09
1834,1.0267983796552471e-08,0.0
1835,1.4369867074037757e-08,7.563087933704082e-09
1836,2.688300027031687e-09,3.36037508930076e-09
1837,1.3915781860163179e-09,0.0
1838,2.5248647617104325e-09,1.2624323808552163e-09
1839,3.4957374772659477e-09,0.0
1840,7.0066574764382494e-09,6.369688665408546e-10
1841,1.0914932957462042e-08,1.2841097074556274e-09
1842,3.3541325272778977e-09,0.0
1843,1.0041748765843295e-08,0.0
1844,5.488561161115513e-09,6.037417232818143e-09
1845,6.138250796539069e-09,5.580227946389016e-10
1846,5.854501328173001e-10,1.1709002656346001e-09
1847,4.314578916364553e-09,7.550513103637968e-09
1848,8.045221711050488e-10,3.218088684420195e-09
1849,4.1897072478036534e-09,0.0
1850,5.431196825611551e-09,6.788996032014438e-10
1851,1.9348316282474798e-09,1.2898877521649865e-09
1852,6.510545436100301e-10,4.557382027314816e-09
1853,0.0,1.1943863675867306e-09
1854,4.1565315633818045e-09,1.610655964157104e-08
1855,3.1841622671890946e-09,2.653468555990912e-09
1856,2.0708756931497874e-09,0.0
1857,5.369659827891837e-09,2.9289055625270066e-09
1858,3.9149408159744326e-09,0.0
1859,6.110608019582742e-09,1.018434669930457e-09
1860,2.288591982591015e-09,9.154367819341758e-10
1861,6.13075279431996e-09,9.431927461278633e-10
1862,9.035972525772706e-10,4.517986262886353e-10
1863,5.494082966350788e-09,9.989241656072068e-10
1864,2.3973640850272204e-09,7.1920918109924514e-09
1865,4.23615986733239e-09,0.0
1866,4.379051787850585e-09,2.919367858567057e-09
1867,2.91168689159349e-09,1.94112459439566e-09
1868,0.0,4.93987406535723e-10
1869,4.883519144627257e-10,9.767038289254515e-10
1870,5.734048791339319e-10,0.0
1871,2.1242354542039266e-09,2.1242354542039266e-09
1872,0.0,1.2094678591978436e-09
1873,5.387403856360606e-09,0.0
1874,2.3898436563030145e-09,1.1949218281515073e-09
1875,3.432916173551348e-09,0.0
1876,7.859819461941697e-09,6.04601479992084e-10
1877,3.0924081073635534e-09,1.8554447978047506e-09
1878,1.2078177347163432e-09,1.2078177347163432e-09
1879,6.10932526790009e-10,1.221865053580018e-09
1880,4.492492600149944e-09,1.9253538763308597e-09
1881,2.091752326904839e-09,1.3945015142624584e-09
1882,8.652000893505374e-09,2.6621540527571597e-09
1883,6.319338829996468e-09,5.0554711528150165e-09
1884,7.2618666635548834e-09,6.601696966868076e-09
1885,2.5782542767416317e-09,0.0
1886,6.453463874400711e-10,1.2906927748801422e-09
1887,1.3057849246322917e-09,3.9173548849191775e-09
1888,1.268122939990235e-09,1.9021844099853524e-09
1889,5.6386229019267375e-09,0.0
1890,5.898947996740844e-09,3.2771931834929546e-09
1891,3.824531802365527e-09,0.0
1892,3.1342561879199593e-09,0.0
1893,4.310891643655168e-09,0.0
1894,0.0,0.0
1895,3.611168697403855e-09,6.018614495673091e-10
1896,5.897029087265082e-09,5.89702897624278e-10
1897,3.4960281336537946e-09,3.4960281336537946e-09
1898,4.52668391659472e-09,2.26334195829736e-09
1899,1.1055156790007459e-09,5.527578395003729e-10
1900,5.191053142894475e-10,5.191053142894475e-10
1901,4.470991132876634e-09,0.0
1902,6.874397495693074e-09,4.910283846193408e-10
1903,4.860198465905796e-09,1.6200660812870638e-09
1904,1.6123875568041512e-09,1.0749250378694342e-09
1905,7.2250627702885595e-09,0.0
1906,5.144184633820714e-09,1.0288369045596824e-09
1907,4.114274698707732e-09,1.028568674676933e-09
1908,1.1787333775714615e-08,0.0
1909,1.3752458727367411e-08,1.1001967115120692e-09
1910,2.137660271017694e-09,0.0
1911,5.320374141248863e-10,1.0640748282497725e-09
1912,3.125652625612929e-09,1.5628263128064646e-09
1913,2.121195885607108e-09,1.590896969716482e-09
1914,2.678697486047099e-09,0.0
1915,3.534228465440492e-09,0.0
1916,4.394984820521586e-09,0.0
1917,0.0,0.0
1918,3.44591288836682e-09,1.1486376294556067e-09
1919,1.5653341733923298e-08,0.0
1920,7.572231730534895e-10,5.300562211374427e-09
1921,7.572747429129834e-10,7.572747429129834e-10
1922,1.4755870969551665e-09,7.377935484775833e-10
1923,0.0,0.0
1924,2.578324886925998e-09,0.0
1925,7.698724324711748e-09,2.1996355847875293e-09
1926,5.57306911730393e-09,2.229227691330493e-09
1927,7.804457524684949e-09,4.4596899506643695e-09
1928,1.0283437212876834e-08,1.1426041224282812e-09
1929,2.2280812750352652e-09,3.342121912552898e-09
1930,4.201441416995522e-09,1.0503603542488804e-09
1931,1.1405356659111021e-09,0.0
1932,5.4797681947604815e-09,1.0959536611565568e-09
1933,5.735331320977366e-09,0.0
1934,1.1981580172459871e-08,0.0
1935,1.196828414151696e-09,2.393656828303392e-09
1936,1.2124714565686645e-09,0.0
1937,3.777335333410292e-09,2.5182236296217297e-09
1938,9.075650453382877e-09,0.0
1939,1.5294050470515685e-09,0.0
1940,0.0,0.0
1941,5.9030051957620344e-09,0.0
1942,9.102635090130207e-09,0.0
1943,2.9032352077962287e-09,0.0
1944,1.2852744646352221e-08,0.0
1945,1.742803235060819e-08,2.178504043826024e-09
1946,2.7842208538686464e-09,0.0
1947,7.152522574216391e-09,0.0
1948,1.0871887834440486e-09,2.174377566888097e-09
1949,4.908504269707237e-09,9.817008317369869e-10
1950,1.0635361480382244e-09,2.1270722960764488e-09
1951,1.0661401539380222e-08,0.0
1952,8.435843135146115e-09,0.0
1953,6.464296653518886e-09,1.0773827385790469e-09
1954,1.9545072227344917e-09,0.0
1955,8.447047505910632e-09,9.385607846468247e-10
1956,6.104799332717903e-09,8.72114158667614e-10
1957,5.301022731885041e-09,1.7670075402875796e-09
1958,8.272243334772611e-09,1.6544486891589827e-09
1959,9.300897829689347e-09,0.0
1960,2.076250060767393e-09,1.3841666701708277e-09
1961,9.03260666262895e-09,6.948159270159238e-10
1962,6.976152100435229e-09,3.805173953708163e-09
1963,7.1126584622049904e-09,0.0
1964,7.300761772910391e-09,1.2167936658258327e-09
1965,6.0192477668863376e-09,0.0
1966,8.862519607077957e-09,1.6617224263271169e-09
1967,7.888536934785861e-09,2.9582012395223956e-09
