year,veux_VERB assurer_VERB,veux_VERB rassurer_VERB
1800,1.2576657937302116e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,1.5664880947952042e-08
1803,5.851017448321727e-09,0.0
1804,4.943701892301533e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,2.0056614147279106e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,0.0,3.1466771410748606e-09
1815,1.6183340889597275e-08,2.697223555614414e-09
1816,4.6352077731626196e-09,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,1.2421260464634543e-08,0.0
1820,2.0173018810965004e-08,0.0
1821,1.676452932031225e-08,3.94459531705138e-09
1822,1.5038423839541792e-08,2.0051231786055723e-09
1823,1.8777104315859106e-08,0.0
1824,4.210556348027694e-09,0.0
1825,2.641632912414593e-09,0.0
1826,1.7615968683770689e-09,0.0
1827,2.7651818612639545e-09,1.8434546111834038e-09
1828,1.8344602503717056e-09,0.0
1829,4.286587973467704e-09,8.57317605795771e-10
1830,1.3567886369969528e-08,0.0
1831,3.4300654760954785e-08,0.0
1832,6.764984572527055e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,5.600718555598405e-09,0.0
1835,1.0588323107185715e-08,0.0
1836,6.048674894287842e-09,0.0
1837,4.87052354003481e-09,2.7831563720326358e-09
1838,9.468243078458727e-09,1.2624323808552163e-09
1839,6.9914749545318955e-09,0.0
1840,1.46502836528839e-08,0.0
1841,1.0914932957462042e-08,1.2841097074556274e-09
1842,1.8112315203211438e-08,0.0
1843,4.7255288571079745e-09,1.1813822142769936e-09
1844,1.5916826967554698e-08,2.195424508855126e-09
1845,1.3950569588416784e-08,1.1160455892778032e-09
1846,6.439951683034906e-09,0.0
1847,5.9325460100012606e-09,1.0786447290911383e-09
1848,7.24069959545659e-09,4.82713291560799e-09
1849,3.3517659758786067e-09,0.0
1850,3.394498016007219e-09,1.4935791270431764e-08
1851,4.514607354622058e-09,3.8696632564949596e-09
1852,3.2552727180501506e-09,0.0
1853,1.3138249599364826e-08,0.0
1854,3.63696517347023e-09,0.0
1855,3.714855978387277e-09,5.306937111981824e-10
1856,7.765783571755946e-09,2.5885946719483854e-09
1857,5.369659827891837e-09,2.4407544874094356e-09
1858,1.761723389392955e-08,0.0
1859,1.018434669930457e-08,0.0
1860,8.238931314963338e-09,0.0
1861,8.960331143725853e-09,1.4147891747029462e-09
1862,4.066187830886747e-09,0.0
1863,6.493007020935693e-09,0.0
1864,4.315255264231155e-09,4.794728170054441e-09
1865,9.413688495385486e-09,9.41368871743009e-10
1866,4.865612912574591e-10,1.4596839292835284e-09
1867,3.396968040192405e-09,1.94112459439566e-09
1868,1.975949626142892e-09,9.87974813071446e-10
1869,6.348574999037737e-09,4.883519144627257e-10
1870,9.17447806614291e-09,2.8670243956696595e-09
1871,2.1242354542039266e-09,7.434824311758348e-09
1872,1.4513614310374123e-08,1.8142017887967654e-09
1873,4.788803575905831e-09,5.986004469882289e-10
1874,9.559374625212058e-09,0.0
1875,3.432916173551348e-09,0.0
1876,2.418405919968336e-09,1.813804439976252e-09
1877,8.040260901509555e-09,1.8554447978047506e-09
1878,1.8117265465633636e-09,1.8117265465633636e-09
1879,9.163987790827832e-09,1.832797580370027e-09
1880,4.492492600149944e-09,1.9253538763308597e-09
1881,1.045876096839038e-08,4.183504653809678e-09
1882,9.317538740560849e-09,0.0
1883,7.58320695126713e-09,0.0
1884,9.242375753615306e-09,0.0
1885,8.379326565943757e-09,2.5782542767416317e-09
1886,9.680196200179125e-09,1.2906927748801422e-09
1887,3.264462256069578e-09,1.9586774424595887e-09
1888,9.510921827882157e-09,0.0
1889,1.2530273485467092e-09,1.2530273485467092e-09
1890,4.5880703680722945e-09,2.6217545912032847e-09
1891,1.0836173736095134e-08,4.461953917456185e-09
1892,8.149066310636499e-09,1.2537024751679837e-09
1893,8.005941687372342e-09,3.079208221734575e-09
1894,5.041231432301174e-09,2.520615716150587e-09
1895,6.6204757231957956e-09,4.814891596538473e-09
1896,3.5382172747233653e-09,5.89702897624278e-10
1897,6.409385022720926e-09,1.1653427112179315e-09
1898,2.26334195829736e-09,2.8291773368493978e-09
1899,5.527578395003729e-09,3.3165470370022376e-09
1900,3.114631885736685e-09,4.671947717582725e-09
1901,7.265360757457984e-09,2.235495566438317e-09
1902,1.9641135384773634e-09,9.820567692386817e-10
1903,2.7001101354784396e-09,3.2401321625741275e-09
1904,4.299700151477737e-09,1.0749250378694342e-09
1905,1.5482277682110634e-09,5.160759042333041e-10
1906,1.18316245689698e-08,2.0576738091193647e-09
1907,3.0857059130084963e-09,8.742834012309686e-09
1908,8.349361202419914e-09,6.384805573134145e-09
1909,6.0510818578052294e-09,3.300590023513905e-09
1910,5.878565634276356e-09,1.6032452032632705e-09
1911,2.6601871816467337e-09,1.0640748282497725e-09
1912,3.125652625612929e-09,2.0837684910901544e-09
1913,1.6969567084856862e-08,2.121195885607108e-09
1914,8.036092680185902e-09,4.68772043404897e-09
1915,1.1780762143587253e-08,8.246533234057551e-09
1916,0.0,3.2962386153911893e-09
1917,1.0966424435210342e-09,3.289927441585405e-09
1918,2.2972752589112133e-09,5.743188147278033e-09
1919,2.762354567309444e-09,1.8415696745321952e-09
1920,6.057785384427916e-09,8.329454459499175e-09
