year,les_DET août_NOUN,les_DET routes_NOUN
1800,1.8864987794131594e-08,8.624443466942466e-06
1801,2.3811825844433088e-09,6.693504246868542e-06
1802,4.475680270843441e-09,7.031293876025302e-06
1803,3.900678446910888e-09,5.252263662214318e-06
1804,0.0,5.41088186878369e-06
1805,0.0,5.373038959533005e-06
1806,3.7461699520235925e-08,7.192646279463588e-06
1807,2.8469551160981155e-09,6.360097586366464e-06
1808,4.078933191209444e-08,6.8820665433122485e-06
1809,4.518061036407062e-09,6.756760512871551e-06
1810,2.3401267590372754e-09,5.569501524860243e-06
1811,2.0056614147279106e-08,6.899475124555465e-06
1812,2.6672082320544632e-09,6.609341994590068e-06
1813,2.013019151370088e-08,7.623590931871149e-06
1814,9.440030979135372e-09,9.018376317726506e-06
1815,5.394447111228828e-09,7.843526276474222e-06
1816,0.0,6.090663191571366e-06
1817,6.227493631882908e-09,7.021499129677977e-06
1818,1.3113294894395722e-08,6.7759970363567845e-06
1819,0.0,7.433088910602237e-06
1820,4.746592452420373e-09,7.0997155035001924e-06
1821,3.944595206029078e-09,6.926709261279029e-06
1822,2.0051231786055723e-09,7.58237314357757e-06
1823,3.9530747564242574e-09,7.707507535315017e-06
1824,7.57900142644985e-09,8.699009526935697e-06
1825,7.92489873724378e-09,8.9436882717564e-06
1826,4.403992281964975e-09,8.336757446159027e-06
1827,3.6869092223668076e-09,9.697493396743084e-06
1828,4.586150681440415e-09,7.889096423241426e-06
1829,8.573175891424256e-09,9.906305024287576e-06
1830,6.262101504006523e-09,9.402545799730433e-06
1831,4.677361831184612e-09,1.0916962537521613e-05
1832,2.705993873419743e-09,8.113922433494736e-06
1833,3.475088550253247e-09,8.924027781631594e-06
1834,8.401077833397608e-09,1.005795684250188e-05
1835,5.294161553592858e-09,9.388817716171616e-06
1836,7.392824907803686e-09,7.604528661886434e-06
1837,9.74104752415883e-09,8.665357540849072e-06
1838,6.312161904276081e-09,8.668492057495314e-06
1839,1.0487213319976263e-08,8.773602246492374e-06
1840,5.0957510988602905e-09,9.324586983439076e-06
1841,1.926164561183441e-09,8.91685760961991e-06
1842,4.695785538189057e-09,9.862491197054624e-06
1843,1.7720733214154905e-09,9.099005922053038e-06
1844,1.6465684371524958e-09,8.444151433195657e-06
1845,2.7901140065011987e-08,1.0007022581248748e-05
1846,1.5221703453249802e-08,7.5464520818968595e-06
1847,5.9325460100012606e-09,8.09199252671533e-06
1848,2.4135665133151463e-09,7.142548042793351e-06
1849,4.189707314417035e-08,7.85067373954007e-06
1850,6.1100964288129944e-09,7.771363925712649e-06
1851,4.514607132577453e-09,9.294931317072042e-06
1852,3.2552727180501506e-09,7.752106284897309e-06
1853,1.7915795513800958e-09,7.092863484103873e-06
1854,5.715231066183435e-09,7.906242615263182e-06
1855,7.960405667972736e-09,7.552833096724498e-06
1856,1.2425254380943329e-08,7.809272233316733e-06
1857,3.6611316978074626e-08,7.5180123531026766e-06
1858,3.914940760463281e-09,7.178533252272246e-06
1859,5.601390684617513e-09,7.730937625183287e-06
1860,1.6020143434047895e-08,8.132282800943358e-06
1861,8.960330977192399e-09,7.506399697376764e-06
1862,7.228778048373741e-09,8.580559097026708e-06
1863,4.994620939058336e-09,8.810510905732372e-06
1864,7.671564716815737e-09,7.563683368516649e-06
1865,6.589582213223366e-09,7.796887530275853e-06
1866,7.298419313350735e-09,7.926083469556033e-06
1867,1.94112459439566e-09,7.929493847314006e-06
1868,1.975949626142892e-09,8.148322024226218e-06
1869,0.0,6.331482722998771e-06
1870,8.601073187008978e-09,6.79599440900347e-06
1871,2.1242354542039266e-09,1.131898852690938e-05
1872,8.46627523642951e-09,8.227404691751872e-06
1873,5.986004469882289e-10,9.41359036232825e-06
1874,5.974609029735234e-09,9.041973783041612e-06
1875,6.293679688518239e-09,8.048472295740794e-06
1876,5.441413319928756e-09,8.142167928326671e-06
1877,1.8554447978047506e-09,7.210258559098293e-06
1878,1.8117266020745149e-09,7.5965694463775435e-06
1879,5.498392852132383e-09,7.678200176997052e-06
1880,6.417846032391594e-09,8.924657038278383e-06
1881,3.486253785656146e-09,7.399922424156102e-06
1882,5.324307883469714e-09,7.438723855557328e-06
1883,1.2006744321002571e-08,6.591702685909695e-06
1884,7.922036360241691e-09,8.110184694487543e-06
1885,5.80107206715752e-09,8.597833414114575e-06
1886,2.5813854942491332e-09,7.630575908024184e-06
1887,8.48760217664335e-09,7.405106487112789e-06
1888,2.53624587998047e-09,7.126216644337546e-06
