year,pourrais_VERB apporter_VERB,pourrais_VERB rapporter_VERB
1800,3.144164484325529e-09,1.0690159513160324e-07
1801,0.0,3.809892135109294e-08
1802,0.0,6.937304419807333e-08
1803,9.751696339321825e-09,6.241085515057421e-08
1804,4.943701892301533e-09,1.1370514130248921e-07
1805,2.842877711017877e-09,3.695740957709859e-08
1806,1.152667650217154e-08,8.645007376628655e-09
1807,2.8469551160981155e-09,4.555128185756985e-08
1808,1.3596443970698147e-08,9.744118045773575e-08
1809,2.259030518203531e-09,6.09938268780752e-08
1810,1.8721014072298203e-08,1.0062544930633521e-07
1811,0.0,1.6295999216708879e-07
1812,4.267533171287141e-08,1.0135391192989118e-07
1813,2.300593315851529e-08,4.3136125782439194e-08
1814,1.2586708564299443e-08,5.349351184236184e-08
1815,4.315557688983063e-08,6.47333635583891e-08
1816,1.1588019432906549e-08,1.9931393069327896e-07
1817,6.227493631882908e-09,1.0431051578052575e-07
1818,1.5497530370112145e-08,1.1801965627000754e-07
1819,1.035105001712111e-09,8.79839276990424e-08
1820,9.493184904840746e-09,1.044250339532482e-07
1821,3.155676253641104e-08,1.4397772929442e-07
1822,3.0076847679083585e-09,8.922798144794797e-08
1823,2.174191138237802e-08,8.400284201570685e-08
1824,8.421112696055388e-09,1.0610602174665473e-07
1825,1.4969252504215547e-08,1.4000654857682093e-07
1826,1.3211976401805714e-08,8.807984386294265e-08
1827,0.0,7.281645508783186e-08
1828,4.586150570418113e-09,7.429564163885516e-08
1829,1.2859763920403111e-08,1.3888545424833865e-07
1830,5.218417697960831e-09,9.601888706356476e-08
1831,7.795603274018958e-09,1.0134284167406804e-07
1832,6.764984572527055e-09,1.1365174401589684e-07
1833,1.0425265983826648e-08,7.18184978154568e-08
1834,3.733812370398937e-09,7.654315226091057e-08
1835,1.1344631900556124e-08,8.092504089063368e-08
1836,1.8146025126952736e-08,6.317505096831155e-08
1837,3.270208637218275e-08,7.653680000885288e-08
1838,2.7142295522253335e-08,1.2245594405158045e-07
1839,4.194885327990505e-09,5.3135210009713774e-08
1840,2.5478755105723394e-08,1.0255198645836572e-07
1841,2.1829865914924085e-08,5.393260948949319e-08
1842,4.024958855097793e-08,6.909512961783548e-08
1843,3.1306630177141415e-08,5.5524964182041003e-08
1844,2.140538946093784e-08,8.287727837341663e-08
1845,2.511102614732863e-08,1.0323421406610578e-07
1846,2.0490753982471688e-08,6.205771541090144e-08
1847,1.294373674909366e-08,2.9662729161827883e-08
1848,2.091757700384278e-08,5.953464210506354e-08
1849,4.608678239037545e-08,7.457679629396807e-08
1850,1.9009188889640427e-08,6.653215933738466e-08
1851,1.9348316726564008e-08,6.126966667352463e-08
1852,3.385483537954315e-08,6.575650957074686e-08
1853,1.7318601663873778e-08,5.852493245583901e-08
1854,8.832629738719788e-09,4.624141425324524e-08
1855,1.0613874223963649e-08,9.711695270198106e-08
1856,9.318940286107136e-09,4.2970672353703776e-08
1857,2.39193944651106e-08,5.125584578991038e-08
1858,1.1744822003834088e-08,5.529853908115001e-08
1859,2.8516170758052795e-08,2.49516496353408e-08
1860,2.288591893773173e-08,5.7214798232507746e-08
1861,1.4147890858851042e-08,9.148969581929123e-08
1862,1.3102160245637151e-08,4.066187742068905e-08
1863,1.5982786649715308e-08,5.743813957792554e-08
1864,2.6371003158942585e-08,3.452204211384924e-08
1865,1.6473954644879996e-08,3.012380389577629e-08
1866,1.2650593461671633e-08,3.308616669528419e-08
1867,2.329349513274792e-08,4.2219461704462447e-08
1868,2.1735445443482604e-08,3.507310708528166e-08
1869,1.3185501579471293e-08,3.271957993433716e-08
1870,1.490852596930381e-08,4.587239033071455e-08
1871,1.805600113868877e-08,2.549082545044712e-08
1872,3.3260366905096816e-08,6.289232601375261e-08
1873,2.573981916498269e-08,3.112722168907567e-08
1874,1.3741600746186577e-08,3.4055272379873713e-08
1875,1.0298748520654044e-08,3.661777370211894e-08
1876,6.650616057868319e-09,3.929909553335165e-08
1877,2.3502300550148902e-08,2.2265338017746217e-08
1878,1.8117265909722846e-08,3.5026715750063886e-08
1879,1.8327975581655664e-08,2.443730195977878e-08
1880,9.626769603698904e-09,2.1178893305773272e-08
1881,1.2550513517339823e-08,3.137628468152798e-08
1882,7.986462158271479e-09,2.3293848627758962e-08
1883,1.0742875922176154e-08,2.401348808689363e-08
1884,2.5086448474098688e-08,2.5086448474098688e-08
1885,1.8047780159236027e-08,1.2891271161663553e-08
1886,1.4197620856748472e-08,1.5488312854472497e-08
1887,2.8727267675776602e-08,1.7628096316002484e-08
1888,1.1413106904001324e-08,1.775372027168487e-08
1889,2.8193115397812107e-08,2.192797943223468e-08
1890,1.5730527991308918e-08,2.1629475099871343e-08
1891,1.9760081571007504e-08,3.059625441892422e-08
1892,2.382034658410248e-08,2.2566645441202127e-08
1893,2.155445777418663e-08,2.155445777418663e-08
1894,3.780923574225881e-09,2.3315696040526745e-08
1895,1.1435367319734269e-08,1.5046536461227333e-08
1896,2.0049897742069334e-08,2.5357223876198987e-08
1897,2.2141511735185304e-08,9.322741689743452e-09
1898,1.2448380992680086e-08,1.6975064909274806e-08
1899,2.3768587098516036e-08,1.713549302451156e-08
1900,2.387884379118077e-08,1.5054054003371675e-08
1901,2.459045056468767e-08,2.6825947685438223e-08
1902,1.0802624572647801e-08,5.892340837476695e-09
1903,1.674068350610014e-08,1.7280704867062013e-08
1904,1.8811189050893518e-08,1.9348650681649815e-08
1905,2.115911179600971e-08,6.708986699521802e-09
1906,1.4403716441790948e-08,1.2346042410626978e-08
1907,9.771402353919711e-09,1.697138252154673e-08
1908,2.7503778810000767e-08,1.7189861978295085e-08
1909,1.4852655993990993e-08,1.4852655993990993e-08
1910,1.1757131268552712e-08,1.8170112525695004e-08
1911,2.128149745317387e-08,6.916486494645824e-09
1912,3.2819354345292595e-08,1.0418842677495377e-08
1913,2.4393752795504042e-08,6.893886794756554e-09
1914,2.5447626228469744e-08,8.705766774141921e-09
1915,2.4739600590351074e-08,2.8273827723523937e-08
1916,3.076489463182952e-08,8.789969641043172e-09
1917,3.180263163926611e-08,1.6449636319748606e-08
1918,2.2972752589112133e-08,2.1824114071478107e-08
1919,3.591060959706738e-08,2.301962176431971e-08
1920,2.8774479687854182e-08,1.665890891899835e-08
1921,1.6660044011018726e-08,3.634918854800162e-08
1922,8.853522359686394e-09,3.6889677978990676e-09
1923,1.3800733000834953e-08,6.369568872344189e-09
1924,1.933743654092268e-08,1.2891624656674594e-08
1925,1.9796720707176974e-08,1.3197813508725176e-08
1926,2.0063049888108253e-08,1.114613823460786e-08
1927,2.4528294062520217e-08,6.689535148041159e-09
