year,trois_DET âmes_NOUN,trois_DET ames_NOUN,trois_DET rames_NOUN
1800,0.0,6.288328968651058e-09,1.8864987794131594e-08
1801,2.3811825844433088e-09,4.7623650800687756e-08,3.333655484993869e-08
1802,0.0,1.7902721083373763e-08,2.0140561218795483e-08
1803,3.900678446910888e-09,1.755305234496518e-08,4.290746247193056e-08
1804,1.2359254952798437e-08,3.460591280202152e-08,1.730295728918918e-08
1805,8.528632911009026e-09,3.695740957709859e-08,1.421438877713399e-08
1806,6.627838899930794e-08,2.881669125542885e-09,3.1698359492793315e-08
1807,0.0,1.4234775136401367e-08,2.8469551160981155e-09
1808,2.2660739062985158e-08,6.571614363792833e-08,1.5862518409903714e-08
1809,0.0,9.036122072814123e-09,1.129515236897305e-08
1810,2.3401267590372754e-09,2.8081521108447305e-08,2.3401267590372754e-09
1811,2.0056614147279106e-08,1.0028307073639553e-08,3.5099073869560016e-08
1812,5.3344164641089264e-09,4.800974906515876e-08,1.0668832928217853e-08
1813,5.751483289628823e-09,2.8757416448144113e-09,8.627225156487839e-09
1814,0.0,6.293354282149721e-09,0.0
1815,2.966945977789237e-08,5.394447111228828e-09,2.697223555614414e-09
1816,3.7081662185300956e-08,9.270415546325239e-09,6.952811659743929e-09
1817,1.5568733857662664e-08,1.2454987263765815e-08,2.490997452753163e-08
1818,1.3113295338484932e-08,7.152706427149269e-09,1.3113295338484932e-08
1819,3.2088255608186955e-08,2.070209959015301e-08,2.5877625375869684e-08
1820,3.797273961936298e-08,2.1359666035891678e-08,8.306536791735653e-09
1821,5.325203744632745e-08,2.7612166775270452e-08,7.88919063410276e-09
1822,6.015369535816717e-09,9.023054303725075e-09,0.0
1823,2.4706716672540097e-08,1.3835761869529506e-08,7.906149512848515e-09
1824,3.3684450784221553e-08,2.947389443619386e-08,2.5263338088166165e-09
1825,1.1447076175841175e-08,1.4088708644166559e-08,9.68598712347557e-09
1826,1.145037931138404e-08,8.80798456392995e-09,1.6735169694470642e-08
1827,2.3043183361437514e-08,3.226045625082108e-08,6.452091083630762e-09
1828,1.1923991571904935e-08,1.3758451489209733e-08,2.2013523448549677e-08
1829,1.971830521085849e-08,3.086343269842473e-08,6.001223074036943e-09
1830,9.39315203396518e-09,1.461157062010443e-08,2.0873671680021744e-09
