year,soixante - dix rois
1800,6.889536940946073e-09
1801,1.307491448443443e-08
1802,2.7591249396330397e-07
1803,2.5714268048204758e-08
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,4.941918430034775e-09
1810,2.5642903356271063e-09
1811,3.587094354884357e-08
1812,5.841833683462028e-09
1813,6.294130994177749e-09
1814,1.719689457502227e-08
1815,0.0
1816,2.5331408082251983e-09
1817,5.118370793866234e-08
1818,1.5639874395567688e-08
1819,2.6004007835922494e-08
1820,1.2948726535455535e-08
1821,6.480193270874679e-09
1822,6.578857458805487e-09
1823,4.318348900689273e-09
1824,3.215638599840531e-08
1825,1.729926801807835e-08
1826,2.4026477141170233e-08
1827,5.030327265842516e-09
1828,4.009243159686093e-09
1829,8.428944653360304e-09
1830,1.141392047543377e-08
1831,1.711448205377053e-09
1832,5.930508972795678e-09
1833,5.069511699318241e-09
1834,1.8411737912060744e-08
1835,1.908909297299033e-08
1836,1.762437484842394e-08
1837,3.036395135325165e-09
1838,6.882242942207739e-09
1839,3.2098832036808744e-08
1840,6.2626853702951735e-09
1841,4.913853324239881e-09
1842,8.802249595873946e-09
1843,1.2262938664520107e-08
1844,4.7871790975762e-09
1845,1.0370687419936075e-08
1846,9.609906648222477e-09
1847,1.7671799579233038e-09
1848,7.928115053346119e-09
1849,0.0
1850,5.201046704428336e-09
1851,9.17613895978775e-09
1852,1.0700297814469906e-08
1853,5.883337816925405e-09
1854,7.95645771489717e-09
1855,6.9813452796552156e-09
1856,2.2684560896379935e-09
1857,1.3909213336660287e-08
1858,1.0185876586632503e-08
1859,3.3445563540901446e-09
1860,2.508991014948947e-09
1861,6.196612334363749e-09
1862,2.475542437707645e-09
1863,4.386090712849011e-09
1864,4.199631753465383e-09
1865,3.0957633678774243e-09
1866,2.562866985300616e-08
1867,1.490532852699289e-08
1868,1.8934689927085913e-08
1869,3.053667896324441e-08
1870,5.026630667259724e-09
1871,1.0498433233863125e-08
1872,1.2603671883937295e-08
1873,7.872509755202373e-09
1874,6.555163967192357e-09
1875,3.143485194367912e-09
1876,3.98449861993555e-09
1877,7.488316189352417e-09
1878,2.658735009930524e-09
1879,1.4113110957669761e-08
1880,2.1200949884558895e-09
1881,7.684392566709164e-10
1882,1.1724213599961786e-08
1883,5.573287609195177e-09
1884,2.182452718546557e-09
1885,4.261250463599708e-09
1886,0.0
1887,2.1607871047990557e-09
1888,2.795607745298412e-09
1889,3.457031105824626e-09
1890,7.228974641115826e-10
1891,0.0
1892,2.7668753954657177e-09
1893,2.037882529393187e-09
1894,0.0
1895,3.320978769760785e-09
1896,5.203483421922783e-09
1897,3.220920641311409e-09
1898,1.2485185107991015e-09
1899,3.050205088506175e-09
1900,1.7208012792480076e-09
1901,0.0
1902,2.7035762517613193e-09
1903,5.960992366382811e-09
1904,4.748181403613216e-09
1905,1.7093688686742325e-09
1906,2.8378285277241844e-09
1907,7.957165371053065e-09
1908,2.1699457786183984e-09
1909,3.6396392566473423e-09
1910,5.898358468314768e-10
1911,3.523086267165354e-09
1912,0.0
1913,1.7553301034922697e-09
1914,2.954637423613349e-09
1915,2.5976194528709584e-09
1916,3.6280081161521593e-09
1917,1.206102329120995e-09
1918,5.055078577953509e-09
1919,0.0
1920,3.3373506180822687e-09
1921,8.356959568800448e-10
1922,8.143886454092808e-09
1923,0.0
1924,0.0
1925,2.4370372386783856e-09
1926,4.938281339406103e-09
1927,1.2342680211219204e-09
1928,1.2651650838080286e-09
1929,6.171313460257011e-09
1930,3.4877380983289186e-09
1931,0.0
1932,0.0
1933,0.0
1934,1.3274176202671129e-09
1935,0.0
1936,1.342229327683242e-09
1937,0.0
1938,5.737644581671475e-09
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,1.5397358943403106e-09
1947,6.58391385854884e-09
1948,0.0
1949,0.0
1950,0.0
1951,8.259341655048047e-09
1952,2.3360564593843947e-09
1953,2.3816522087827252e-09
1954,2.1613446588020224e-09
1955,0.0
1956,2.894067208103479e-09
1957,1.9557553354587753e-09
1958,1.829783657925077e-09
1959,0.0
1960,0.0
1961,2.3004387283975802e-09
1962,2.7977031802350893e-09
