year,puissions_VERB appliquer_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,2.2378401354217203e-09
1803,1.755305234496518e-08
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,2.259030518203531e-09
1810,2.3401267590372754e-09
1811,0.0
1812,1.0668832928217853e-08
1813,8.627225156487839e-09
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,9.536941902865692e-09
1819,2.070210003424222e-09
1820,3.5599443393152796e-09
1821,8.875339574387908e-09
1822,1.0025615893027862e-08
1823,4.941343334508019e-09
1824,8.421112696055388e-10
1825,7.044354433105582e-09
1826,9.688783109140786e-09
1827,9.217273055917019e-10
1828,1.8344602503717056e-09
1829,2.5719527840806222e-08
1830,5.218417697960831e-09
1831,4.677361609140007e-09
1832,1.3529969367098715e-09
1833,0.0
1834,3.733812370398937e-09
1835,6.050470346963266e-09
1836,1.3441500135158435e-09
1837,2.0873671680021744e-09
1838,4.418513555037862e-09
1839,3.4957374772659477e-09
1840,1.0828470564661075e-08
1841,3.852329122366882e-09
1842,8.049918065466954e-09
1843,1.7720733769266417e-09
1844,5.488561161115513e-09
1845,7.254296274794569e-09
1846,8.781752214304106e-09
1847,7.011190739092399e-09
1848,8.045221711050488e-10
1849,8.379414939696517e-10
1850,3.394498016007219e-09
1851,3.0957306051959677e-08
1852,1.8229528109259263e-08
1853,7.763511611358354e-09
1854,7.79349651480743e-09
1855,5.306937111981824e-10
1856,1.0354378465748937e-09
1857,4.881508974818871e-09
1858,2.0553439838977283e-08
1859,1.5785737161877478e-08
1860,4.57718396518203e-09
1861,1.131831339762357e-08
1862,9.035972858839614e-09
1863,5.494082966350788e-09
1864,7.1920918109924514e-09
1865,6.118897832863013e-09
1866,1.9462451650298362e-09
1867,1.455843445796745e-09
1868,8.397785578040384e-09
1869,1.4650557433881772e-09
1870,2.2936195165357276e-09
1871,3.18635318130589e-09
1872,1.8142017887967654e-09
1873,8.380406590902112e-09
1874,4.182226565063729e-09
1875,5.149374260327022e-09
1876,1.1487427897804992e-08
1877,2.4739263970730008e-09
1878,3.0195443923020093e-09
1879,1.221865053580018e-09
1880,0.0
1881,1.045876096839038e-08
1882,1.3310770263785798e-09
1883,1.8958017378167824e-09
1884,1.7824582698722224e-08
1885,6.445635580831777e-09
1886,3.872078213618124e-09
1887,1.9586773092328258e-08
1888,2.53624587998047e-09
1889,3.759081934617825e-09
1890,2.6217545912032847e-09
1891,9.561330394092238e-09
1892,6.268512375839919e-10
1893,5.542574843531156e-09
1894,0.0
1895,1.0833506536300774e-08
1896,2.358811590497112e-09
1897,4.078699600285063e-09
1898,1.3014216371232123e-08
1899,5.527578395003729e-09
1900,8.824790675987515e-09
1901,5.029864968975062e-09
1902,9.820567470342212e-09
1903,5.940242076007962e-09
1904,6.449550227216605e-09
1905,5.160758931310738e-09
1906,7.716276506641861e-09
1907,7.71426478252124e-09
1908,4.4202499438483756e-09
1909,2.7504918342913243e-09
1910,3.740905363258662e-09
1911,1.0640748726586935e-08
1912,1.0418842677495377e-08
1913,7.954484182448596e-09
1914,7.366418142140674e-09
1915,1.1780761921542648e-09
1916,3.2962386153911893e-09
1917,8.773139548168274e-09
1918,3.44591288836682e-09
1919,7.366278698128781e-09
1920,1.1358347151713133e-08
1921,3.7863738810983705e-09
1922,7.377935595798135e-09
1923,1.3800733000834953e-08
1924,5.156649773851996e-09
1925,7.698724324711748e-09
1926,6.687683296036084e-09
1927,3.3447675740205796e-09
1928,3.4278122562625413e-09
1929,8.912325100141061e-09
1930,5.2518016602221e-09
1931,1.710803587684495e-08
1932,1.2055489939655217e-08
1933,9.176529758292418e-09
1934,4.7926320689839486e-09
1935,5.98414207075848e-09
1936,3.6374143697059935e-09
1937,5.0364472592434595e-09
1938,1.2965214457594243e-09
1939,4.588215141154706e-09
1940,2.5357829169792012e-09
1941,8.854508237732261e-09
1942,0.0
1943,0.0
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,5.568441707737293e-09
1947,1.0728784083369192e-08
1948,5.435944139264848e-09
1949,1.9634016634739737e-09
1950,4.2541445921528975e-09
1951,0.0
1952,6.326882129314981e-09
