year,deviez_VERB aller_VERB
1800,1.8864987794131594e-08
1801,2.1430643926123594e-08
1802,6.713520406265161e-09
1803,1.5602713787643552e-08
1804,3.213406074564773e-08
1805,0.0
1806,8.645007376628655e-09
1807,0.0
1808,1.5862518409903714e-08
1809,0.0
1810,1.6380887757350138e-08
1811,5.0141535368197765e-09
1812,1.8670457180292033e-08
1813,8.627225156487839e-09
1814,9.440030979135372e-09
1815,5.394447111228828e-09
1816,0.0
1817,9.341240669868967e-09
1818,1.0729059418679299e-08
1819,3.1053151161586356e-09
1820,3.085285271708926e-08
1821,2.2681422962023134e-08
1822,5.012807946513931e-09
1823,2.569498569471307e-08
1824,1.431589158329416e-08
1825,8.805443485471187e-09
1826,1.2331177856594877e-08
1827,1.013900075008678e-08
1828,1.4675682002973645e-08
1829,1.714635211591542e-09
1830,1.878630406793036e-08
1831,4.677361609140007e-09
1832,1.6235963684607668e-08
1833,0.0
1834,2.7070139907436896e-08
1835,8.31939672707449e-09
1836,1.0753200108126748e-08
1837,7.653680356156656e-09
1838,6.312161904276081e-09
1839,2.6567605004856887e-08
1840,1.1465439264668476e-08
1841,1.9903700021473014e-08
1842,2.0124795163667386e-09
1843,2.953455480181333e-09
1844,9.330554107123135e-09
1845,4.464182357111213e-09
1846,3.5127007969038004e-09
1847,4.314578916364553e-09
1848,3.218088684420195e-09
1849,2.76520690789539e-08
1850,2.7155984128057753e-09
1851,1.096404567135778e-08
1852,3.2552727180501506e-09
1853,5.971931837933653e-09
1854,5.195664343204953e-09
1855,1.4328730202350926e-08
1856,8.28350277259915e-09
1857,9.274867096564776e-09
1858,1.3702292633865909e-08
1859,1.7313389832906978e-08
1860,1.4646988510946812e-08
1861,8.960331143725853e-09
1862,2.5752521892741242e-08
1863,5.494082966350788e-09
1864,4.315255264231155e-09
1865,4.706844247692743e-09
1866,6.3252967308358166e-09
1867,6.79393608038481e-09
1868,7.409810987013543e-09
1869,1.12320943657096e-08
1870,9.17447806614291e-09
1871,1.274541272522356e-08
1872,1.1489944995446422e-08
1873,1.2570609442263958e-08
1874,8.961913877669758e-09
1875,8.58229043387837e-09
1876,4.232210137899983e-09
1877,1.36065949618569e-08
1878,3.0195443923020093e-09
1879,6.720257683667796e-09
1880,1.5402831010646878e-08
1881,6.9725074602899895e-09
1882,9.983077475794744e-09
1883,1.1374810426900694e-08
1884,1.1883054540362536e-08
1885,9.66845359329227e-09
1886,9.034849313138693e-09
1887,3.9173548849191775e-09
1888,6.974675947901687e-09
1889,5.6386229019267375e-09
1890,1.0487018364813139e-08
1891,7.649063604731055e-09
1892,1.0656471260972467e-08
1893,1.1700991287000306e-08
1894,1.2603078580752936e-08
1895,1.8055843487019274e-09
1896,3.5382172747233653e-09
1897,5.826713334045053e-09
1898,1.1882545614128048e-08
1899,2.7637891975018647e-09
1900,3.114631885736685e-09
1901,2.235495566438317e-09
1902,7.365425602756659e-09
1903,9.720396931811592e-09
1904,3.7622376325430196e-09
1905,8.773290538499623e-09
1906,1.2860461140462576e-08
1907,4.114274698707732e-09
1908,4.911389073214423e-09
1909,1.1552065082298668e-08
1910,5.34415089958884e-09
1911,6.916486494645824e-09
1912,2.6047106693738442e-09
1913,1.590896969716482e-09
1914,4.68772043404897e-09
1915,0.0
1916,1.0987462051303964e-09
1917,1.7546279096336548e-08
1918,9.189101035644853e-09
1919,1.2890987832747669e-08
1920,6.057785384427916e-09
1921,3.0290989716519334e-09
1922,4.426761179843197e-09
1923,1.5923921736771263e-08
1924,1.0313299547703991e-08
1925,1.9796720707176974e-08
1926,8.916910765321973e-09
1927,1.7838759802657478e-08
1928,9.14083297942625e-09
1929,1.3368487650211591e-08
1930,9.453243521306831e-09
1931,4.5621426636444085e-09
1932,4.383814644626227e-09
1933,6.882397318719313e-09
1934,2.3963160344919743e-09
1935,1.3165112555668657e-08
1936,4.849885826274658e-09
1937,8.813782592653752e-09
1938,9.075650453382877e-09
1939,1.3764645423464117e-08
1940,0.0
1941,5.9030051957620344e-09
1942,9.102635090130207e-09
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,1.742803235060819e-08
1946,1.3921104269343232e-08
1947,3.5762612871081956e-09
1948,3.2615663503321457e-09
1949,2.945102384188658e-09
1950,3.190608444114673e-09
1951,1.1727541604500402e-08
1952,1.0544804140977249e-08
1953,6.464296653518886e-09
1954,1.6613311615287785e-08
1955,9.385607846468247e-09
1956,7.849027205963921e-09
1957,7.068030161150318e-09
1958,1.0753916868111446e-08
1959,9.300897829689347e-09
1960,8.305000243069571e-09
1961,4.86371165564492e-09
1962,1.6489087428794846e-08
1963,6.466053470433053e-09
1964,7.909158661334459e-09
1965,1.094408652591028e-08
1966,8.862519607077957e-09
1967,8.874604162656397e-09
1968,4.940557296606585e-09
1969,6.8126366770115965e-09
1970,2.2993624781975086e-09
1971,6.166076982339064e-09
1972,1.0260293947794707e-08
1973,5.513203671370093e-09
1974,6.750686232237513e-09
1975,6.8537762132336866e-09
1976,3.9994687561772935e-09
1977,5.289103821581875e-09
1978,7.128709622605811e-09
1979,7.022368020415115e-09
1980,5.6851505725319385e-09
1981,1.138598904049104e-08
1982,4.345251713999687e-09
1983,3.157658134966823e-09
1984,8.118611560803402e-09
1985,5.414002135495366e-09
1986,6.593933843390687e-09
1987,7.332980445085013e-09
1988,2.99827696004229e-09
1989,7.134558721588746e-09
1990,7.628111475810329e-09
1991,5.2753188484189195e-09
1992,3.856960972825618e-09
1993,1.0524494165053966e-08
1994,5.274926717646622e-09
1995,5.4224509327127635e-09
1996,2.135236876199542e-09
1997,3.3564262480467733e-09
1998,4.291316191284977e-09
1999,6.8553016596695215e-09
2000,3.092622158362701e-09
2001,5.257454027685071e-09
2002,2.1906108038649563e-09
2003,6.250384210204629e-09
2004,4.845270407116686e-09
2005,8.557123898356167e-09
2006,6.58862386870851e-09
2007,5.592271090648637e-09
2008,1.0217855006544596e-08
2009,6.675469510497578e-09
2010,1.0864724231396394e-08
2011,1.5678285336662157e-08
2012,2.3489343803362317e-08
