year,pouvons_VERB appliquer_VERB
1904,5.2671325079245435e-08
1905,9.031328573883002e-08
1906,7.767718557261105e-08
1907,7.405694191220391e-08
1908,7.710880822742183e-08
1909,7.97642627503592e-08
1910,9.512588405868883e-08
1911,9.576673676292558e-08
1912,7.136907242966117e-08
1913,5.674198888527826e-08
1914,1.0446920128970305e-07
1915,4.2410743361642744e-08
1916,5.16410700868164e-08
1917,4.605898240583883e-08
1918,5.743188324913717e-08
1919,4.6960025201769895e-08
1920,1.1434070046334455e-07
1921,6.739745117556595e-08
1922,8.779743154718744e-08
1923,6.794206797167135e-08
1924,8.379555538340355e-08
1925,6.708888378170741e-08
1926,8.248142790989732e-08
1927,6.355057990958812e-08
1928,8.455270261720216e-08
1929,7.464072382390441e-08
1930,9.978423065604147e-08
1931,7.983749839013399e-08
1932,8.110057336807586e-08
1933,7.685343916818965e-08
1934,8.74655370353139e-08
1935,7.659701850570855e-08
1936,6.062357016389797e-08
1937,7.680581859403901e-08
1938,5.4453899167583586e-08
1939,7.952905889396789e-08
1940,7.86092684279538e-08
1941,6.198155233505531e-08
1942,1.365395263519531e-07
1943,3.4838823381733164e-08
1944,1.381670102773569e-07
1945,1.1981772729541262e-07
1946,9.883984120051537e-08
1947,1.3232167361820757e-07
1948,7.066726936955092e-08
1949,6.871906066407973e-08
1950,8.189228140054183e-08
1951,8.742349422163898e-08
1952,9.91211592804575e-08
1953,6.464296120611834e-08
1954,7.720303329961098e-08
1955,1.023031259705931e-07
1956,7.674604773910687e-08
1957,7.774833221674271e-08
1958,5.873292963087806e-08
1959,7.285702707804376e-08
1960,6.297958066170395e-08
1961,8.198828282957038e-08
1962,7.9908652139693e-08
1963,6.660035012373555e-08
1964,6.509846173230471e-08
1965,7.168376470190196e-08
1966,6.425326404269072e-08
1967,7.789930123180966e-08
1968,6.602381574793981e-08
1969,5.995120488933026e-08
1970,6.714138578445272e-08
1971,4.1107178105903586e-08
1972,6.566587984480066e-08
1973,5.954260018370405e-08
1974,5.5693160305736455e-08
1975,4.16938057412608e-08
1976,5.5421210731765314e-08
1977,6.758298809472763e-08
1978,4.158414057542359e-08
1979,4.096381189810927e-08
1980,6.253665674194053e-08
1981,5.123695245856652e-08
1982,4.2831764801576355e-08
1983,4.4207212113178684e-08
1984,3.653375202361531e-08
1985,3.609334697785016e-08
1986,3.476801424540099e-08
1987,3.727598141267663e-08
1988,4.797243136067664e-08
1989,4.225854155492925e-08
1990,4.140974851907231e-08
1991,2.7548885839223658e-08
1992,2.920270425477156e-08
1993,2.9357799746776436e-08
1994,3.3759530282395644e-08
1995,4.175286960617086e-08
1996,2.829188794351012e-08
1997,3.116681313031222e-08
1998,2.765514928171342e-08
1999,3.381948943115276e-08
2000,2.2973763336153752e-08
2001,5.2136421402337874e-08
2002,4.205972459203622e-08
2003,3.83356919542166e-08
2004,4.845270495934528e-08
2005,3.693074646093919e-08
2006,5.7650460405511694e-08
2007,4.433872291542684e-08
2008,2.8524846484856425e-08
2009,5.3403756083980625e-08
2010,5.1016964874861515e-08
2011,4.3593281873199885e-08
2012,3.574465523570325e-08
2013,3.5421887645270544e-08
2014,3.5080212512639264e-08
2015,4.1893276403470736e-08
2016,3.790552227656008e-08
2017,3.421231298261773e-08
2018,4.078717452671299e-08
2019,3.21424451499297e-08
