year,quelques_DET ondes_NOUN,quelques_DET rondes_NOUN
1800,5.973912209356058e-08,0.0
1801,2.6193008650921e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,6.241085515057421e-08,0.0
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,5.187004603612877e-08,0.0
1807,2.8469551160981155e-09,1.4234775136401367e-08
1808,1.1330369531492579e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,0.0,7.020380277111826e-09
1811,1.2535384286138651e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,5.034683425719777e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,5.3304887615013286e-08,6.952811659743929e-09
1817,7.005930058312515e-08,0.0
1818,2.026600220972341e-08,4.768470951432846e-09
1819,4.140419918030602e-08,5.175525008560555e-09
1820,2.1359666035891678e-08,2.1359666035891678e-08
1821,2.9584464655840748e-08,5.9168927535324656e-09
1822,1.7043547018147365e-08,3.0076847679083585e-09
1823,1.976537300496517e-08,4.941343334508019e-09
1824,4.210556348027694e-09,3.031600659397782e-08
1825,7.044354433105582e-09,0.0
1826,5.284790383086602e-09,1.7615968683770689e-09
1827,1.935627302884768e-08,0.0
1828,2.935136400594729e-08,4.586150570418113e-09
1829,9.430493719264632e-09,6.858540846366168e-09
1830,1.1480519646056564e-08,3.1310507520032616e-09
1831,1.7150327380477393e-08,1.5591206103948707e-09
1832,2.0294953273491956e-08,2.705993873419743e-09
1833,3.01174338801502e-08,0.0
1834,8.401078055442213e-09,1.120143711119681e-08
1835,2.193295500774184e-08,7.563087933704082e-10
1836,8.736974699274924e-09,1.008112526790228e-08
1837,1.3915782304252389e-08,2.0873671680021744e-09
1838,7.574594285131298e-09,8.837027110075724e-09
1839,2.516931019158619e-08,2.7965901816529026e-09
1840,8.280594876453051e-09,1.2739377330817092e-09
1841,1.0914932513372833e-08,4.494383976094696e-09
1842,4.024959032733477e-09,6.708265054555795e-10
1843,5.31621990873532e-09,5.906911182407271e-09
1844,1.1525978393933656e-08,2.195424508855126e-09
1845,2.2320911785556063e-09,2.2320911785556063e-09
1846,6.439951683034906e-09,2.3418005312692003e-09
1847,5.393223645455691e-10,4.853901280910122e-09
1848,9.65426583121598e-09,8.84974404868899e-09
1849,0.0,2.513824481908955e-09
1850,1.2220192857625989e-08,0.0
1851,3.2247193804124663e-09,8.384270167027807e-09
1852,1.3021090872200602e-09,6.510545436100301e-09
1853,5.971931837933653e-09,5.971931837933653e-10
1854,1.506742641765868e-08,7.27393034694046e-09
1855,9.021793090369101e-09,2.653468555990912e-09
1856,3.1063134287023786e-09,8.801221973442352e-09
1857,4.393358121745905e-09,5.857811125054013e-09
1858,4.893676019968041e-10,7.34051397444091e-09
1859,9.675129142294736e-09,7.638259802433822e-09
1860,2.288591982591015e-09,1.373155145145688e-09
1861,8.017138064531082e-09,0.0
1862,4.066187719864445e-09,4.9697850279528666e-09
1863,2.4973103585068657e-09,7.491931519609807e-09
1864,1.9178911792039344e-09,4.794727948009836e-10
1865,5.177528628053096e-09,1.4120533631256649e-09
1866,4.865612801552288e-09,4.865612801552288e-09
1867,9.7056229719783e-10,1.94112459439566e-09
1868,6.421836395986702e-09,5.433861360870651e-09
1869,5.860222973552709e-09,4.395167341186834e-09
1870,1.1468097582678638e-09,4.587239033071455e-09
1871,0.0,3.18635318130589e-09
1872,6.047339295989218e-09,3.0236697590169115e-09
1873,4.1902030178953e-09,1.1972009161809183e-08
1874,1.7923827755339516e-08,1.792382742227261e-09
1875,4.577221712764867e-09,9.154443425529735e-09
1876,4.836811839936672e-09,1.0278225381910033e-08
1877,1.608052180301911e-08,2.4739263970730008e-09
1878,1.2078177347163432e-09,3.019544281279707e-09
1879,6.720257683667796e-09,4.887460214320072e-09
1880,1.2835692508872398e-09,6.417846254436199e-09
1881,1.3945015142624584e-09,3.4862537301449947e-09
1882,9.983077253750139e-09,3.3276925659464496e-09
1883,5.0554711528150165e-09,1.3902545781263598e-08
1884,3.9610181801208455e-09,1.3203393933736152e-09
1885,1.2891271383708158e-09,5.156508553483263e-09
1886,3.872078213618124e-09,1.936039106809062e-09
1887,1.9586774424595887e-09,2.6115698492645834e-09
1888,1.9021844099853524e-09,2.53624587998047e-09
1889,6.891650528029203e-09,3.759081934617825e-09
1890,4.5880703680722945e-09,0.0
1891,7.0116419337296065e-09,3.824531802365527e-09
1892,3.1342561879199593e-09,3.1342561879199593e-09
1893,5.173069800301633e-08,0.0
1894,1.0082462864602348e-08,2.520615716150587e-09
1895,1.2037228769301578e-08,4.213029924926559e-09
1896,5.897029087265082e-09,1.1204354777305525e-08
1897,4.661370844871726e-09,5.2440420894583895e-09
1898,1.6975064687230201e-09,2.8291773368493978e-09
1899,0.0,3.3165470370022376e-09
1900,1.8168686111152965e-08,5.1910532539167775e-09
1901,6.706486921359556e-09,1.1177477832191585e-09
1902,5.4013122863239005e-09,9.820567692386817e-10
1903,1.0800440541913758e-09,3.7801539676252105e-09
1904,1.0749250378694342e-08,6.449550227216605e-09
1905,3.096455536422127e-09,1.0321518084666081e-09
1906,6.6874399351490865e-09,1.5432553013283723e-09
1907,1.0285686968813934e-08,3.599990305858114e-09
1908,8.840499887696751e-09,9.822778146428846e-10
1909,4.400786846048277e-09,6.601180380094718e-09
1910,9.085056262847502e-09,8.016226016316352e-09
1911,1.4897047595496815e-08,1.0640748615564632e-08
1912,1.3023552902780011e-08,2.6047106693738442e-09
1913,9.545381596254288e-09,2.6514948570088848e-09
1914,5.357394972094198e-09,1.3393487430235496e-09
1915,1.1780762143587253e-08,0.0
1916,1.0987462051303964e-09,0.0
1917,1.4256351654751143e-08,2.1932848870420685e-09
1918,1.033773866510046e-08,3.44591288836682e-09
1919,1.2890987832747669e-08,4.603924352863942e-09
1920,7.572231730534895e-09,5.300562211374427e-09
1921,9.087297137000405e-09,1.5145494858259667e-09
1922,1.0329110011753073e-08,1.4755870969551665e-09
1923,1.0615948120573648e-08,8.492758496458919e-09
1924,7.734974438733389e-09,9.02413699321869e-09
1925,1.2097995494286806e-08,8.798542339150117e-09
1926,1.2260752413340015e-08,2.229227691330493e-09
1927,5.574612327308159e-09,2.2298449753321847e-09
1928,7.998228745975666e-09,0.0
1929,1.0026365515614089e-08,4.4561625500705304e-09
1930,8.402882833991043e-09,6.302162347537887e-09
1931,1.3686427990933225e-08,3.4216069977333063e-09
1932,1.8631212572728373e-08,1.0959536611565568e-09
1933,4.244145057619164e-08,1.1470662197865522e-09
1934,3.354842448288764e-08,1.1981580172459871e-09
1935,7.180970484910176e-09,0.0
1936,3.031178685830582e-08,7.274828739411987e-09
1937,3.147779614742774e-08,1.2591118148108649e-09
1938,2.463390735840676e-08,2.5930428915188486e-09
1939,1.6823456405745674e-08,6.117620188206274e-09
1940,3.296517903095264e-08,7.607348528892999e-09
1941,2.9515025534720962e-08,1.4757512545315876e-08
1942,1.517105863158008e-08,3.034211770724937e-09
1943,2.6129116648121453e-08,5.806470415592457e-09
1944,3.2131861615880553e-09,3.2131861615880553e-09
1945,1.742803235060819e-08,0.0
1946,9.744772988540262e-09,4.1763312808029696e-09
1947,1.5497132244135514e-08,3.337843779149807e-08
1948,1.1959077061973744e-08,8.697510267552389e-09
1949,1.3743811200228606e-08,2.945102384188658e-09
1950,1.808011518278363e-08,2.1270722960764488e-09
1951,2.1322804077961166e-08,1.1727541604500402e-08
1952,2.530752918339374e-08,2.1089607837865287e-09
1953,1.723812381726475e-08,2.1547654771580937e-09
1954,1.563605755983133e-08,8.795282724349818e-09
1955,3.660386926895853e-08,1.220129064449793e-08
1956,2.703553825256222e-08,5.232684952005684e-09
1957,7.068030161150318e-09,3.534015080575159e-09
1958,5.128790869779465e-08,3.3088973783179654e-09
1959,2.1702093455644444e-08,3.8753737996444215e-09
1960,1.2457500420115508e-08,0.0
