year,vos_DET arts_NOUN,vos_DET rares_ADJ
1800,2.6096566330124915e-07,3.772997558826319e-08
1801,6.90542969472574e-08,2.42880620504593e-07
1802,1.0070280609397742e-07,5.147032311469957e-08
1803,8.971560561121805e-08,6.826187259889593e-08
1804,7.415552971679062e-08,1.038177401824214e-07
1805,8.24434565060983e-08,4.264316544322355e-08
1806,5.763338073450086e-08,4.3225035106786436e-08
1807,4.839823830593559e-08,1.0533733751927343e-07
1808,1.4729481279118772e-07,3.3991109482656157e-08
1809,7.454800510231507e-08,7.680704072754452e-08
1810,2.106114038724627e-08,8.424456154898508e-08
1811,3.7606150637969904e-08,1.7549536490690798e-08
1812,2.6672082320544632e-09,5.3344164197000055e-08
1813,6.901780125190271e-08,1.0640243885973177e-07
1814,3.776012391654149e-08,8.181360611203559e-08
1815,8.091670622434322e-08,1.0788894400093341e-07
1816,2.7811246638975717e-08,4.8669683394564345e-08
1817,1.0586739129792022e-07,1.5413047416146242e-07
1818,4.768470773797162e-08,1.192117764503564e-07
1819,6.624672188593195e-08,4.864993385922389e-08
1820,1.1985146208814967e-07,2.9784866573123736e-07
1821,7.987805772380341e-08,9.861488492468595e-08
1822,5.413832582235045e-08,6.316138012607553e-08
1823,5.0401702367253165e-08,5.0401702367253165e-08
1824,6.400045649002095e-08,1.3136936516389142e-07
1825,1.0742640288441407e-07,5.8115923406987235e-08
1826,7.927185663447744e-08,5.460950347480065e-08
1827,4.424290933613406e-08,3.9634273363287065e-08
1828,3.118582486694166e-08,9.080577934028611e-08
1829,1.971830476676928e-08,3.686465693819585e-08
1830,4.5922078140137046e-08,6.783943584665053e-08
1831,5.4569221807909685e-08,6.548306519249536e-08
1832,5.547287351692631e-08,7.170883931095773e-08
1833,7.297686277496496e-08,7.876867158529421e-08
1834,5.694063798244997e-08,8.027696574153254e-08
1835,3.554651328840919e-08,4.4622218808854086e-08
1836,1.9490175695580092e-08,6.720749889943534e-08
1837,3.5485244076483013e-08,7.723258632630348e-08
1838,2.3354998823776896e-08,3.3454459202886255e-08
1839,2.0974424863595686e-08,4.194885150354821e-08
1840,2.5478755105723394e-08,4.522478969093413e-08
1841,2.8892468417751616e-08,2.632424944692957e-08
1842,3.5553803456878086e-08,4.427454936006825e-08
1843,2.7171791094904307e-08,5.611565390140072e-08
1844,1.9758821467874554e-08,2.5247381074677833e-08
1845,1.3392547515422848e-08,4.4083801165051284e-08
1846,5.034871253251083e-08,3.395610836953722e-08
1847,3.5055954583640414e-08,1.6718993300912643e-08
1848,1.3676876908785829e-08,2.976732055293141e-08
1849,4.524883934209356e-08,7.54147322368226e-08
1850,2.647708541303473e-08,2.308258650884909e-08
1851,2.4507866847045534e-08,5.5465172454916e-08
1852,2.929745379631754e-08,4.427170896548205e-08
1853,2.388772823991303e-08,6.927440998616419e-08
1854,1.4028293915391288e-08,5.299577932049715e-08
1855,3.343370380548549e-08,4.8823821430232783e-08
1856,3.675804194358534e-08,4.6594702096669494e-08
1857,2.440754554022817e-08,4.588618573997394e-08
1858,3.327699604760426e-08,5.970284699952089e-08
1859,3.6154431004575827e-08,2.9534606094117066e-08
1860,2.0139608647440355e-08,6.957319892419989e-08
1861,2.5937799741360124e-08,4.197207559286653e-08
1862,3.298130135664934e-08,9.48777132414591e-08
1863,2.547256655605068e-08,4.944674769635782e-08
1864,3.164520590015485e-08,5.657779089673909e-08
1865,3.718407193264994e-08,5.17752880568878e-08
1866,1.751620670731313e-08,3.600553455385125e-08
1867,1.5043715606566366e-08,3.930777303651212e-08
1868,2.3217407663089773e-08,3.704905571222383e-08
1869,2.6859355184427613e-08,7.081103015060819e-08
1870,1.204150246181257e-08,4.587239166298218e-08
1871,6.37270636261178e-09,3.080141297573391e-08
1872,1.2699412965666568e-08,3.205089882385437e-08
1873,2.1549615758509333e-08,5.8064241581501363e-08
1874,7.169530746864439e-09,4.0029882686365426e-08
1875,1.8308887461682133e-08,3.661777253638476e-08
1876,1.6928841217733748e-08,4.17175023414984e-08
1877,2.9068634388451642e-08,5.00970109840182e-08
1878,9.058632899350272e-09,9.119023824943895e-08
1879,1.4051448560259416e-08,2.3826368211743443e-08
1880,1.5402831010646878e-08,3.6581725426643175e-08
1881,6.9725074602899895e-09,7.321132727833302e-08
1882,6.655384909848294e-09,8.186123934272871e-08
1883,1.5798347796636136e-08,6.635305993540896e-08
1884,1.0562715146988921e-08,3.762967182296961e-08
1885,1.5469526104539e-08,3.867381437316908e-08
1886,1.0325542199041138e-08,3.291266637006629e-08
1887,6.528924512139156e-09,4.0479331886444925e-08
1888,5.706553229956057e-09,3.1703073499755874e-08
1889,7.518164035769104e-09,3.759081934617825e-08
1890,1.1797895993481688e-08,2.8839300725280737e-08
1891,1.3385862196457765e-08,3.059625619528106e-08
1892,1.9432388143059143e-08,3.322311648012999e-08
1893,9.853466487186324e-09,2.278614097406262e-08
1894,8.192000855444803e-09,3.717908314548879e-08
1895,1.3240952334570011e-08,2.467631965430428e-08
1896,1.0614652268259306e-08,3.3613066108273415e-08
1897,2.0393496669157685e-08,1.9228154068962056e-08
1898,6.7900258748920805e-09,2.7725938989142662e-08
1899,3.8693048765026106e-09,1.6029977345510815e-08
1900,9.34389543516545e-09,1.245852754294674e-08
