year,veux_VERB aller_VERB
1800,2.5153315164061496e-07
1801,2.333558910549982e-07
1802,3.312003400424146e-07
1803,2.7694815685208596e-07
1804,2.2493843232496147e-07
1805,1.847870549909203e-07
1806,2.1036184705280903e-07
1807,1.9643989901396708e-07
1808,2.787271000670444e-07
1809,1.400598961254218e-07
1810,2.3635280399503245e-07
1811,1.930449116116506e-07
1812,2.6138641828765685e-07
1813,1.6679301495514665e-07
1814,1.9194730782601255e-07
1815,2.2926400333744823e-07
1816,2.456660013194778e-07
1817,2.3041727104100573e-07
1818,1.8358613829150272e-07
1819,1.4698491668241331e-07
1820,3.5124784858453495e-07
1821,4.3094703983115323e-07
1822,3.2884020129131386e-07
1823,3.913544048828044e-07
1824,2.1642259184773138e-07
1825,3.4341226751166687e-07
1826,1.6382850276386307e-07
1827,2.2582318592867523e-07
1828,2.595761259271967e-07
1829,3.189221615684801e-07
1830,2.671829975042783e-07
1831,2.6660961793822935e-07
1832,2.665403826540569e-07
1833,2.9769924481115595e-07
1834,4.0605209505883977e-07
1835,3.9706210941403697e-07
1836,3.4813484717233223e-07
1837,2.9988510164002946e-07
1838,2.449118881031609e-07
1839,3.495737530556653e-07
1840,2.477808891399036e-07
1841,2.2985564385180624e-07
1842,3.676129267660144e-07
1843,2.634482427765761e-07
1844,2.683906359379762e-07
1845,3.353717090703867e-07
1846,3.0326316391438013e-07
1847,2.2651539666185272e-07
1848,2.7756016152125085e-07
1849,2.5138245973721496e-07
1850,2.1589006848898862e-07
1851,2.579775468802836e-07
1852,2.3633279511159344e-07
1853,2.9143026836209174e-07
1854,2.545875474879722e-07
1855,3.789153026900749e-07
1856,3.0545416507266054e-07
1857,2.841038337919599e-07
1858,3.2836567243066384e-07
1859,3.834406641090027e-07
1860,3.510700139486289e-07
1861,3.593564485981915e-07
1862,3.492403379823372e-07
1863,3.366374414781603e-07
1864,3.5289198763166496e-07
1865,2.875881932595803e-07
1866,2.719877727486164e-07
1867,2.7418386139288486e-07
1868,2.8503072257990425e-07
1869,3.052199417652446e-07
1870,2.9186307415329793e-07
1871,1.9436754428170389e-07
1872,2.854344245406537e-07
1873,2.1908776659529394e-07
1874,2.5810311399254715e-07
1875,2.6776746153700515e-07
1876,2.8658109840762336e-07
1877,2.628546837968315e-07
1878,2.3854400410527887e-07
1879,2.3765275614096026e-07
1880,2.387438939877029e-07
1881,3.242215882437449e-07
1882,2.948335691144166e-07
1883,2.401348808689363e-07
1884,2.2181701808676735e-07
1885,2.636265037381236e-07
1886,2.5103975076490315e-07
1887,2.1023137719566876e-07
1888,2.694761178645422e-07
1889,1.854480444762885e-07
1890,2.110512440367529e-07
1891,1.9568855691431963e-07
1892,2.33815512729052e-07
1893,1.866000189920669e-07
1894,2.312664975079315e-07
1895,1.7935471419150417e-07
1896,2.2349739481342112e-07
1897,2.0743100037634576e-07
1898,2.1162247776373988e-07
1899,2.498465505595959e-07
1900,1.9777912996232772e-07
1901,2.0287122026729776e-07
1902,1.870818095994764e-07
1903,1.976480632492894e-07
1904,1.7091308279759687e-07
1905,1.6617643439076346e-07
1906,2.0010877221920964e-07
1907,2.324565144817825e-07
1908,1.8712393057285226e-07
1909,2.040864899299777e-07
1910,2.014744779899047e-07
1911,2.0004607392820617e-07
1912,2.333820674493836e-07
1913,1.96210621083992e-07
1914,1.6072185360371805e-07
1915,2.1912217107455945e-07
1916,2.219467347686077e-07
1917,2.1603855770990776e-07
1918,2.7682168024512066e-07
1919,2.3019620698505605e-07
1920,2.347391898638307e-07
1921,2.05221454052662e-07
1922,2.397829064193502e-07
1923,2.8769218829438614e-07
1924,2.5267584646826435e-07
1925,3.07948994304752e-07
1926,2.9648728627762466e-07
1927,2.6535155939200195e-07
1928,2.296634278309284e-07
1929,2.9633480380653054e-07
1930,2.4473396820212656e-07
1931,2.1556124352173356e-07
1932,2.191907384485603e-07
1933,1.9729539246782224e-07
1934,2.3124449910483236e-07
1935,2.1303546304807242e-07
1936,2.0854508875345346e-07
1937,1.9390321881473938e-07
1938,2.0485039442519337e-07
1939,1.819991979346014e-07
1940,1.4453962648985907e-07
1941,1.8594465700516594e-07
1942,1.9115533689273434e-07
1943,2.5838792794274923e-07
1944,2.602680808649893e-07
1945,2.7884851760973106e-07
1946,2.6450098289387824e-07
1947,2.956375908524933e-07
1948,2.2613527050907578e-07
1949,2.091022821559818e-07
1950,2.456768584124802e-07
1951,2.6866732127928117e-07
1952,2.393670399669645e-07
1953,2.0362533348361467e-07
1954,2.7460825435809966e-07
1955,1.999134440211492e-07
1956,2.625063757477619e-07
1957,2.1734192046096723e-07
1958,2.2996836435140722e-07
1959,2.131455687504058e-07
1960,2.0970125547137286e-07
