year,voulais_VERB entrer_VERB,voulais_VERB rentrer_VERB
1800,6.288328968651058e-09,3.144164484325529e-09
1801,3.095537337571841e-08,0.0
1802,4.475680270843441e-09,0.0
1803,1.950339267864365e-08,1.950339223455444e-09
1804,6.673997887673977e-08,2.7190360185613827e-08
1805,8.528632911009026e-09,5.685755422035754e-09
1806,8.645007376628655e-09,0.0
1807,6.832692633906845e-08,2.8469551160981155e-09
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,2.4849335034105025e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,1.0028307073639553e-08,2.5070767684098882e-09
1812,1.600324850414836e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,3.506390555685357e-08,0.0
1816,1.622322720606917e-08,1.1588019432906549e-08
1817,2.0239355080775567e-08,1.0898113522728181e-08
1818,2.026600220972341e-08,2.384235475716423e-09
1819,2.173720581311045e-08,1.035105001712111e-09
1820,4.50926265216367e-08,0.0
1821,7.494730880353018e-08,0.0
1822,5.81485721795616e-08,2.0051231786055723e-09
1823,4.743689885344793e-08,2.9648061783404955e-09
1824,2.4421225930382207e-08,5.052667617633233e-09
1825,3.610231757988913e-08,0.0
1826,3.8755132436563144e-08,2.642395191543301e-09
1827,2.3964910056406552e-08,0.0
1828,2.7516904310687096e-08,1.7427371545863934e-08
1829,2.743416338546467e-08,9.430493719264632e-09
1830,4.383471008395645e-08,9.39315203396518e-09
1831,5.9246584527272717e-08,1.5591206103948707e-09
1832,6.900284432731496e-08,2.705993873419743e-09
1833,7.992703388026712e-08,1.6217079235048004e-08
1834,4.387229424196448e-08,9.334530925997342e-10
1835,5.142899794918776e-08,3.781543966852041e-09
1836,4.368487438455304e-08,4.032449929525228e-09
1837,3.896418832027848e-08,6.957891152126194e-09
1838,5.491580878924651e-08,3.1560809521380406e-09
1839,3.775396706373613e-08,9.088918062616358e-09
1840,4.713569623504554e-08,5.095750932326837e-09
1841,5.778493772368165e-08,4.494383976094696e-09
1842,3.085801836277824e-08,7.379091560011375e-09
1843,3.307870244384503e-08,5.906910960362666e-09
1844,3.787107161201675e-08,4.390849017710252e-09
1845,1.1160455670733427e-08,6.138250796539069e-09
1846,2.4588905134237393e-08,1.2879903366069811e-08
1847,2.588747349818732e-08,5.3932236454556914e-09
1848,3.781254065415851e-08,4.82713291560799e-09
1849,5.111443002192573e-08,1.6758828991214614e-08
1850,4.480737203493845e-08,2.1045888587423178e-08
1851,2.96674187438839e-08,1.9348316282474798e-09
1852,4.036538214791108e-08,7.812654523320361e-09
1853,4.598387448595531e-08,4.777545470346922e-09
1854,4.2084881357595805e-08,1.0910895298366086e-08
1855,2.600399184871094e-08,1.1675261646360013e-08
1856,5.2807330064297275e-08,2.0708756931497874e-09
1857,4.246912865824015e-08,4.393358121745905e-09
1858,3.1808895073481835e-08,4.404308473482388e-09
1859,2.2405561850291633e-08,5.601390462572908e-09
1860,3.249800428761773e-08,6.865775947773045e-09
1861,6.177912581506462e-08,3.3011746669586728e-09
1862,1.7168348520613108e-08,2.1234535907410645e-08
1863,3.845858032036631e-08,1.897955925755923e-08
1864,2.9727313943794798e-08,2.2535221688713136e-08
1865,4.330296832222302e-08,5.177528628053096e-09
1866,4.135770836910524e-08,9.244664589402873e-09
1867,3.6396087921275466e-08,1.0190904120577216e-08
1868,3.803702952609456e-08,4.44588676984381e-09
1869,4.102156125895817e-08,3.4184632902167778e-09
1870,2.6376625328339287e-08,2.2936195165357276e-09
1871,3.9298356568906456e-08,1.4869648623516696e-08
1872,3.9912439575573444e-08,5.442605477412599e-09
1873,2.5141218884527916e-08,7.781805422268917e-09
1874,3.823749850084823e-08,1.9716210886144836e-08
1875,2.574687130163511e-08,6.865832347102696e-09
1876,2.7811667635546655e-08,3.627608879952504e-09
1877,3.401648740464225e-08,3.0924081073635534e-09
1878,2.1740719446938783e-08,6.6429977074733415e-09
1879,4.032154521382836e-08,3.0546627449723474e-09
1880,4.043243251317108e-08,5.776061406947974e-09
1881,6.83305714233029e-08,6.9725074602899895e-09
1882,4.059785041476971e-08,7.320923423037584e-09
1883,3.6652167523243406e-08,9.479008689083912e-09
1884,1.8484751507230612e-08,2.6406787867472303e-09
1885,1.933690718658454e-08,4.511945039809007e-09
1886,2.6459201052375647e-08,1.2906927748801422e-09
1887,3.9173546184656516e-08,9.793386546164129e-09
1888,2.8532765483646472e-08,8.242799331981132e-09
1889,3.57112810434046e-08,5.012109394186837e-09
1890,3.342736931699619e-08,5.243509182406569e-09
1891,1.784781566982474e-08,2.5496880162734215e-09
1892,2.7581453565517222e-08,2.5074049503359674e-09
1893,2.0322774574310642e-08,1.2316833108982905e-09
1894,2.142523314319078e-08,1.2603078580752936e-09
1895,4.5741469278937075e-08,9.027921521465032e-09
1896,3.3613066108273415e-08,1.2973464080801023e-08
1897,2.5637540090883704e-08,1.3401440845939305e-08
1898,2.4330926606808134e-08,8.487532454637403e-09
1899,2.984892333302014e-08,9.39688327150634e-09
1900,2.7512582434496835e-08,2.595526460424935e-09
1901,1.900171220370339e-08,4.470991132876634e-09
1902,1.5712908307818907e-08,3.437198747846537e-09
1903,2.592105730059302e-08,2.1600881083827517e-09
1904,1.3436562973367927e-08,5.374625189347171e-09
1905,2.6835946798087207e-08,6.192911072844254e-09
1906,2.572092228092515e-08,2.572092316910357e-09
1907,2.1599941391059474e-08,9.257117739025489e-09
1908,2.8486056180554442e-08,5.893666887857307e-09
1909,2.2554033307642385e-08,5.5009836685826485e-09
1910,2.7255168788542505e-08,2.67207544979442e-09
1911,2.8730021028877673e-08,7.448523575703803e-09
1912,1.5628263128064646e-08,1.3023552902780011e-08
1913,1.1666577037772186e-08,1.590896969716482e-09
1914,1.875088173619588e-08,4.018046340092951e-09
1915,7.068456930880984e-09,5.890381071793627e-09
1916,1.538244731591476e-08,1.538244731591476e-08
1917,7.676496771580332e-09,1.7546279096336548e-08
1918,1.9526840588923733e-08,9.189101035644853e-09
1919,1.8415697411455767e-08,1.9336480860943084e-08
1920,1.0601124422748853e-08,8.329454459499175e-09
1921,1.741731914250977e-08,9.087297137000405e-09
1922,1.8444838545406128e-08,5.164555005876537e-09
1923,1.5923921736771263e-08,4.246379248229459e-09
1924,1.804827398643738e-08,1.804827398643738e-08
1925,6.598906754362588e-09,3.299453377181294e-09
1926,2.1177662290483568e-08,3.343841648018042e-09
1927,3.6792442870137165e-08,6.689535148041159e-09
1928,2.2852082892654835e-08,2.2852082448565625e-09
1929,2.2280811862174232e-08,6.684243825105796e-09
