year,devons_VERB ajouter_VERB,devons_VERB rajouter_VERB
1800,3.018398047061055e-07,0.0
1801,3.714644947194756e-07,0.0
1802,4.87849149521935e-07,0.0
1803,3.5496174177751527e-07,0.0
1804,2.8920655381625693e-07,0.0
1805,2.4733034820201283e-07,0.0
1806,2.4494187300660997e-07,0.0
1807,4.925232133246027e-07,0.0
1808,3.603057621148764e-07,0.0
1809,5.060228431830183e-07,2.259030518203531e-09
1810,7.324596822400053e-07,0.0
1811,3.986252181675809e-07,0.0
1812,6.561332384080742e-07,0.0
1813,5.751483058702433e-07,0.0
1814,4.310947758767725e-07,0.0
1815,4.126752060074068e-07,0.0
1816,2.8738287483065506e-07,0.0
1817,4.468226677545317e-07,0.0
1818,3.2544815553592343e-07,0.0
1819,3.7056759083498036e-07,0.0
1820,4.461796834220877e-07,0.0
1821,3.6586121154869033e-07,0.0
1822,4.000220883426664e-07,0.0
1823,4.111197711154091e-07,0.0
1824,5.111615450914542e-07,0.0
1825,5.600261943072837e-07,0.0
1826,7.337051215472457e-07,0.0
1827,7.622684847774508e-07,0.0
1828,8.88795966602629e-07,0.0
1829,1.0364969966758508e-06,0.0
1830,9.727131100589759e-07,0.0
1831,7.093998988239036e-07,0.0
1832,7.482072987841093e-07,0.0
1833,8.131707431857649e-07,0.0
1834,7.92501680280111e-07,0.0
1835,8.311833425977966e-07,0.0
1836,8.891552170098294e-07,0.0
1837,9.539268148728297e-07,0.0
1838,9.865908623396535e-07,0.0
1839,8.403753213315213e-07,0.0
1840,9.815689736569766e-07,0.0
1841,1.1434997304604622e-06,0.0
1842,1.0498434903638554e-06,0.0
1843,1.1294014257146046e-06,0.0
1844,1.1125313221782562e-06,0.0
1845,1.0903764859904186e-06,0.0
1846,1.2019290807074867e-06,0.0
1847,9.90195871963806e-07,0.0
1848,1.1166767990289372e-06,0.0
1849,1.3256234296932234e-06,0.0
1850,1.1147531040478498e-06,6.788996032014438e-10
1851,1.5265821957655135e-06,0.0
1852,1.067729499482084e-06,0.0
1853,1.143027702710242e-06,0.0
1854,1.0838156185855041e-06,0.0
1855,1.007787318485498e-06,0.0
1856,1.2026611102555762e-06,0.0
1857,1.1403204780435772e-06,0.0
1858,1.2033549410261912e-06,0.0
1859,1.073939415618952e-06,0.0
1860,1.2019685300401761e-06,0.0
1861,1.022892547553056e-06,0.0
1862,1.1841641480714316e-06,0.0
1863,1.122790763474768e-06,0.0
1864,1.0888827546295943e-06,0.0
1865,1.1056376933993306e-06,0.0
1866,1.014480289995845e-06,0.0
1867,1.1064410045946715e-06,0.0
1868,1.2754754834531923e-06,0.0
1869,1.0812111668201396e-06,0.0
1870,1.2007097893729224e-06,0.0
1871,1.2341807860138942e-06,0.0
1872,1.182254777631897e-06,0.0
1873,1.1750527164622326e-06,0.0
1874,1.2295745364099275e-06,0.0
1875,1.0636318847900839e-06,0.0
1876,1.165671619673958e-06,0.0
1877,1.143572490036604e-06,0.0
1878,1.1625245406321483e-06,0.0
1879,1.0477492651261855e-06,0.0
1880,1.085899612007779e-06,0.0
1881,9.482610039412975e-07,0.0
1882,9.31088379729772e-07,0.0
1883,9.485327723268711e-07,0.0
1884,1.0740960760813323e-06,0.0
1885,1.1331427458571852e-06,0.0
1886,9.841531891652266e-07,0.0
1887,1.040710571942327e-06,0.0
1888,9.21291302802274e-07,0.0
1889,9.573128636475303e-07,0.0
1890,8.684561976224359e-07,0.0
1891,8.675313551975705e-07,6.374220040683554e-10
1892,8.594130349592888e-07,0.0
1893,7.408575015688257e-07,0.0
1894,8.330634955200367e-07,0.0
1895,7.517249400734727e-07,0.0
1896,7.353594924097706e-07,0.0
1897,7.953464091770002e-07,0.0
1898,8.057497211666487e-07,0.0
1899,7.727554702796624e-07,0.0
1900,8.103233994916081e-07,0.0
1901,7.2709491405476e-07,0.0
1902,6.717268092870654e-07,0.0
1903,7.533307098128716e-07,0.0
1904,7.201997505035251e-07,0.0
1905,7.034114446469175e-07,0.0
1906,7.165849069679098e-07,0.0
1907,7.775979042889958e-07,0.0
1908,6.414273912014323e-07,4.911389073214423e-10
1909,6.54066923289065e-07,0.0
1910,6.819136046942731e-07,0.0
1911,5.841770871484187e-07,0.0
1912,6.084604251554993e-07,0.0
1913,5.122687980474439e-07,0.0
1914,6.368603067130607e-07,0.0
1915,7.445441383424622e-07,0.0
1916,5.405831302596198e-07,0.0
1917,4.814260137209203e-07,0.0
1918,5.685756150342058e-07,0.0
1919,4.3829356854985235e-07,0.0
1920,4.679639289406623e-07,0.0
1921,4.2710294678727223e-07,0.0
1922,4.175911385573272e-07,0.0
1923,3.874821175031684e-07,0.0
1924,4.1639947312432923e-07,0.0
1925,3.706385882651375e-07,0.0
1926,3.9568791976307693e-07,0.0
1927,3.322469126487704e-07,0.0
1928,3.279273812495376e-07,0.0
1929,3.119313873867213e-07,0.0
1930,4.3589955112111056e-07,0.0
1931,4.0717122828937136e-07,0.0
1932,3.6276065884521813e-07,0.0
1933,2.890606936034601e-07,0.0
1934,3.546547873156669e-07,0.0
1935,3.099785601534677e-07,0.0
1936,4.801386808139796e-07,0.0
1937,3.0218683377825073e-07,0.0
1938,3.2024078677750367e-07,0.0
1939,2.9364576903390116e-07,0.0
1940,2.3582781238928874e-07,0.0
1941,2.9219876296338043e-07,0.0
1942,1.8508691823626577e-07,0.0
1943,2.5838792794274923e-07,0.0
1944,2.1528347815547022e-07,0.0
1945,2.7449149797575956e-07,0.0
1946,1.879349014188847e-07,0.0
1947,1.9431020348292805e-07,1.1920870957027319e-09
1948,2.1852494569429837e-07,0.0
1949,1.9437676712641405e-07,0.0
1950,1.9143651286412933e-07,0.0
1951,2.0150049806488823e-07,0.0
1952,1.782071876732516e-07,0.0
1953,2.0685749291260436e-07,0.0
1954,2.0033698433508107e-07,0.0
1955,1.651866909924138e-07,0.0
1956,1.93609338339229e-07,0.0
1957,2.0673988387898135e-07,8.835037701437898e-10
1958,1.8033490789548523e-07,0.0
1959,1.7439182897760475e-07,0.0
1960,2.0208833007018256e-07,0.0
1961,1.7856768863566685e-07,0.0
1962,1.43962409993037e-07,0.0
1963,1.513056417934422e-07,0.0
1964,1.6852592921168252e-07,0.0
1965,2.0848484894031571e-07,0.0
1966,1.761425778568082e-07,0.0
1967,1.5678466525059775e-07,0.0
1968,1.7875835567338072e-07,0.0
1969,2.1346261291910196e-07,0.0
1970,1.8532861645326193e-07,0.0
1971,1.9012070140433934e-07,0.0
1972,1.8058116779684497e-07,0.0
1973,1.7697384180337394e-07,0.0
1974,1.5526578067692753e-07,0.0
1975,1.633483321938911e-07,0.0
1976,1.2684029115916928e-07,0.0
1977,1.0636975389388681e-07,5.876781838942691e-10
1978,1.7643556304847152e-07,5.940591352171509e-10
1979,1.691220319344211e-07,0.0
1980,1.4724540164934297e-07,0.0
1981,1.0816689410830804e-07,6.325549528618524e-10
