year,certaines_DET aides_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,2.0173018810965004e-08
1821,1.97229765852569e-09
1822,3.0076847679083585e-09
1823,0.0
1824,1.1789557774477544e-08
1825,1.7610886082763955e-09
1826,2.6423952803611428e-08
1827,0.0
1828,1.4675682002973645e-08
1829,0.0
1830,0.0
1831,2.8064171431196883e-08
1832,0.0
1833,0.0
1834,3.733812370398937e-09
1835,0.0
1836,7.392825018825988e-09
1837,1.461157062010443e-08
1838,1.830527018853445e-08
1839,1.3982950353153e-09
1840,1.2739377330817092e-09
1841,0.0
1842,2.0124795163667386e-09
1843,8.860366662588604e-09
1844,1.2623690537338916e-08
1845,5.580227835366713e-09
1846,0.0
1847,4.314578916364553e-09
1848,0.0
1849,8.379414939696517e-10
1850,2.1045888587423178e-08
1851,0.0
1852,0.0
1853,1.6124216184465467e-08
1854,9.871762074453727e-09
1855,5.306937111981824e-10
1856,1.6049286344355096e-08
1857,1.9526036343364694e-09
1858,1.9574704079872163e-09
1859,5.092173349652285e-10
1860,1.8308735638683515e-09
1861,2.8295783494058924e-09
1862,8.584174260306554e-09
1863,9.989241656072068e-10
1864,2.8768367688059016e-09
1865,4.706844358715045e-10
1866,1.0704348518686402e-08
1867,4.85281148598915e-09
1868,1.975949626142892e-09
1869,4.883519366671862e-09
1870,2.2936195165357276e-09
1871,3.18635318130589e-09
1872,6.047339295989218e-10
1873,6.584604861359367e-09
1874,8.961913877669758e-09
1875,8.58229043387837e-09
1876,4.232210137899983e-09
1877,2.4739263970730008e-09
1878,7.2469061862534545e-09
1879,2.443730107160036e-09
1880,0.0
1881,2.091752326904839e-09
1882,4.6587693702804245e-09
1883,3.791603475633565e-09
1884,9.242375753615306e-09
1885,3.2228177904158883e-09
1886,7.098810428374236e-09
1887,0.0
1888,7.60873763994141e-09
1889,6.891650361495749e-09
1890,1.4419650362640368e-08
1891,1.2748440525456317e-08
1892,1.5044429702015805e-08
1893,6.158416554491453e-10
1894,2.2055386850183822e-08
1895,6.018614495673091e-09
1896,1.3563166589847242e-08
1897,5.826713556089658e-10
1898,5.6583546736987955e-09
1899,5.527578395003729e-09
1900,4.15284251431558e-09
1901,7.824234593556412e-09
1902,1.9641135384773634e-09
1903,1.4040573148577096e-08
1904,0.0
1905,5.160758931310738e-09
1906,1.5432553013283723e-09
1907,4.114274698707732e-09
1908,1.964555629285769e-09
1909,3.850688656825696e-09
1910,1.6032452032632705e-09
1911,2.6601871816467337e-09
1912,2.6047106693738442e-09
1913,5.302989602995467e-09
1914,0.0
1915,1.1780761921542648e-09
1916,8.789969641043172e-09
1917,4.386569774084137e-09
1918,0.0
1919,3.6831393490643904e-09
