year,vouliez_VERB avoir_VERB
1800,3.772997558826319e-08
1801,1.5239568540437176e-07
1802,1.3427040812530322e-08
1803,2.9255089017965474e-08
1804,4.943701892301533e-09
1805,3.980028751016107e-08
1806,5.76333825108577e-09
1807,2.562259560079383e-08
1808,9.064295980465431e-09
1809,2.710836710662079e-08
1810,5.3822915901946544e-08
1811,1.7549536934780008e-08
1812,2.1337665856435706e-08
1813,4.3136125782439194e-08
1814,5.034683425719777e-08
1815,1.6183340889597275e-08
1816,2.3176038865813098e-09
1817,5.4490570278176165e-08
1818,3.2187177367859476e-08
1819,1.7596784473994376e-08
1820,1.4239777357261119e-08
1821,6.7058117281249e-08
1822,2.8071724500478012e-08
1823,2.7671523739059012e-08
1824,5.894779064874456e-08
1825,3.610231757988913e-08
1826,2.1139161532346407e-08
1827,4.7929820112813104e-08
1828,2.5682442839070063e-08
1829,3.1720752247110795e-08
1830,3.861629238599562e-08
1831,2.494592976631793e-08
1832,2.3000948701223933e-08
1833,4.054269808762001e-08
1834,4.760610750054184e-08
1835,4.9160071569076536e-08
1836,2.352262562510532e-08
1837,3.409366655660051e-08
1838,3.092959488526503e-08
1839,2.6567605004856887e-08
1840,3.885510224677091e-08
1841,2.8892468861840825e-08
1842,1.609983613093391e-08
1843,2.008349753168659e-08
1844,2.305195678786731e-08
1845,3.57134588568897e-08
1846,2.86870562860031e-08
1847,1.833696039454935e-08
1848,1.769948809737798e-08
1849,1.6758828991214614e-08
1850,2.1045888587423178e-08
1851,4.127640806927957e-08
1852,2.9948509450150596e-08
1853,2.448492075757258e-08
1854,3.4810952342922974e-08
1855,4.0332722051061864e-08
1856,2.6403665032148638e-08
1857,3.417056504417815e-08
1858,3.0830157982109085e-08
1859,1.323965115318515e-08
1860,2.1512764902809067e-08
1861,2.5937801240161207e-08
1862,4.382446761042047e-08
1863,3.646073309937492e-08
1864,3.0206784629172034e-08
1865,3.294790928975999e-08
1866,3.16264845423575e-08
1867,2.523461972714358e-08
1868,2.766329387782207e-08
1869,2.0510780629479086e-08
1870,3.096386436141074e-08
1871,1.805600113868877e-08
1872,2.4189358072135292e-08
1873,1.9155214303623325e-08
1874,1.8521287614703397e-08
1875,1.3159512590732447e-08
1876,2.2974855795609983e-08
1877,3.154256233983688e-08
1878,1.509772218355465e-08
1879,2.7491964260661916e-08
1880,5.0059199452334724e-08
1881,3.9046042843438045e-08
1882,2.9283693692150337e-08
1883,2.7173157945981075e-08
1884,1.3203393933736152e-08
1885,2.2559724754955823e-08
1886,2.3877817056927597e-08
1887,1.8933882017790893e-08
1888,1.6485598663962264e-08
1889,2.0674951528576457e-08
1890,1.3108772733971819e-08
1891,9.561330394092238e-09
1892,2.4447198043731078e-08
1893,1.23168328869383e-08
1894,1.3863386882917439e-08
1895,2.046328972937772e-08
1896,1.3563166589847242e-08
1897,1.3401440845939305e-08
1898,1.5277558773618694e-08
1899,1.0502398950507086e-08
1900,1.038210584169974e-08
1901,1.5089595351014395e-08
1902,8.838511256215043e-09
1903,1.3500550899436803e-08
1904,2.7948050984605288e-08
1905,1.909480928929952e-08
1906,7.201858220895474e-09
1907,1.9542804707839423e-08
1908,2.0627833663411366e-08
1909,1.1001967337165297e-08
1910,4.809735720812114e-09
1911,1.8089272302290738e-08
1912,7.814131564032323e-09
1913,1.590896836489719e-08
1914,1.875088173619588e-08
1915,7.068456930880984e-09
1916,6.592477230782379e-09
1917,1.2063066989753679e-08
1918,8.040463406189247e-09
1919,1.1049418269237776e-08
1920,1.0601124422748853e-08
1921,1.3630945261411398e-08
1922,2.6560567079059183e-08
1923,9.554353752605493e-09
1924,1.0313299547703991e-08
1925,1.0998178368026856e-08
1926,1.5604593173179637e-08
1927,1.5608915049369898e-08
1928,9.14083297942625e-09
1929,1.0026365515614089e-08
1930,1.3654684494213143e-08
1931,1.710803587684495e-08
1932,1.2055489939655217e-08
1933,3.0970788600370724e-08
1934,1.3179738189705859e-08
1935,1.795242710045386e-08
1936,1.33371855781661e-08
1937,6.295559185076627e-09
1938,5.186085783037697e-09
1939,1.2235240376412548e-08
1940,7.607348528892999e-09
1941,5.9030051957620344e-09
1942,2.1239483061208375e-08
1943,1.1612940831184915e-08
1944,6.4263723231761105e-09
1945,6.535512131478072e-09
1946,1.2528993842408909e-08
1947,7.152522574216391e-09
1948,1.848220954059343e-08
1949,8.835307596655184e-09
1950,2.4461330738745346e-08
1951,9.595261474260042e-09
1952,1.1599284199803606e-08
1953,6.464296653518886e-09
1954,9.772536557761669e-09
1955,9.385607846468247e-09
1956,9.593255967388359e-09
1957,1.6786572132332367e-08
1958,1.6544486669545222e-08
1959,2.4802393028267034e-08
1960,1.3841666479663672e-08
1961,2.014966149488373e-08
1962,1.585489073363533e-08
1963,2.0691370394843034e-08
1964,2.007709554163739e-08
1965,1.6963333848707407e-08
1966,6.092982118843793e-09
1967,1.4791006641701188e-08
1968,1.9313088017725022e-08
1969,1.407944960618579e-08
1970,1.7935027685211935e-08
1971,8.221435976452085e-09
1972,9.234264020108185e-09
1973,1.598829157956061e-08
1974,9.563471792262135e-09
1975,1.1422960355389478e-08
1976,1.085570122683066e-08
1977,1.23412418062685e-08
1978,8.910887139279566e-09
1979,1.287434159280565e-08
1980,8.527726080842513e-09
1981,1.0120879245789638e-08
1982,1.1173503899897241e-08
1983,1.326216381158929e-08
1984,1.4497521405587577e-08
1985,1.6242006850575308e-08
1986,1.6185110141009318e-08
1987,3.0554083707556856e-08
1988,1.9188972188999287e-08
1989,1.3720305780395847e-08
1990,8.717841559757744e-09
1991,1.6998249918742658e-08
1992,1.2672871640972971e-08
1993,1.3294098266669607e-08
1994,1.635227242502424e-08
1995,9.21816667442954e-09
1996,7.473328622609188e-09
1997,7.192341833217597e-09
1998,7.629006759657386e-09
1999,1.3710603319339043e-08
2000,8.394259509714175e-09
2001,1.1829271784336015e-08
2002,1.0076809608960957e-08
2003,8.333845613606172e-09
2004,7.488145215006625e-09
2005,7.656374201303606e-09
2006,1.6471560115860484e-08
2007,1.078509459517818e-08
2008,8.089135583588813e-09
2009,1.1443662017995848e-08
2010,1.1337103700270745e-08
2011,1.4913490886669933e-08
2012,1.6340413466764403e-08
2013,2.2591912340885756e-08
2014,1.905591773265769e-08
2015,1.884089151360513e-08
2016,1.7606391011781852e-08
2017,1.685459594114036e-08
2018,1.5488799576246493e-08
2019,2.1428297358738746e-08
