year,mais_CONJ assurer_VERB,mais_CONJ rassurer_VERB
1800,1.5720821977538435e-08,0.0
1801,1.2144031202865335e-07,0.0
1802,4.923248297927785e-08,0.0
1803,5.26591594773862e-08,7.801356893821776e-09
1804,2.7190360185613827e-08,0.0
1805,2.842877711017877e-09,0.0
1806,5.76333825108577e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,1.1330369531492579e-08,2.2660739951163578e-09
1809,9.036122072814123e-09,0.0
1810,1.8721014072298203e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,4.72001566720337e-08,0.0
1815,0.0,2.697223555614414e-09
1816,6.952811304472561e-08,0.0
1817,2.1796227045456362e-08,1.556873407970727e-09
1818,9.536941902865692e-09,0.0
1819,4.140420006848444e-09,0.0
1820,1.3053129244156025e-08,0.0
1821,0.0,0.0
1822,1.2030739071633434e-08,4.010246357211145e-09
1823,0.0,0.0
1824,9.263223965660927e-09,0.0
1825,2.289415235168235e-08,0.0
1826,8.80798456392995e-09,0.0
1827,1.013900075008678e-08,0.0
1828,1.3758451544720884e-08,0.0
1829,2.8291481157793896e-08,0.0
1830,2.6092090266160994e-08,0.0
1831,4.677361609140007e-09,1.5591206103948707e-09
1832,1.3529969367098715e-09,0.0
1833,9.266902800675325e-09,0.0
1834,1.120143711119681e-08,0.0
1835,1.1344631900556124e-08,0.0
1836,2.0162250202737653e-09,0.0
1837,5.5663127440652715e-09,0.0
1838,5.049729523420865e-09,0.0
1839,6.9914751765765e-10,0.0
1840,3.75811644026669e-08,0.0
1841,6.420548537278137e-09,1.926164561183441e-09
1842,5.366612043644636e-09,0.0
1843,1.9492806480059244e-08,5.906911071384968e-10
1844,1.5367971784030487e-08,0.0
1845,5.580227835366713e-09,0.0
1846,1.1709002212256792e-08,5.854501328173001e-10
1847,1.77976389181822e-08,2.6966118227278457e-09
1848,1.930853166243196e-08,4.02261068899179e-09
1849,1.8434713311421547e-08,8.379414939696517e-10
1850,1.3577992064028876e-08,6.788996032014438e-10
1851,1.9348316948608613e-08,2.579775504329973e-09
1852,1.1067927463415117e-08,6.510545436100301e-09
1853,6.569124799682413e-09,1.1943863675867306e-09
1854,7.273930180407007e-09,0.0
1855,4.2455496895854594e-09,0.0
1856,5.694908100650764e-09,0.0
1857,7.322263795295214e-09,0.0
1858,1.2723557984983813e-08,0.0
1859,3.055304009791371e-09,1.018434669930457e-09
1860,1.2358396972445007e-08,4.577183909670879e-10
1861,2.1693433716052368e-08,9.431927461278633e-10
1862,1.1294965879260488e-08,4.517986262886353e-10
1863,6.493007020935693e-09,2.1976331865403154e-08
1864,7.671564716815737e-09,8.63051052846231e-09
1865,3.4830647699379824e-08,8.001635798393636e-09
1866,1.556996132023869e-08,8.271541951376804e-09
1867,2.426405742994575e-09,1.94112459439566e-09
1868,5.433861360870651e-09,1.531360993567432e-08
1869,8.790334682373668e-09,4.883519366671862e-09
1870,1.548193218070537e-08,1.1468097582678638e-09
1871,3.18635318130589e-09,0.0
1872,1.3304146229131675e-08,6.047339295989218e-10
1873,5.986004303348835e-09,0.0
1874,1.3144140442733487e-08,2.9873046258899194e-09
1875,9.726596139625343e-09,0.0
1876,1.3905833817773328e-08,0.0
1877,1.8554447978047506e-09,1.2369631985365004e-09
1878,9.05863284383912e-09,6.039088673581716e-10
1879,1.5273313280772527e-08,0.0
1880,6.417846476480804e-09,6.417846254436199e-10
1881,9.761510710859511e-09,6.972507571312292e-10
1882,0.0,6.655385131892899e-10
1883,1.2006744043446815e-08,0.0
1884,6.601696966868076e-09,6.601696966868076e-09
1885,6.445635802876382e-09,6.445635691854079e-10
1886,9.680195700578764e-09,6.453463874400711e-10
1887,1.697520346510828e-08,0.0
1888,8.876860135842435e-09,3.1703073499755874e-09
1889,7.51816386923565e-09,3.132568426877924e-09
1890,5.243509293428872e-09,2.6217545912032847e-09
1891,6.374220151705856e-09,6.374220040683554e-10
1892,1.191017329205124e-08,6.268512375839919e-10
1893,1.7243566130531462e-08,6.158416554491453e-10
1894,1.8274464830270176e-08,0.0
1895,8.426060515986933e-09,6.018614495673091e-10
1896,4.1279202278587945e-09,1.7691086373616827e-09
1897,7.574727733938857e-09,1.1653427112179315e-09
1898,6.224190496340043e-09,3.3950129374460403e-09
1899,1.6582735185011188e-08,0.0
1900,9.863001082521805e-09,2.595526460424935e-09
1901,1.0059729937950124e-08,0.0
1902,2.8479646196899466e-08,7.365425824801264e-09
