year,devons_VERB aller_VERB
1800,5.65949598296811e-08
1801,5.9529565277216534e-08
1802,4.699464284385613e-08
1803,3.90067853572873e-08
1804,1.359518080334965e-07
1805,1.421438877713399e-08
1806,3.458002950651462e-08
1807,4.839823830593559e-08
1808,1.1330369531492579e-08
1809,5.6475762733043666e-08
1810,9.828532654410083e-08
1811,5.515568801683912e-08
1812,8.001624962616916e-08
1813,6.614205716459765e-08
1814,2.2026739543434815e-08
1815,7.012781111370714e-08
1816,5.0987285504788815e-08
1817,2.9580593974287694e-08
1818,8.344824209416402e-08
1819,5.796588098405664e-08
1820,6.763894333516873e-08
1821,7.198886464721e-08
1822,4.6117833107928163e-08
1823,5.0401702367253165e-08
1824,5.5579342017608724e-08
1825,6.868245350233337e-08
1826,4.668231667892542e-08
1827,8.20337291429496e-08
1828,8.805409379419871e-08
1829,9.430493719264632e-08
1830,8.662573947049168e-08
1831,6.236482619215167e-08
1832,8.929779937716376e-08
1833,6.486831694019202e-08
1834,5.1339920759119195e-08
1835,6.42862474364847e-08
1836,8.132107609526429e-08
1837,9.671468603755784e-08
1838,7.763959075646198e-08
1839,6.432156851587933e-08
1840,9.23604872582473e-08
1841,7.062603657459476e-08
1842,1.0263645577879288e-07
1843,9.332919148619112e-08
1844,1.0702694197561868e-07
1845,1.1048851433770324e-07
1846,9.250111787650894e-08
1847,8.089835290547853e-08
1848,1.0861049304367043e-07
1849,8.379414850878675e-08
1850,6.44954596396019e-08
1851,5.611011744122152e-08
1852,7.291811243703705e-08
1853,6.330247970254277e-08
1854,8.572846610377383e-08
1855,8.650307847801741e-08
1856,1.2011078354134952e-07
1857,9.47012779306533e-08
1858,7.634134391309999e-08
1859,1.013342512123927e-07
1860,1.0573295128324389e-07
1861,1.0327960353606613e-07
1862,9.623310859296907e-08
1863,8.241124049845894e-08
1864,1.261013409248335e-07
1865,1.3461574610573734e-07
1866,1.0217787149713331e-07
1867,1.0870297728615697e-07
1868,1.1065317551128828e-07
1869,1.4748228238659067e-07
1870,1.0780011905353604e-07
1871,1.901190671560471e-07
1872,1.0824737017856023e-07
1873,9.577607329447346e-08
1874,1.1411503209046714e-07
1875,1.0527610072585958e-07
1876,1.1003746891447008e-07
1877,1.0081249968152406e-07
1878,9.66254205536643e-08
1879,1.1729904514368172e-07
1880,9.819304835900766e-08
1881,1.1434912750019066e-07
1882,7.121261802467416e-08
1883,9.542201695467156e-08
1884,1.333542769543783e-07
1885,8.508239091042924e-08
1886,8.131364381824824e-08
1887,9.858676008889233e-08
1888,7.608737462305726e-08
1889,8.959145247899869e-08
1890,1.0159298824419238e-07
1891,1.2302244556394726e-07
1892,1.1283322010058328e-07
1893,1.0838812869451431e-07
1894,7.372801036353849e-08
1895,1.0652947679545832e-07
1896,1.0142889550479595e-07
1897,9.439276027478627e-08
1898,8.996784117698553e-08
1899,1.3432016032766114e-07
1900,1.251043784122885e-07
1901,8.438995990900366e-08
1902,9.182230797932789e-08
1903,6.912281946824805e-08
1904,7.470728746739042e-08
1905,9.39258129051268e-08
1906,8.024927922178904e-08
1907,1.1314255488059644e-07
1908,7.317969874520713e-08
1909,8.416505181685352e-08
1910,1.1970897162427718e-07
1911,1.1225989737795317e-07
1912,1.2554704653666704e-07
1913,1.0499919511630651e-07
1914,1.2656845171932218e-07
1915,1.5197183245163615e-07
1916,1.6810817271561973e-07
1917,1.6559300775043084e-07
1918,1.6310654871176666e-07
1919,1.28909874774763e-07
1920,9.16240026072046e-08
1921,1.257076007732394e-07
1922,1.0624226831623673e-07
1923,1.0085150847771729e-07
1924,1.0442215625516837e-07
1925,1.0888196300129493e-07
1926,1.0477370437911304e-07
1927,8.138934504131612e-08
1928,1.0968999220040132e-07
1929,7.464072382390441e-08
1930,9.978423065604147e-08
1931,9.352392282835353e-08
1932,9.425201596968691e-08
1933,8.02946331646126e-08
1934,6.82950087593781e-08
1935,1.1250187270661627e-07
1936,1.0548501450102776e-07
1937,1.1583829007122404e-07
1938,1.0631475788613898e-07
1939,1.2541121918729914e-07
1940,6.846613587185857e-08
1941,1.0330258959356797e-07
1942,1.1226583751522412e-07
1943,1.0741970157823744e-07
1944,1.1888788975511488e-07
1945,1.5031677946808486e-07
1946,1.3503471052445093e-07
1947,1.3232167361820757e-07
1948,1.1850357850562432e-07
1949,1.227126062985917e-07
1950,1.3081493932531885e-07
1951,1.5032576072826487e-07
1952,9.806667833345273e-08
1953,1.5729787605778256e-07
1954,1.1531592747360264e-07
1955,1.398455538037524e-07
1956,1.063979269133597e-07
1957,9.453490434907508e-08
1958,9.18219029699685e-08
1959,1.1083569262382298e-07
1960,1.155779187911321e-07
1961,1.2923575809509202e-07
1962,9.766613118245004e-08
1963,1.0216363932613604e-07
1964,1.277633288054858e-07
1965,9.849678406226303e-08
1966,8.364003178940038e-08
1967,1.1783502174012028e-07
1968,9.56671541985088e-08
1969,1.1717735048932809e-07
1970,1.1634774210733667e-07
1971,9.351883534236549e-08
1972,9.644676168818478e-08
1973,9.041654180919068e-08
1974,1.080109797158002e-07
1975,1.2336796828549268e-07
1976,1.0684295403962096e-07
1977,1.0930813942877649e-07
1978,8.07920415013541e-08
1979,1.176246655631985e-07
1980,1.0744934542117335e-07
1981,1.0816689410830804e-07
1982,1.191840439673797e-07
1983,1.2693784867678914e-07
1984,1.2757818979025615e-07
1985,1.1008471290097077e-07
1986,1.1089797880003971e-07
1987,1.0938362038359628e-07
1988,1.0014245077627493e-07
1989,1.1415293954541994e-07
1990,1.1278707745532301e-07
1991,1.324691112358778e-07
