year,nous_PRON amenons_VERB,nous_PRON ramenons_VERB
1800,2.829747991484055e-08,3.458580977167003e-08
1801,1.4287095284615248e-08,6.667311147623423e-08
1802,2.6854081625060644e-08,5.594600338554301e-08
1803,3.510610468993036e-08,3.315576790896557e-08
1804,7.4155526164076946e-09,6.673997532402609e-08
1805,5.685755510853596e-08,4.5486043376286034e-08
1806,2.5935023018064385e-08,2.881669125542885e-08
1807,2.8469551160981155e-09,1.4234775136401367e-08
1808,1.5862518409903714e-08,2.7192887941396293e-08
1809,1.1295152813062259e-08,9.036122072814123e-09
1810,2.3401267590372754e-09,1.4508785284306214e-07
1811,1.0028307073639553e-08,2.0056614147279106e-08
1812,1.0668832928217853e-08,5.3344164641089264e-09
1813,5.751483289628823e-09,5.751483289628823e-09
1814,0.0,6.608021863030444e-08
1815,6.203614311139916e-08,6.743058911240496e-08
1816,1.3905623319487859e-08,9.038655335302792e-08
1817,1.401186100480345e-08,3.113746771532533e-08
1818,6.199011903795792e-08,4.768470773797162e-08
1819,2.070210047833143e-08,5.3825459644940565e-08
1820,4.390598196124529e-08,3.203949905383752e-08
1821,3.648750634965836e-08,3.057061348510359e-08
1822,4.3110148340019805e-08,4.210758675071702e-08
1823,3.4589405117912975e-08,1.5812298692630122e-08
1824,5.305300909697053e-08,7.57900142644985e-08
1825,1.584979791857677e-08,2.8177417288333118e-08
1826,1.673517058264906e-08,3.787433300317389e-08
1827,1.0139000472531023e-08,6.083400450052068e-08
1828,4.953042537225727e-08,1.0089530988466322e-08
1829,1.5431716349212365e-08,4.886710414098161e-08
1830,2.1917355041978226e-08,1.878630451201957e-08
1831,9.354723218280014e-09,6.080570358335535e-08
1832,1.2176972319366541e-08,4.19429042608499e-08
1833,2.7800708068959068e-08,4.2859426230279496e-08
1834,2.2402874444438226e-08,5.040646544607341e-08
1835,1.663879345414898e-08,6.958040899007756e-08
1836,3.2931674442959746e-08,4.771732520225669e-08
1837,2.6439986200443855e-08,3.6876821596365517e-08
1838,2.2723782633349288e-08,3.6610539266845876e-08
1839,2.37710156003601e-08,4.824117905144476e-08
1840,4.140297632515555e-08,5.477932130126817e-08
1841,1.733548105065097e-08,3.5955071808757566e-08
1842,2.817471367322355e-08,6.507017324963726e-08
1843,3.485077387788138e-08,4.252975838170414e-08
1844,1.7563396292885614e-08,3.0735944012150185e-08
1845,1.8972775017722654e-08,3.0691253094516924e-08
1846,1.2294452567118697e-08,2.751615646445771e-08
1847,3.721324315364427e-08,3.775256729454668e-08
1848,2.413566541070722e-08,5.7121072538635076e-08
1849,1.6758828991214614e-08,8.714591359648693e-08
1850,2.308258650884909e-08,3.4623877986916796e-08
1851,3.611685706061962e-08,5.868989205737307e-08
1852,6.640756211595544e-08,6.640756344822307e-08
1853,2.6276500975086492e-08,4.598387448595531e-08
1854,4.624141292097761e-08,4.572184719719985e-08
1855,2.7065379271107304e-08,4.4578271740647324e-08
1856,3.831120043429337e-08,4.555926569338453e-08
1857,4.1004677098221975e-08,5.4672901317331934e-08
1858,4.306434808754034e-08,6.068158286964831e-08
1859,6.619825176912286e-08,8.554851049780154e-08
1860,5.35530535472617e-08,7.369266175061284e-08
