year,as_VERB appelé_VERB,as_VERB rappelé_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,5.76333825108577e-09,2.881669125542885e-09
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,0.0,0.0
1809,1.3554183553310395e-08,0.0
1810,7.020380277111826e-09,0.0
1811,2.5070767684098882e-09,1.2535384286138651e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,2.5173417128598885e-08,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,3.113746815941454e-09,1.556873407970727e-09
1818,8.344824387052086e-09,3.5763532135746345e-09
1819,1.035105001712111e-09,2.070210003424222e-09
1820,3.5599443393152796e-09,7.119888678630559e-09
1821,1.2819934447350079e-08,0.0
1822,1.0025615893027862e-08,0.0
1823,2.9648061783404955e-09,8.894418535021487e-09
1824,2.5263338088166165e-09,0.0
1825,1.584979791857677e-08,5.283265824829186e-09
1826,7.0463874735082754e-09,8.807984341885344e-10
1827,9.217273055917019e-10,1.8434546111834038e-09
1828,4.586150570418113e-09,0.0
1829,1.714635211591542e-09,0.0
1830,5.218417697960831e-09,2.0873671680021744e-09
1831,1.4032085715598441e-08,0.0
1832,2.705993873419743e-09,0.0
1833,2.4325620628928846e-08,2.3167257001688313e-09
1834,8.401078055442213e-09,0.0
1835,1.2100940693926532e-08,9.075705520444899e-09
1836,7.392825018825988e-09,0.0
1837,3.478945576063097e-09,0.0
1838,5.680945491803868e-09,6.312161904276081e-10
1839,6.9914749545318955e-09,6.9914751765765e-10
1840,6.3696887764308485e-09,8.280594876453051e-09
1841,2.3113974734201292e-08,3.2102742686390684e-09
1842,9.391571076378114e-09,1.8783142152756227e-08
1843,5.906910960362666e-09,3.5441467538532834e-09
1844,1.3172547497219966e-08,1.097712254427563e-09
1845,1.3950569588416784e-08,1.0044410636567136e-08
1846,1.7563503984519002e-09,5.854501328173001e-10
1847,2.1572894581822766e-09,1.6179670936367074e-09
1848,5.63165514222419e-09,3.218088684420195e-09
1849,2.513824481908955e-09,0.0
1850,7.467895635215882e-09,0.0
1851,1.4188765717904062e-08,0.0
1852,5.859490670445666e-09,1.3021090872200602e-09
1853,2.9859659189668264e-09,4.777545470346922e-09
1854,1.0391328686409906e-08,3.63696517347023e-09
1855,2.0697054736729115e-08,4.776243400783642e-09
1856,4.659470143053568e-09,1.5531567143511893e-09
1857,8.298565390418844e-09,1.9526036343364694e-09
1858,1.4191660291373864e-08,7.829881631948865e-09
1859,5.092173349652285e-09,3.055304009791371e-09
1860,4.119465657481669e-09,4.57718396518203e-09
1861,1.131831339762357e-08,4.715963619617014e-09
1862,6.325180823552046e-09,4.9697850279528666e-09
1863,1.048870412745373e-08,1.9978483312144135e-09
1864,1.0548401263577034e-08,4.794727948009836e-10
1865,8.001635798393636e-09,1.882737743486018e-09
1866,1.3137154475373336e-08,4.379051787850585e-09
1867,7.76449837758264e-09,4.85281148598915e-10
1868,5.433861360870651e-09,1.4819622196071691e-09
1869,6.8369265804335555e-09,1.2208797528501236e-08
1870,4.587239033071455e-09,1.7202146374017957e-09
1871,2.1242354542039266e-09,3.18635318130589e-09
1872,3.628403577593531e-09,4.8378714367913744e-09
1873,4.788803575905831e-09,1.1972008939764578e-09
1874,3.5847653734322193e-09,1.7923826867161097e-09
1875,1.3731664694205392e-08,1.716458086775674e-09
1876,8.464420275799966e-09,1.209202959984168e-09
1877,4.9478527941460015e-09,3.710889595609501e-09
1878,4.22736201599605e-09,3.6234530931267273e-09
1879,7.94212251520321e-09,9.163987790827832e-09
1880,1.9253538763308597e-09,1.9253538763308597e-09
1881,8.367009307619355e-09,1.3945015142624584e-09
1882,3.3276925659464496e-09,6.655385131892899e-10
1883,3.791603475633565e-09,1.8958017378167824e-09
1884,8.582206056928499e-09,3.9610181801208455e-09
1885,7.7347630522695e-09,0.0
1886,1.4197620856748472e-08,8.38950331427668e-09
1887,1.0446279397058333e-08,0.0
1888,7.60873763994141e-09,5.07249175996094e-09
1889,1.566284169030041e-08,1.2530273485467092e-09
1890,5.243509182406569e-09,1.9663159989136147e-09
1891,7.0116419337296065e-09,2.5496880162734215e-09
1892,1.8805537127519756e-09,2.5074049503359674e-09
1893,1.847525021858587e-09,2.463366621796581e-09
1894,2.520615716150587e-09,2.520615716150587e-09
1895,9.027921521465032e-09,6.018614495673091e-10
1896,5.897029087265082e-09,1.179405795248556e-09
1897,1.7480140668268973e-09,5.826713556089658e-10
1898,6.7900258748920805e-09,5.092519295146758e-09
1899,8.291367592505594e-09,1.1055156790007459e-09
1900,1.1939421895590385e-08,1.5573159428683425e-09
1901,7.824234593556412e-09,2.794369402536745e-09
1902,1.915010727771005e-08,3.437198747846537e-09
1903,3.7801539676252105e-09,1.6200660812870638e-09
1904,2.1498500757388683e-09,3.7622376325430196e-09
1905,7.2250627702885595e-09,5.160759042333041e-10
1906,1.0288369267641428e-08,3.0865106026567446e-09
1907,2.057137349353866e-09,0.0
1908,5.40252820258047e-09,0.0
1909,3.850688656825696e-09,5.500983557560346e-10
1910,1.068830179917768e-08,2.67207544979442e-09
1911,7.980561100850991e-09,1.0640748282497725e-09
1912,6.251305251225858e-09,4.688478938419394e-09
1913,6.893886794756554e-09,3.181793939432964e-09
1914,1.3393487430235496e-09,6.696743715117748e-10
1915,1.6493066468115103e-08,0.0
1916,0.0,0.0
1917,1.0966424435210342e-09,0.0
1918,5.743188147278033e-09,2.2972752589112133e-09
1919,9.207848372660976e-10,0.0
1920,3.786115865267448e-09,5.300562211374427e-09
1921,1.060184651180407e-08,0.0
1922,2.951174193910333e-09,7.377935484775833e-10
1923,6.369568872344189e-09,0.0
1924,5.156649773851996e-09,0.0
1925,5.499089184013428e-09,1.0998177923937646e-09
1926,7.802296586589819e-09,3.343841648018042e-09
1927,1.0034302277972529e-08,0.0
1928,3.4278122562625413e-09,0.0
1929,5.570202965543558e-09,0.0
1930,7.352522590764465e-09,0.0
1931,4.5621426636444085e-09,0.0
1932,9.863582839386709e-09,0.0
1933,6.882397318719313e-09,0.0
1934,1.0783422155213884e-08,0.0
1935,2.393656828303392e-09,0.0
1936,7.274828739411987e-09,4.849885826274658e-09
1937,1.2591118148108649e-09,1.2591118370153254e-08
1938,5.186085783037697e-09,2.5930428915188486e-09
1939,3.058810094103137e-09,1.5294050470515685e-09
1940,0.0,2.5357829169792012e-09
1941,1.1806010391524069e-08,1.7709016475464523e-08
1942,6.068423541449874e-09,0.0
1943,8.709705845433291e-09,5.806470415592457e-09
1944,9.639558484764166e-09,0.0
1945,2.3963544037997053e-08,1.089252066321933e-08
1946,1.5313215584455975e-08,0.0
1947,1.0728784083369192e-08,1.1920870957027319e-09
1948,2.174377566888097e-09,5.435944139264848e-09
1949,9.817008317369869e-10,1.570721330779179e-08
1950,7.444753258312176e-09,2.1270722960764488e-09
1951,4.264560704569931e-09,0.0
1952,9.490323193972472e-09,2.1089607837865287e-09
1953,3.232148326759443e-09,3.232148326759443e-09
1954,7.818028890937967e-09,3.9090144454689835e-09
1955,1.3139850985055546e-08,7.508486277174597e-09
1956,1.744228228517386e-08,3.488456634670456e-09
1957,1.767007518083119e-08,4.417518795207798e-09
1958,1.0753916868111446e-08,1.0753916868111446e-08
1959,1.6276571201956358e-08,2.325224457422337e-09
1960,1.3841666479663672e-08,7.612916519406099e-09
1961,9.72742331128984e-09,1.111705483225478e-08
1962,1.6489087428794846e-08,4.43936931660005e-09
1963,1.1638896069143811e-08,3.2330267352165265e-09
1964,1.4601523545820783e-08,4.258777774879263e-09
1965,1.0396882466068291e-08,1.6416130677043839e-09
1966,1.2185964237687585e-08,2.215629901769489e-09
1967,1.1339771788243524e-08,1.9721342336964653e-09
1968,1.3474247495537384e-08,1.3474247273492779e-09
1969,8.175163657142548e-09,1.8167031212712459e-09
1970,7.3579600190498695e-09,2.2993624781975086e-09
1971,1.0790635052160269e-08,3.083038491169532e-09
1972,9.747279428040656e-09,3.5911027485013847e-09
1973,1.0475087464101307e-08,2.205281512956958e-09
1974,1.2376257352286757e-08,5.625571675160757e-10
1975,1.313640396460869e-08,5.140332159925265e-09
1976,7.998937512354587e-09,5.142174241967723e-09
1977,1.2928920156696222e-08,4.7014254711541525e-09
1978,7.128709622605811e-09,5.346532105932056e-09
1979,1.462993370893173e-08,5.266775904289034e-09
1980,2.0466542238750662e-08,2.8425752862659692e-09
1981,1.4548763971333756e-08,6.325549417596221e-09
1982,1.3656505259973528e-08,3.1037510339615437e-09
1983,7.57837881337764e-09,5.052252838311233e-09
1984,1.6237223121606803e-08,5.219107812592938e-09
1985,7.218669662023558e-09,3.609334831011779e-09
1986,1.0790073723399018e-08,1.7983456945813714e-09
1987,7.944062296871834e-09,3.0554083707556856e-09
1988,1.0194141530917022e-08,2.99827696004229e-09
1989,1.2073869015694072e-08,3.2928733073589456e-09
1990,1.3621627381610324e-08,1.089730194969718e-09
1991,1.3481369798284959e-08,9.37834432335194e-09
1992,1.4876849085965205e-08,3.856960972825618e-09
1993,1.3848018731721368e-08,3.323524566667402e-09
1994,1.002236071911966e-08,5.802419433820205e-09
1995,1.5182862966867106e-08,8.133675954979935e-09
1996,1.2811421257197253e-08,5.3380921904988554e-09
1997,1.4384683666435194e-08,4.794894259418925e-09
1998,1.5734826774860267e-08,2.86087753487152e-09
1999,1.4624643718263997e-08,5.0272213059088244e-09
2000,1.988114206596947e-08,3.5344251969604557e-09
2001,1.840108865280854e-08,4.381211837767296e-09
2002,1.7963008858146168e-08,3.066854992184176e-09
2003,2.083461403401543e-08,1.0417307017007715e-08
2004,2.422635247967264e-08,7.928623979580607e-09
2005,2.0717248361279417e-08,4.053374524914943e-09
2006,2.3060183096390574e-08,1.0294725072412803e-08
2007,6.031663701833168e-08,8.787854888225866e-09
2008,7.237647281499449e-08,8.940623352771127e-09
2009,8.392018457925587e-08,1.0966842545201416e-08
2010,1.1006437716787332e-07,1.747803501928047e-08
2011,1.4072216458771436e-07,1.7207874236646603e-08
2012,1.6782965417405649e-07,2.0425515501187874e-08
2013,1.5981686374288984e-07,2.2312999448104165e-08
2014,1.6457383367196599e-07,2.1004817440939405e-08
2015,1.837540963833817e-07,2.349569960813369e-08
2016,1.82899327683117e-07,2.092053463798038e-08
2017,2.3495809386986366e-07,2.1131135952145996e-08
2018,2.1529432103761792e-07,3.071945542387766e-08
2019,2.1147688755718264e-07,2.7805766578126168e-08
