year,sans_ADP assembler_VERB,sans_ADP rassembler_VERB
1800,4.7162469485328984e-08,1.5720821977538435e-08
1801,4.7623651688866175e-09,4.7623651688866175e-09
1802,2.0140561218795483e-08,3.5805442166747525e-08
1803,1.755305234496518e-08,0.0
1804,2.9662210465630778e-08,3.2134061411781545e-08
1805,1.421438877713399e-08,0.0
1806,3.458002950651462e-08,2.881669125542885e-09
1807,1.4234775136401367e-08,8.540865792383556e-09
1808,3.172503681980743e-08,2.2660739951163578e-09
1809,5.42167306605279e-08,1.129515236897305e-08
1810,4.680253340438867e-08,0.0
1811,1.504245972228091e-08,2.5070767684098882e-09
1812,1.0668832928217853e-08,1.0668832928217853e-08
1813,5.7514832008109806e-08,0.0
1814,2.5173417128598885e-08,3.1466771410748606e-09
1815,1.0788894222457657e-08,2.697223555614414e-09
1816,3.9399267848239106e-08,0.0
1817,3.269434145636296e-08,1.401186056071424e-08
1818,2.5034472272977837e-08,4.410835785506606e-08
1819,4.6579724966022695e-08,3.3123361831144393e-08
1820,8.187871713971617e-08,3.678609061807947e-08
1821,3.648750634965836e-08,1.873682797803866e-08
1822,5.714601059025881e-08,3.0076847679083585e-09
1823,3.4589405117912975e-08,1.9765373782121287e-09
1824,5.726356722135506e-08,1.0105335235266466e-08
1825,3.169959583715354e-08,3.522177216552791e-09
1826,6.694067877788257e-08,7.0463874735082754e-09
1827,7.189472839286282e-08,0.0
1828,3.8523663370426675e-08,1.8344602503717056e-09
1829,7.458663020543099e-08,1.0287811491593857e-08
1830,4.8009446418362245e-08,6.262101504006523e-09
1831,9.354723218280014e-09,2.3386809822056875e-08
1832,2.0294953273491956e-08,1.3529969367098715e-09
1833,1.1583628278799551e-08,2.3167257445777523e-08
1834,5.507373401769655e-08,2.8003592777992026e-09
1835,2.4201881387853064e-08,0.0
1836,5.309392392405243e-08,4.704525213838906e-09
1837,3.896418832027848e-08,4.174734669071256e-09
1838,3.787297320201333e-08,6.312161904276081e-09
1839,4.1249702320556025e-08,3.4957374772659477e-09
1840,2.93005673057678e-08,6.369688665408546e-10
1841,4.6227950356581005e-08,6.420548537278137e-10
1842,2.3478927246856074e-08,2.683306021822318e-09
1843,2.1855571574747046e-08,1.2404512972352677e-08
1844,4.610391357573462e-08,1.2074834909725496e-08
1845,3.2923345827384765e-08,1.1160455892778032e-09
1846,2.3418004646558188e-08,3.5127007969038004e-09
1847,2.1033571329098777e-08,1.240441438454809e-08
1848,9.65426583121598e-09,0.0
1849,1.256912263158938e-08,5.02764896381791e-09
1850,1.4935791270431764e-08,1.425689166723032e-08
