year,nouveaux_ADJ aides_NOUN,nouveaux_ADJ raids_NOUN
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,4.475680270843441e-09,0.0
1803,7.801356893821776e-09,0.0
1804,4.943701892301533e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,1.1330369531492579e-08,0.0
1809,2.259030518203531e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,0.0,0.0
1812,8.00162425207418e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,1.0788894222457657e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,1.668964877410417e-08,0.0
1819,2.070210003424222e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,9.861488514673056e-09,0.0
1822,9.023054303725075e-09,0.0
1823,9.882686891060644e-10,0.0
1824,1.8526447931321854e-08,0.0
1825,1.4088708866211164e-08,0.0
1826,1.4973572604048968e-08,0.0
1827,5.530363722527909e-09,0.0
1828,4.586150570418113e-09,0.0
1829,1.2859763920403111e-08,0.0
1830,4.174734336004349e-09,0.0
1831,1.5591206548037917e-08,0.0
1832,5.411987746839486e-09,0.0
1833,1.0425265983826648e-08,0.0
1834,6.534171426153534e-09,0.0
1835,1.2100940693926532e-08,0.0
1836,6.72075017860152e-09,0.0
1837,9.045257876039159e-09,0.0
1838,1.7042836475411605e-08,0.0
1839,1.11863602825224e-08,0.0
1840,1.4013314952876499e-08,0.0
1841,1.2841097074556274e-08,0.0
1842,9.391571076378114e-09,0.0
1843,1.063243981747064e-08,0.0
1844,1.0977122322231025e-08,0.0
1845,8.37034175305007e-09,0.0
1846,8.196302303531411e-09,0.0
1847,1.0786447290911383e-08,0.0
1848,1.609044275596716e-08,0.0
1849,1.3407063903514427e-08,0.0
1850,4.752297222410107e-09,0.0
1851,6.449438760824933e-09,0.0
1852,5.208436348880241e-09,0.0
1853,8.360704129017904e-09,0.0
1854,4.1565315633818045e-09,0.0
1855,7.429711956774554e-09,0.0
1856,1.0354378687793542e-08,0.0
1857,1.1715622250108026e-08,0.0
1858,2.0064071293290908e-08,0.0
1859,7.638259802433822e-09,0.0
1860,1.2358396972445007e-08,0.0
1861,1.839225838295988e-08,0.0
1862,1.2650361647104091e-08,0.0
1863,1.5982786649715308e-08,0.0
1864,9.589456340108882e-09,0.0
1865,4.706844247692743e-09,0.0
1866,2.432806400776144e-09,1.4596839292835284e-09
1867,4.367530337390235e-09,4.85281148598915e-10
1868,8.397785578040384e-09,0.0
1869,1.5138908793232986e-08,0.0
1870,5.160643912205387e-09,0.0
1871,1.3807530230280918e-08,0.0
1872,4.8378714367913744e-09,0.0
1873,6.584604861359367e-09,0.0
1874,1.4339061493728877e-08,0.0
1875,6.865832347102696e-09,0.0
1876,3.02300739996042e-09,0.0
1877,1.2369631985365004e-09,0.0
1878,1.8117265465633636e-09,0.0
1879,1.221865053580018e-09,0.0
1880,1.9253538763308597e-09,0.0
