year,devez_VERB appliquer_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,1.2359254952798437e-08
1805,0.0
1806,0.0
1807,0.0
1808,6.798221985349073e-09
1809,0.0
1810,4.680253518074551e-09
1811,3.5099073869560016e-08
1812,5.3344164641089264e-09
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,7.784366928831332e-09
1818,1.1921176934492905e-08
1819,1.3456364911235141e-08
1820,4.746592452420373e-09
1821,5.9168927535324656e-09
1822,1.0025615893027862e-09
1823,5.929612356680991e-09
1824,8.421112696055388e-09
1825,5.283265824829186e-09
1826,7.927186018719112e-09
1827,9.217273055917019e-10
1828,0.0
1829,5.143905745796928e-09
1830,1.1480519646056564e-08
1831,1.2472964883158966e-08
1832,1.3529969367098715e-09
1833,9.266902800675325e-09
1834,4.667265685043276e-09
1835,1.5126175867408165e-09
1836,5.376600054063374e-09
1837,8.349468672008697e-09
1838,1.8936485712828244e-09
1839,9.088918062616358e-09
1840,9.554533164646273e-09
1841,1.2841097074556274e-09
1842,2.1466448174578545e-08
1843,2.3627644285539873e-09
1844,3.841992946007622e-09
1845,3.348136878855712e-09
1846,4.0981511517657054e-09
1847,3.775256551818984e-09
1848,8.045221711050488e-10
1849,2.513824481908955e-09
1850,2.7155984128057753e-09
1851,4.514607354622058e-09
1852,9.114764054629632e-09
1853,5.971931837933653e-10
1854,7.27393034694046e-09
1855,4.2455496895854594e-09
1856,7.248064815001953e-09
1857,1.9526036343364694e-09
1858,9.787352039936081e-10
1859,3.5645213447565993e-09
1860,5.950338888283113e-09
1861,9.903524222920623e-09
1862,5.421583626485926e-09
1863,6.99246927027275e-09
1864,1.102787461348953e-08
1865,6.589582213223366e-09
1866,2.919367858567057e-09
1867,9.7056229719783e-09
1868,1.0867722721741302e-08
1869,2.9301114867763545e-09
1870,5.160643912205387e-09
1871,3.18635318130589e-09
1872,4.8378714367913744e-09
1873,8.979006871356887e-09
1874,0.0
1875,1.716458086775674e-09
1876,1.813804439976252e-09
1877,1.8554447978047506e-09
1878,4.22736201599605e-09
1879,6.10932526790009e-10
1880,7.059631101924424e-09
1881,4.8807553554297556e-09
1882,4.6587693702804245e-09
1883,2.5277355764075082e-09
1884,1.3203393933736152e-09
1885,1.0957580620640783e-08
1886,5.808117542471791e-09
1887,9.140494583448344e-09
1888,1.9021844099853524e-09
1889,6.265136742733546e-10
1890,1.5730527991308918e-08
1891,7.0116419337296065e-09
1892,1.4417578242387208e-08
1893,8.005941687372342e-09
1894,5.041231432301174e-09
1895,7.22233739480771e-09
1896,7.66613794667137e-09
1897,4.078699600285063e-09
1898,2.8291773368493978e-09
1899,5.527578395003729e-10
1900,7.26747462209687e-09
1901,5.58873880507349e-09
1902,3.437198747846537e-09
1903,6.480264325148255e-09
1904,3.2247751136083025e-09
1905,1.0321517862621477e-08
1906,1.0288369045596824e-09
1907,3.599990305858114e-09
1908,2.9468334439286537e-09
1909,5.5009836685826485e-09
1910,7.481810726517324e-09
1911,4.788336838146279e-09
1912,9.897900277167082e-09
1913,3.71209285532359e-09
1914,2.678697486047099e-09
1915,2.3561523843085297e-09
1916,6.592477230782379e-09
1917,4.386569774084137e-09
1918,1.2635013924011673e-08
1919,7.366278698128781e-09
1920,6.057785384427916e-09
1921,2.2718242842501013e-09
1922,3.6889677978990676e-09
1923,1.0615948120573648e-09
1924,2.578324886925998e-09
1925,1.0998177923937646e-09
1926,3.343841648018042e-09
1927,4.4596899506643695e-09
1928,0.0
1929,1.1140406375176326e-09
1930,5.2518016602221e-09
1931,5.7026783295555106e-09
1932,0.0
1933,6.882397318719313e-09
1934,2.3963160344919743e-09
1935,1.196828414151696e-09
1936,0.0
1937,1.2591118148108649e-09
1938,2.5930428915188486e-09
1939,9.176430282309411e-09
1940,2.5357829169792012e-09
1941,0.0
1942,0.0
1943,0.0
1944,3.2131861615880553e-09
1945,2.178504043826024e-09
1946,0.0
1947,3.5762612871081956e-09
1948,1.4133454406817236e-08
1949,6.8719057111366055e-09
1950,4.2541445921528975e-09
1951,4.264560704569931e-09
1952,6.326882129314981e-09
1953,2.1547654771580937e-09
1954,8.795282724349818e-09
